"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","Age","Model Number","DQ Score"
"SBK","KID","416784","Wilko Washable Ready Mix Paint White 300ml","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.93
"SBK","KID","416785","Wilko Washable Ready Mix Paint Red 300ml","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.93
"SBK","KID","416786","Wilko Washable Ready Mix Paint Yellow 300ml","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.93
"SBK","KID","416787","Wilko Washable Ready Mix Paint Green 300ml","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.93
"SBK","KID","416788","Wilko Washable Ready Mix Paint Blue 300ml","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.93
"SBK","KID","416789","Wilko Washable Ready Mix Paint Black 300ml","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.93
"SBK","KID","416790","Wilko Sparkles Paint Assorted 150ml","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.93
"SBK","KID","416792","Wilko Let's Create Princess Paint Set 150ml 4pk","Wilko",NA,NA,"4pk",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","416793","Wilko Let's Create Neon Paint Set 150ml 4pk","Wilko",NA,NA,"4pk",NA,NA,NA,NA,"3+",NA,0.93
"SBK","KID","452692","Wilko Metallic Paint Set 4 x 150ml","Wilko",NA,"Multi","4",NA,NA,NA,NA,"3+",NA,1
"SBK","SPC","457540","Wilko Festive Paint 4pk","Wilko","Each bottle 5.5cm x 5.5cm x 11cm","Multi","4","Paint","No","600ml","paper","3+ years","DESWIL018",0.65
