"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"DIS","FOO","203971","Wilko Foil Flan Cases 10pk","Wilko",NA,NA,"10pk","Aluminium",0.85
"DIS","FOO","203974","Wilko Pie Dishes Aluminium Small 20pk","Wilko","Small",NA,"20pk","Aluminium",0.9
"DIS","FOO","203975","Wilko Pie Plates Aluminium 6pk","Wilko",NA,NA,"6pk","Aluminium",0.85
"DIS","FOO","203976","Wilko Foil Trays and Lids Small 10pk","Wilko","Small",NA,"10pk","Aluminium",0.9
"DIS","FOO","203977","Wilko Trays and Lids Foil Medium 5pk","Wilko","Medium",NA,"5pk","Aluminium",0.9
"DIS","FOO","203978","Wilko Foil Trays Large 3pk","Wilko","Large",NA,"3pk","Aluminium",0.9
"DIS","FOO","203979","Wilko Food Containers and Lids 6pk","Wilko",NA,NA,"6pk",NA,0.8
"DIS","FOO","285716","Wilko Foil Roasting Trays 2pk","Wilko",NA,NA,"2pk","Aluminium",0.85
"DIS","FOO","333063","Wilko Aluminium Tray Bakes Small 3pk","Wilko","Small",NA,"3pk","Aluminium",0.9
"DIS","FOO","333067","Wilko Aluminium Flan Dishes Large 6pk","Wilko","Large",NA,"6pk","Aluminium",0.9
"DIS","FOO","333068","Wilko Aluminium Containers with Lids Large 3pk","Wilko","Large",NA,"3pk","Aluminium",0.9
"DIS","FOO","419994","Wilko Plastic Containers and Lids 6pk","Wilko",NA,NA,NA,NA,0.75
"DIS","TAB","150004","Wilko Insulated Plates White 10pk","Wilko","22.5x22.5cm","White","1",NA,1
"DIS","TAB","150005","Wilko Insulated Bowls White 10pk","Wilko",NA,"White","10pk",NA,0.93
"DIS","TAB","203981","Wilko Napkins 2 Ply White 100pk","Wilko","2ply","White","100pk",NA,1
"DIS","TAB","203989","Wilko Party Tumblers Clear Large 10pk","Wilko","Large","Clear","1",NA,1
"DIS","TAB","203991","Wilko Paper Plates Large White 30pk","Wilko","Large","White","1",NA,1
"DIS","TAB","233954","Wilko Foil Platters 3pk","Wilko","35x24.5cm","Silver","1",NA,1
"DIS","TAB","330870","Wilko Round Platters Foil 3pk","Wilko","3 Pack","Silver","3pk",NA,1
"DIS","TAB","331938","Wilko Party Tumblers Clear Small 75pk","Wilko","Half Pint","Clear","1",NA,1
"DIS","TAB","331939","Wilko Disposable Serving Bowls Small 10pk","Wilko","Small","Clear","1",NA,1
"DIS","TAB","331940","Wilko Disposable Bowls Large 10pk","Wilko","Large","White","1",NA,1
"DIS","TAB","331941","Wilko Disposable Salad Bowls 2pk","Wilko","2 Pack","White","1",NA,1
"DIS","TAB","331992","Wilko Paper Plates Small White 30pk","Wilko","Small",NA,"30pk",NA,0.93
"DIS","TAB","332569","Wilko Paper Plates Red 20pk","Wilko",NA,"Red","20pk",NA,0.93
"DIS","TAB","332589","Wilko Paper Plates Cream 20pk","Wilko",NA,"Cream","20pk",NA,0.93
"DIS","TAB","332641","Wilko Insulated Cups Small White 10pk","Wilko","Small",NA,"10pk",NA,0.93
"DIS","TAB","333445","Wilko Plastic Plates White 22cm 10pk","Wilko","22cm","White","10pk",NA,1
"DIS","TAB","334087","Wilko Plastic Plates Clear 10pk","Wilko",NA,"Clear","10pk",NA,0.93
"DIS","TAB","419988","Wilko Disposable Red Cups 10pk","Wilko",NA,NA,"10pk",NA,0.86
"DIS","TAB","419992","Wilko Disposable Plates Spots 20pk","Wilko",NA,NA,NA,NA,0.79
"DIS","TAB","419995","Wilko Shot Glasses 16pk","Wilko",NA,NA,"16",NA,0.86
"DIS","TAB","331993","Wilko Functional Plastic Cups White 30pk","Wilko Functional","Small",NA,"30pk",NA,0.93
"DIS","TAB","332174","Wilko Functional Paper Bowls White 30pk","Wilko Functional","30 Pack","White","30pk",NA,1
"DIS","TAB","63821","Wilko Functional Napkins 1 Ply White 100pk","Wilko Functional","1ply",NA,"100pk",NA,0.93
