"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"CLE","DIS","168721","Wilko Dishwasher Salt Granules 2kg","Wilko","2kg",NA,0.9125
"CLE","LAU","168723","Wilko Laundry Water Softening Powder40 Washes","Wilko","1kg",NA,0.9125
"CLE","LAU","203195","Wilko Laundry Water Softening 15pk","Wilko","225g","15",1
"CLE","LAU","332009","Wilko Original Citric Acid 250g","Wilko",NA,NA,1
"CLE","LAU","412410","Wilko Original Liquid Soapflakes 750ml","Wilko",NA,NA,1
"CLE","SUR","213684","Wilko Original Liquid Soda Crystals Spray500ml","Wilko",NA,NA,1
"CLE","SUR","264235","Wilko Original Bicarbonate  of Soda 500g","Wilko",NA,NA,1
"CLE","SUR","335206","Wilko Original White Vinegar Spray 750ml","Wilko",NA,NA,1
"CLE","SUR","437761","Wilko Original Soda Crystals 1.5kg","Wilko",NA,NA,1
"TOI","BAB","341731","Wilko Sterilising Fluid 500ml","Wilko","500ml","1",1
