"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Model Number","DQ Score"
"SBK","COM","261730","Wilko A4 Matt Coated Picture Paper 120gsm","Wilko","A4",NA,NA,NA,0.825
"SBK","COM","261757","Wilko Photo Paper 170GSM A4 Glossy","Wilko","A4",NA,NA,NA,0.825
"SBK","COM","261758","Wilko A4 Premium Photo Paper Glossy Sheets 250gsmx 20","Wilko","A4",NA,NA,NA,0.825
"SBK","COM","261759","Wilko Photo Paper 170GSM 6X4 Glossy","Wilko","6x4in",NA,NA,NA,0.825
"SBK","COM","261760","Wilko Premium 6x4 Size Photo Paper Glossy 250gsm x25","Wilko","6x4in",NA,NA,NA,0.825
"SBK","COM","261768","Wilko 10 x 21 Self Adhesive Labels White 63 x 38mm","Wilko","63x38mm","White",NA,NA,0.883333333333333
"SBK","COM","262748","Wilko Remanufactured Epson T0715 BCMY InkCartridge Multipack","Wilko","4 Pack","Multi",NA,"T071",0.941666666666667
"SBK","COM","262752","Wilko Remanufactured HP56 Black Ink Cartridge","Wilko","24ml","Black",NA,"HP56",0.941666666666667
"SBK","COM","262754","Wilko Remanufactured HP21 Black Ink Cartridge","Wilko","10ml","Black",NA,"HP21",0.941666666666667
"SBK","COM","262763","Wilko Ink Refill Kit Black 30ml x 4","Wilko",NA,"Black",NA,NA,0.825
"SBK","COM","262764","Wilko Refill Kit Colour 30ml x 4","Wilko","4x30ml","Multi",NA,NA,0.883333333333333
"SBK","COM","285800","Wilko Remanufactured Epson T0711 Black InkCartridge","Wilko","13ml","Black",NA,"TO711",0.941666666666667
"SBK","COM","289110","Wilko Remanufactured Canon CL-41 Colour InkCartridge","Wilko","24ml","Multi",NA,"PG41",0.941666666666667
"SBK","COM","306963","Wilko Remanufactured Canon PG-510 Black InkCartridge","Wilko","11.5ml","Black",NA,"PG-510",0.941666666666667
"SBK","COM","306964","Wilko Remanufactured Epson T1281 Black InkCartridge","Wilko","13ml","Black",NA,"T1281",0.941666666666667
"SBK","COM","306965","Wilko Remanufactured Epson T1282/3/4 CMY InkCartridge Multipack","Wilko",NA,NA,NA,"T1282/3/4 CMY",0.825
"SBK","COM","306966","Wilko Remanufactured Canon CL-511 Colour InkCartridge","Wilko","CL-511",NA,NA,"CL511",0.883333333333333
"SBK","COM","306969","Wilko Remanufactured HP364 Black Ink Cartridge","Wilko","10ml","Black",NA,"HP364",0.941666666666667
"SBK","COM","306970","Wilko Remanufactured HP364 CMY Ink CartridgeMultipack","Wilko","3x5ml","Multi",NA,"HP364",0.941666666666667
"SBK","COM","317301","Wilko A4 Presentation Card Sheets 160gsm x 50","Wilko","A4","White","50s",NA,1
"SBK","COM","319107","Wilko Remanufactured Kodak 10 Black & ColourMultipack","Wilko","19ml and 62.5ml","Multi",NA,NA,0.883333333333333
"SBK","COM","332271","Wilko Remanufactured HP301 Black Ink Cartridge","Wilko","6ml","Black",NA,"HP301",0.941666666666667
"SBK","COM","332274","Wilko Remanufactured HP301 Colour Ink Cartridge","Wilko","7.5ml",NA,NA,"HP301",0.883333333333333
"SBK","COM","348901","Wilko Remanufactured Epson T1801 Black InkCartridge","Wilko",NA,"Black",NA,"T01801",0.883333333333333
"SBK","COM","348902","Wilko Remanufactured Epson T1806 BCMY InkCartridge Multipack","Wilko",NA,"Multi",NA,"BCMY",0.883333333333333
"SBK","COM","348903","Wilko Remanufactured Canon PG-540XL Black InkCartridge","Wilko",NA,"Black",NA,"PG540XL",0.883333333333333
"SBK","COM","348904","Wilko Remanufactured Canon CL-541XL Colour InkCartridge","Wilko",NA,"Multi",NA,"CL541XL",0.883333333333333
"SBK","COM","422555","Wilko Epson T2601 Black Inkjet Cartridge","Wilko","10ml of Ink","Black",NA,NA,0.883333333333333
"SBK","COM","422556","Wilko Epson T2601/12/13/14 BCMY Multipk","Wilko",NA,"Multi",NA,NA,0.825
