"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"KIT","FAB","309563","D-C-Fix Deco Non-Slip Mat Beige 30cm x 1.5m336.3029","D-C-Fix","30cm x 1.5m","Brown","1",1
"KIT","FAB","309564","D-C-Fix Deco Non-Slip Liner Black 30cm x 1.5m 336-3027","D-C-Fix","30x150cm","Black","1",1
"KIT","FAB","309568","D-C-Fix Original Metallic Deco Self-Adhesive FilmSilver Effect 45cm x 1.5m 347-0003","D-C-Fix","45cm x 1.5m","Silver","1",1
"KIT","FAB","309570","D-C-Fix Original Gingham Deco Self-Adhesive FilmBlue 45cm x 2m 346-0290","D-C-Fix","45cm x 2m","Blue","1",1
"KIT","FAB","309571","D-C-Fix Original Baroque Deco Self-Adhesive FilmBlack/White 45cm x 2m 346-0497","D-C-Fix","45cm x 2m","Black","1",1
"KIT","FAB","309578","D-C-Fix Original Deco Self-Adhesive Film VelourBlack 45xm x 1m 348-0005","D-C-Fix","45cm x 1m","Black","1",1
"KIT","FAB","309579","D-C-Fix Original Deco Self-Adhesive Film Velour Green 45cm x 1m 348-0003","D-C-Fix","45cm x 1m","Green","1",1
"KIT","FAB","309580","D-C-Fix Original Self-Adhesive Film Matt White 45cm x 2m 346-0497","D-C-Fix","45cm x 2m","White","1",1
"KIT","FAB","309581","D-C-Fix Original Matt Deco Self-Adhesive Film Black 45cm x 2m 346-0002","D-C-Fix","45cm x 2m","Black","1",1
"KIT","FAB","309582","D-C-Fix Original Glossy Deco Self-Adhesive Film Magenta 45cm x 2m 346-0504","D-C-Fix","45cm x 2m","Red","1",1
"KIT","FAB","309583","D-C-Fix Original Glossy Deco Self-Adhesive FilmAqua 45cm x 2m 346-0506","D-C-Fix","45cm x 2m","Green","1",1
"KIT","FAB","309584","D-C-Fix Original Matt Deco Self-Adhesive Film Red45cm x 2m 346-0007","D-C-Fix","45cm x 2m","Red","1",1
"KIT","FAB","309585","D-C-Fix Original Glass Self-Adhesive Film Clear 45cm x 2m 346-0013","D-C-Fix","45cm x 2m","Clear","1",1
"KIT","FAB","309586","D-C-Fix Original Sabbia Deco Self-Adhesive Film Beige 45cm x 2m 346-0280","D-C-Fix","45cm x 2m","Brown","1",1
"KIT","FAB","309587","D-C-Fix Original Sabbia Deco Self-Adhesive Film Grey 45cm x 2m 346-0223","D-C-Fix","45cm x 2m","Grey","1",1
"KIT","FAB","309588","D-C-Fix Original Butchers Block Deco Self-AdhesiveFilm Beech Effect 45cm x 2m 346-0168","D-C-Fix","45cm x 2m","Wood","1",1
"KIT","FAB","309590","D-C-Fix Original Fontana Deco Self-Adhesive Film Beige 45cm x 2m 346-0099","D-C-Fix","45cm x 2m","Brown","1",1
"KIT","FAB","309591","D-C-Fix Original Granada Deco Self-Adhesive Film Multi 45cm x 2m 346-0531","D-C-Fix","45cm x 2m","Multi","1",1
"KIT","FAB","309593","D-C-Fix Original Marmi Deco Self-Adhesive Film Grey 45cm x 2m 346- 0306","D-C-Fix","45cm x 2m","Grey","1",1
"KIT","FAB","309596","D-C-Fix Original Glass Film 67.5cm x 1.5m 338-8011","D-C-Fix","67.5cm x 1.5m","Clear","1",1
"KIT","FAB","309597","D-C-Fix Original Glass Film 67.5cm x 1.5m 338-8011","D-C-Fix","67.5cm x 1.5m","Clear","1",1
"KIT","FAB","309598","D-C-Fix Original Bamboo Glass Film 67.5cm x 1.5m346-8023","D-C-Fix","67.5cm x 1.5m","Wood","1",1
"KIT","FAB","309599","D-C-Fix Original Glass Self-Adhesive Film Spring Clear 67.5cm x 1.5cm 346-8027","D-C-Fix","67.5cm x 1.5m","Clear","1",1
"KIT","FAB","309601","D-C-Fix Original Tara Glass Self-Adhesive Film Clear 67.5cm x 2m 346-8076","D-C-Fix","67.5cm x 2m","Clear","1",1
"KIT","FAB","309602","D-C-Fix Original Milky Glass Self-Adhesive Foil Clear 67.5cm x 2m 346-8052","D-C-Fix","67.5cm x 2m","Clear","1",1
"KIT","FAB","309603","D-C-Fix Original Spring Glass Self-Adhesive FilmClear 67.5cm x 2m 346-8355","D-C-Fix","67.5cm x 2m","Clear","1",1
"KIT","FAB","309604","D-C-Fix Original Trophen Glass Self-Adhesive FilmBlue 67.5cm x 2m 346-8246","D-C-Fix","67.5cm x 2m","Blue","1",1
"KIT","FAB","309605","D-C-Fix Original Glass Self-Adhesive Film Snow Clear 67.5cm x 2m 346-8011","D-C-Fix","67.5cm x 2m","Clear","1",1
"KIT","FAB","309607","D-C-Fix Original Deco Self-Adhesive Film Granite Grey 67.5cm x 2m 346-8049","D-C-Fix","67.5cm x 2m","Grey","1",1
"KIT","FAB","309608","D-C-Fix Original Deco Self-Adhesive Film Granite Beige 7.5cm x 2m 346-8050","D-C-Fix","67.5cm x 2m","Brown","1",1
"KIT","FAB","309609","D-C-Fix Original Deco Self-Adhesive Film Glossy White 67.5cm x 2m 346-8075","D-C-Fix","67.5cm x 2m","White","1",1
"KIT","FAB","309610","D-C-Fix Original Deco Self-Adhesive Film Glossy Black 67.5cm x 2m 346-8348","D-C-Fix","267.5cm x 2m","Black","1",1
"KIT","FAB","309611","D-C-Fix Original Deco Self-Adhesive Film Rustic Pine Effect 67.5cm x 2m 346-8015","D-C-Fix","67.5cm x 2m","Wood","1",1
"KIT","FAB","309612","D-C-Fix Original Deco Self-Adhesive Film Dark Walnut 7.5cm x 2m 346-8072","D-C-Fix","67.5cm x 2m","Brown","1",1
"KIT","FAB","309616","D-C-Fix Original Deco Self-Adhesive Film White Wood Effect 67.5cm x 2m 346-8026","D-C-Fix","67.5cm x 2m","White","1",1
"KIT","FAB","309617","D-C-Fix Original Deco Self-Adhesive Film Tyrol Beech Effect 67.5cm x 2m 346-8295","D-C-Fix","67.5cm x 2m","Wood","1",1
"KIT","FAB","309618","D-C-Fix Original Deco Self-Adhesive Film Light OakEffect 67.5cm x 2m 346-8017","D-C-Fix","67.5cm x 2m","Wood","1",1
"KIT","FAB","309619","D-C-Fix Original Deco Self-Adhesive Film JapaneseElm Effect 67.5cm x 2m 346-8015","D-C-Fix","67.5cm x 2m","Wood","1",1
"KIT","FAB","309620","D-C-Fix Original Deco Self-Adhesive Film Beech Effect 67.5cm x 2m 346-8056","D-C-Fix","67.5cm x 2m","Wood","1",1
"KIT","FAB","309622","D-C-Fix Original Deco Self-Adhesive Film Marmi White 67.5cm x 2m 346-8031","D-C-Fix","67.5cm x 2m","White","1",1
"KIT","FAB","309623","D-C-Fix Original Marmi Deco Self-Adhesive Film Black 67.5cm x 2m 346-8027","D-C-Fix","67.5cm x 2m","Black","1",1
"KIT","FAB","309624","D-C-Fix Original Marmi Deco Self-Adhesive Film Grey 67.5cm x 2m 346-8306","D-C-Fix","67.5cm x 2m","Grey","1",1
"KIT","FAB","309625","D-C-Fix Original Cortes Deco Self-Adhesive FilmGrey 67.5cm x 2m 346-8030","D-C-Fix","67.5cm x 2m","Grey","1",1
"KIT","FAB","319256","D-C-Fix Original Deco Self-Adhesive Film Flowers45cm x 2m 346-0193","D-C-Fix","45cm x 2m","Multi","1",1
"KIT","FAB","320196","D-C-Fix Original Deco Self-Adhesive Film Minster45cm x 2m 346-0616","D-C-Fix","45cm x 2m","Multi","1",1
"KIT","FAB","321274","D-C-Fix Original Deco Self-Adhesive Film AvellinoBeton 45cm x 2m 346-0583","D-C-Fix","45cm x 2m","Black","1",1
"KIT","FAB","321275","D-C-Fix Original Deco Self-Adhesive Film Blackwood67.5cmx 2m346-8007","D-C-Fix","67.5cm x 2m","Black","1",1
