"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","DQ Score"
"CLE","TOI","437713","Wilko Liquid Rim Block and 2 Refills Aqua","Wilko",NA,"1",0.9125
"CLE","TOI","437714","Wilko Liquid Rim Block and 2 Refills Rose and Raspberry Blossom","Wilko",NA,"1",0.9125
"CLE","TOI","437715","Wilko Dual Chamber Rim Block and 2 RefillsWhite Peony and Eucalyptus Rose and Raspberry","Wilko",NA,"1",0.9125
"CLE","TOI","437716","Wilko Functional Rim Block","Wilko",NA,"1",0.9125
"HOU","SCO","427442","Fairy Cleaning Sponge 3in1 Green","Fairy",NA,"2 Pack",0.86
"HOU","SCO","427443","Fairy Cleaning Sponge 3in1 Blue","Fairy",NA,"2 Pack",0.86
"HOU","SCO","427444","Fairy Inox Scourer Ball 3pk","Fairy",NA,NA,0.79
"HOU","SCO","436453","Fairy Platinum Sponge 2pk","Fairy","Silver","2",0.93
"HOU","SCO","436454","Fairy Multi-Purpose Microfibre Cloth","Fairy","Green","1",0.93
"HOU","SCO","436455","Fairy Sponge Cloths 3pk","Fairy","Multi","3",0.93
"HOU","SCO","453871","Fairy Hygienic Scourer Original 2pk","Fairy",NA,"2 Pack",0.86
"HOU","SCO","453872","Fairy Hygienic Scourer Platinum 2pk","Fairy",NA,"2 Pack",0.86
"HOU","SCO","453873","Fairy Hygienic Scourer Delicate 2pk","Fairy",NA,"2",0.86
"HOU","SCO","453874","Fairy Multi Purpose Scourer 4pk","Fairy",NA,"4",0.86
"HOU","SCO","453875","Fairy Scouring Pad Platinum 3pk","Fairy",NA,"3",0.86
"HOU","SCO","453876","Fairy Wiping Pad 3pk","Fairy",NA,"3",0.86
