"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Model Number","DQ Score"
"DIY","ELE","143939","Connect-It DC Power Adaptor 600mA Regulated","Pifco",NA,NA,"1",NA,"No",NA,"300ma",NA,NA,0.6
"DIY","ELE","343076","Wilko Mechanical Segment Timer","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOU","AIR","229129","Wilko Radiator Airer 3pk","Wilko","18x57cm","White","3pk",NA,NA,NA,NA,NA,NA,1
"HOU","PEG","132982","Wilko 20 Peg Airer","Wilko",NA,"Multi","20pcs",NA,NA,NA,NA,NA,NA,0.93
"HOU","WAR","230807","Wilko Storage Garment Rail Single 160cm approx","Wilko","95x160cm","Multi","1","Stainless Steel",NA,NA,NA,"10kg",NA,1
"KIT","BAP","284939","Wilko Silicone Whisk with Stainless Steel Handle","Wilko","30.5x7.5x1.7cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"KIT","BAP","284943","Wilko 12 Muffin Cases Silicone","Wilko","12 Pack","Multi","1","Silicone",NA,NA,NA,NA,NA,0.95
"KIT","BAP","304539","Wilko Mini Scales","Wilko","Mini","Multi",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","318430","Wilko Kitchen Scales Cream 5kg","Wilko","5kg","Cream",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","318431","Wilko Stainless Steel Electronic Kitchen Scales","Wilko",NA,"Pink","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","319625","Wilko Scales Black 5kg","Wilko","5kg","Black","1",NA,NA,NA,NA,NA,NA,1
"KIT","CUT","262784","Wilko Pestle and Mortar Natural Granite","Wilko",NA,"Grey","1",NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","CUT","262787","Wilko Salt and Pepper Mill Acrylic and Stainless Steel","Wilko",NA,"Silver","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","262788","Wilko Salt and Pepper Mill Acrylic","Wilko",NA,"Clear","1 Pair",NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","328805","Wilko Madison Cutlery Set 16 Piece","Wilko","16 Piece Set","Silver","16pcs",NA,NA,NA,NA,NA,NA,1
"KIT","CUT","328829","Wilko Lexington Cutlery Set 16 Piece","Wilko","16 Piece Set","Silver","16pcs",NA,NA,NA,NA,NA,NA,1
"KIT","CUT","328884","Wilko Como Cutlery Set 24 Piece","Wilko","24 Piece Set","Silver","24pcs",NA,NA,NA,NA,NA,NA,1
"KIT","CUT","427906","Wilko Forged Cutlery Set 16pcs","Wilko","16 piece",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","427907","Wilko Hammered Cutlery Set 24 Piece","Wilko","24 piece",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","427908","Wilko Latte Spoon 4pk","Wilko","4 pk",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","447291","Wilko Serving Spoons 2 Piece","Wilko","2 piece","Silver","2",NA,NA,NA,NA,NA,NA,1
"KIT","CUT","447295","Wilko Steak Knives 6 Pack","Wilko","Handle W - 1.5cm, Blade W - 1.8cm, H - 22cm, 70gm","Silver","6",NA,NA,NA,NA,NA,NA,1
"KIT","CUT","447297","Wilko Hanging Cutlery 32 Piece","Wilko","teaspoon 13.7cm, spoon 19.4cm, fork 19.4cm, knife","Silver","32",NA,NA,NA,NA,NA,NA,1
"KIT","CUT","302949","Wilko Functional Knives Stainless Steel 6pk","Wilko Functional","6 Piece Set","Silver","6pcs",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","319631","Wilko Seat Pad Black","Wilko","L43CM W43CM H5CM","Black",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","328600","Wilko Colourplay Cutlery Set Red 16 Piece","Wilko","16 Piece Set","Red","16pcs",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","328607","Wilko Colourplay Cutlery Set Black 16 pcs","Wilko","16 Piece Set","Black","16pcs",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","328611","Wilko Colourplay Cutlery Set Purple 16 Piece","Wilko","16 Piece Set","Purple","16pcs",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","435820","Wilko Charger Copper Effect","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","DIN","435821","Wilko Cafetiere Copper Effect 800ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","435822","Wilko Fruit Bowl Copper Effect","Wilko","22 x 22 x 7cm","Metal","1",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","440623","Wilko Cutlery Set Copper Effect 16pcs","Wilko","16 piece","Metal","16",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447294","Wilko Bowl Black with Copper Effect Lining25cm Diameter","Wilko","25cm","Multi","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","447457","Wilko Copper Effect Teapot with Infuser","Wilko","Thickness 1.6mm, L - 24cm, H - 3.2cm, CUP W - 5cm,","Metal","1",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","453009","Wilko Mini Fry Pan Copper Effect","Wilko",NA,"Metal","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","453010","Wilko Mini Sauce Pan Copper Effect 9cm","Wilko","9cm","Metal","1",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","453011","Wilko Balti Dish Copper Effect 15cm","Wilko","15cm","Metal","1",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","453012","Wilko Balti Dish Copper Effect 19cm","Wilko","19cm","Metal","1",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","453013","Wilko Cutlery Set Cream 16pcs","Wilko",NA,"Brown","16",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","453107","Wilko Coffee Pot Copper Effect 600ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453118","Wilko Tumbler Copper Effect","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453119","Wilko Barware Set Copper Effect","Wilko",NA,NA,"5 pk",NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453120","Wilko Wire Basket Copper Effect 3pce","Wilko",NA,NA,"3pce",NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453121","Wilko Moscow Mule Mug Copper Effect","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","DIN","453137","Wilko Teapot Copper Effect 1L","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453138","Wilko Utensil Holder Copper Effect","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","ELE","433371","Daewoo Aqua Glass Kettle 1.8L","Daewoo","1.8L",NA,NA,NA,NA,NA,"2520-3000W",NA,"SDA1207",0.891666666666667
"KIT","ELE","433372","Daewoo 2 Slice Glass Toaster","Daewoo","4 slice",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"KIT","ELE","435726","Daewoo Air Fryer","Daewoo",NA,NA,NA,NA,NA,NA,"1300W",NA,"SDA1032",0.93
"KIT","ELE","406641","Wilko Rice Cooker 1.8L","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","ELE","414221","Wilko Health Grill","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","ELE","434822","Wilko Power Blender Plus 1000W","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"KIT","FOO","178375","Wilko Stainless Steel Travel Mug","Wilko",NA,"Silver","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","FOO","233639","Wilko Flask Stainless Steel 500ml","Wilko","500","Silver",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","FOO","250417","Wilko Vacuum Flask Stainless Steel 1L","Wilko","1L","Silver","1",NA,NA,NA,NA,NA,NA,1
"KIT","FOO","285295","Wilko Thermal Flask with Glass Liner 1L","Wilko","1L",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","FOO","285296","Wilko Plastic Glass Lined Flask with Two Cups","Wilko","1.8L",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","FOO","318434","Wilko 1.2L Stainless Steel Jumbo Flask","Wilko","1200ml","Multi","1",NA,NA,NA,NA,NA,NA,1
"KIT","FOO","400478","Food Flask 450ml","Wilko","450ml","Multi","1",NA,NA,NA,NA,NA,NA,0.95
"KIT","FOO","435838","Wilko Flask Copper Effect 1L","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","GAD","120656","Wilko Colander Stainless Steel","Wilko","Large",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"KIT","GAD","222196","Wilko Stainless Steel Salad Tongs","Wilko","Large","Silver","1",NA,NA,NA,NA,NA,NA,0.941666666666667
"KIT","GAD","232675","Wilko Geared Can Opener","Wilko",NA,"Red","1",NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","GAD","232678","Wilko Vertical Peeler","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","GAD","237478","Wilko Kitchen Flat Exhaust Cooker Hood Filter 1mm2pk","Wilko","2 Pack","Silver","1",NA,NA,NA,NA,NA,NA,0.941666666666667
"KIT","GAD","262890","Wilko Granite Work Top Saver 30cm x 40cm","Wilko","1.5cm","Grey",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","GAD","319572","Wilko Chopping Board Bamboo Large","Wilko","Large",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","GAD","409441","Wilko Bamboo Tools Set 4pcs","Wilko",NA,NA,"4",NA,NA,NA,NA,NA,NA,0.825
"KIT","GAD","435858","Wilko Chopping Board Bamboo Large","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","GAD","435859","Wilko Chopping Board Bamboo Medium","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","GAD","435860","Wilko Chopping Board Paddle","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","GAD","435861","Wilko Chopping Board Pizza","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"KIT","GAD","435862","Wilko Chopping Board With Handle","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"KIT","GAD","435866","Wilko Conical Sieve","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","GAD","435867","Wilko Colander Mini 16cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","GAD","296440","Wilko Butterfly Tin Opener","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.775
"KIT","HOL","218337","Style Works Stainless Steel Stock Pot","Style Works","24cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"KIT","HOL","322498","Wilko Stock Pot 12L","Wilko","12L","Pink","1",NA,NA,NA,NA,NA,NA,1
"KIT","HOL","328644","Wilko Die Cast Frying Pan Aluminium 28cm","Wilko","28cm","Grey","1",NA,NA,"Do Not Wash",NA,NA,NA,1
"KIT","HOL","328822","Wilko Die Cast Casserole Square Aluminium 20cm","Wilko","20cm","Grey","1",NA,NA,NA,NA,NA,NA,1
"KIT","HOL","328823","Wilko Die Cast Casserole Square Aluminium 28cm","Wilko","28cm","Grey","1",NA,NA,NA,NA,NA,NA,1
"KIT","HOL","328825","Wilko Die Cast Wok Aluminium 32cm","Wilko","32cm","Grey","1",NA,NA,NA,NA,NA,NA,1
"KIT","HOL","328910","Wilko Die Cast Casserole Square Aluminium 24cm","Wilko","24cm","Grey","1",NA,NA,NA,NA,NA,NA,1
"KIT","HOL","414222","Wilko Non-Stick Frying Pan Grey Marble 20cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","414223","Wilko Non-Stick Frying Pan Grey Marble 24cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","414224","Wilko Non-Stick Casserole Dish Grey Marble 24cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","HOL","414225","Wilko Non-Stick Saute Pan Grey Marble 24cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","414590","Wilko Non-Stick Frying Pan Grey Marble 28cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","414591","Wilko Non-Stick Griddle Pan Grey Marble 24cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","435746","Wilko Stainless Steel Milkpan 14cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","435747","Wilko Stainless Steel Stock Pot 24cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","HOL","435748","Wilko Stainless Steel Saute Pan and Lid 24cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","435749","Wilko Stainless Steel Saucepan 16cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","435750","Wilko Stainless Steel Saucepan 20cm","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","435869","Wilko 3 Division Saucepan Separator","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","HOL","435871","Wilko Copper Casserole Tri Ply 20cm","Wilko","20cm",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"KIT","HOL","435872","Wilko Copper Frying Pan Tri Ply 24cm","Wilko","1",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"KIT","HOL","435873","Wilko Copper Saucepan Tri Ply 20cm","Wilko","20cm",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"KIT","HOL","435874","Wilko Copper Saucepan Tri Ply 18cm","Wilko","18cm",NA,"1",NA,NA,NA,NA,NA,NA,0.93
