"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","CAT","267053","Wilko Dry Cat Food Duck Rabbit Chicken andVegetables 950g","Wilko","950g",NA,0.9125
"PET","DOG","165344","Wilko Dog Mixer Mini Wheaty Feast 1.5kg","Wilko","1.5kg","1",1
"PET","DOG","266986","Wilko Complete Dog Food Special Feast withChicken and Vegetables 2.5kg","Wilko","2.5kg","1",1
"PET","DOG","266987","Wilko Complete Dog Food Special Feast Beef 2.5kg","Wilko","2.5kg",NA,0.9125
"PET","DOG","266988","Wilko Complete Puppy Food Beef and Vegetables2.5kg","Wilko","2.5kg","1",1
"PET","DOG","303633","Wilko Complete Dry Dog Food Chicken and CountryVegetables for Small Dogs 2.5kg","Wilko","2.5kg","1",1
"PET","DOG","336137","Wilko Complete Dog Food Mighty Meaty with TastyChicken and Vegetables 9kg","Wilko","9Kg","1",1
"PET","DOG","70410","Wilko Dog Wheaty Feast Biscuit Mixer 3kg","Wilko","3kg","1",1
"PET","DOG","453152","Wilko Best Complete Dry Dog Food Turkey and Rice2kg","Wilko Best","2kg","1",1
"PET","DOG","453153","Wilko Best Complete Dry Dog Food Lamb and Rice 2kg","Wilko Best","2kg","1",1
"PET","DOG","288007","Wilko Functional Working Dog Comp 2.5kg","Wilko Functional","2.5kg",NA,0.9125
"PET","TRT","138262","Wilko Dog Treats Chewy Chips Bacon 5pk","Wilko","5 Pk","5",1
"PET","TRT","149697","Wilko Dog Treats Chewy Chips Beef 5pk","Wilko","5 Pk","5",1
"PET","TRT","149698","Wilko Dog Treats Chewy Chips Chicken 5pk","Wilko","5Pk","5",1
"PET","TRT","267006","Wilko Dog Treats Biscuit Gravy Bones 400g","Wilko","400g","1",1
"PET","TRT","410515","Wilko Dog Treats Marrowbone Rolls 500g","Wilko","500g","1",1
"PET","TRT","430490","Wilko Dog Treats Chicken Gravy Bones 400g","Wilko","400g","1",1
"PET","TRT","430491","Wilko Dog Treats Crunchy Mini Marrowbone Rolls500g","Wilko","500g","1",1
"PET","TRT","452942","Wilko  Dog Meaty Treats Bacon 200g","Wilko","200g","1",1
"PET","TRT","70413","Wilko Dog Treats Crunchy Biscuit Selection 800g","Wilko","800g","1",1
"PET","TRT","70414","Wilko Dog Treats Crunchy Biscuit Bones 650g","Wilko","650g","1",1
"PET","TRT","80469","Wilko Dog Treats with Beef 200g","Wilko","200g","1",1
"PET","TRT","85484","Wilko Dog Treats with Chicken 200g","Wilko","200g",NA,0.9125
"PET","TRT","94528","Wilko Dog Treats Mini Biscuit Bones 250g","Wilko","250g",NA,0.9125
