"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"DEC","ADH","421517","Gorilla Tape 11m","Gorilla Glue",NA,"1",0.95
"DEC","ADH","421519","Gorilla Tape Handy Roll 9.14m x 25mm","Gorilla Glue",NA,"1",0.95
"DEC","ADH","421525","Gorilla Glue 60ml","Gorilla Glue",NA,"1",1
"DEC","ADH","421526","Gorilla Glue 115ml","Gorilla Glue",NA,"1",1
"DEC","ADH","421527","Gorilla Glue 250ml","Gorilla Glue",NA,"1",1
"DEC","ADH","421528","Gorilla Wood Glue 118ml","Gorilla Glue",NA,"1",0.95
"DEC","ADH","421530","Gorilla Wood Glue 532ml","Gorilla Glue",NA,"1",0.95
"DEC","ADH","421531","Gorilla Epoxy Glue 25ml","Gorilla Glue",NA,"1",0.95
"DEC","ADH","421532","Gorilla Superglue 3g 2pk","Gorilla Glue",NA,"2",0.95
"DEC","ADH","421533","Gorilla Superglue 15g","Gorilla Glue",NA,"1",0.95
"DEC","ADH","421534","Gorilla Superglue Gel 15g","Gorilla Glue",NA,"1",0.95
"DEC","ADH","441732","Gorilla Heavy Duty Grab Adhesive 290ml","Gorilla Glue","290ml","1",0.95
"DEC","ADH","441733","Gorilla Heavy Duty Mounting Tape 25.4mm x 1.52m","Gorilla Glue","1.52m","1",0.833333333333333
"DIY","MOT","421535","O'Keeffes Working Hands Hand Cream 96g","Gorilla Glue","96g","1",0.95
