"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Model Number","DQ Score"
"DEC","WAL","241091","Contour Wallpaper Cafe Culture Sculptured Grey 15280","Contour","10m x 0.52m","Grey","10",NA,"No",NA,NA,"5.2m²","15280",0.65
"DEC","WAL","277211","Contour Wallpaper Cappuccino Sculptured Vinyl Red/Black 17207","Contour","10m x 0.52m","Multi","1",NA,"No",NA,NA,"5.2m²","17207",0.65
"DEC","WAL","424086","Disney Wallpaper Mickey Vintage Episode","Disney","52cm x 10m",NA,"1","Paper",NA,NA,NA,"5.2m2",NA,0.95
"DEC","WAL","436910","Disney Wallpaper Cars 2","Disney","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436948","Disney Wallpaper Frozen Snow Queen","Disney","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436950","Disney Wallpaper Pretty As A Princess","Disney","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","413895","Fresco Wallpaper Chinese Blossom","Fresco","10m x 0.52m","Purple","1","Paper","No",NA,NA,"5.2m²",NA,0.65
"DEC","WAL","413901","Fresco Wallpaper Spring Blossom Silk Shimmer","Fresco","10m x 0.52m","White","1","Paper","No",NA,NA,"5.2m²","32-886",0.65
"DEC","WAL","424271","Fresco Wallpaper London Montage Black/Red","Fresco","52cm x 10m",NA,"1","Paper","No",NA,NA,"5.2m2","50-841",0.65
"DEC","WAL","436895","Fresco Wallpaper Brick Floral Frames","Fresco","10m x 0.52m","White","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436896","Fresco Wallpaper Trinket Box","Fresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436916","Fresco Wallpaper Dulcie Blue","Fresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436917","Fresco Wallpaper Red Brick Wall","Fresco","10m x 0.52m","Red","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436921","Fresco Wallpaper Flutter Forest Multicoloured","Fresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436929","Fresco Wallpaper Industrial Script Multicoloured","Fresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436933","Fresco Wallpaper Graffiti Multicoloured","Fresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436934","Fresco Wallpaper Bookcases Multicoloured","Fresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436935","Fresco Wallpaper City At Night Black","Fresco","10m x 0.52m","Black","1","Paper","No",NA,NA,"5.2m²","101693",0.65
"DEC","WAL","436936","Fresco Wallpaper Wood Panel Neutral","Fresco","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","438566","Fresco Wallpaper Apple Blossom Teal and Pink","Fresco","10m x 0.52m","Green","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","438567","Fresco Wallpaper Apple Blossom Grey and Pink","Fresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439092","Fresco Wallpaper Cloud 9 Blue","Fresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439097","Fresco Wallpaper Mai Blue","Fresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439098","Fresco Wallpaper Mai Grey","Fresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439099","Fresco Wallpaper Oriental Blue","Fresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439101","Fresco Wallpaper Plank Love Heart","Fresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439104","Fresco Wallpaper Vintage Frames Neutral","Fresco","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439105","Fresco Wallpaper Vision Plum","Fresco","10m x 0.52m","Purple","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439107","Fresco Wallpaper Wine Bottles","Fresco","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","450111","Superfresco Wallpaper Romantic Wood","Fresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436890","Graham and Brown Wallpaper Boutique Dynasty PlainCream","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","436891","Graham and Brown Wallpaper Boutique Dynasty Cream","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","436902","Contour Wallpaper Aurora Gold/Silver","Graham & Brown","10m x 0.52m","White","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","436904","Contour Wallpaper Earthen Mid Grey","Graham & Brown","10m x 0.52m","Grey","1","Paper","No",NA,NA,"5.2m²","18092",0.6
"DEC","WAL","436905","Contour Wallpaper Aurora Black/Silver","Graham & Brown","10m x 0.52m","Black","1","Paper","No",NA,NA,"5.2m²","20-144",0.6
"DEC","WAL","436914","Graham and Brown Wallpaper Kids at Home Vintage Blue","Graham & Brown","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","436947","Contour Wallpaper Earthen Beige","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439110","Graham and Brown Wallpaper Vinyl Chenille Beige/Gold","Graham & Brown","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439114","Graham and Brown Wallpaper Vinyl Devore Silver","Graham & Brown","10m x 0.52m","Silver","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439115","Graham and Brown Wallpaper Vinyl Flamenco Charcoal/Silver","Graham & Brown","10m x 0.52m","Black","1","Paper","Yes",NA,NA,"5.2m²","101409",0.6
"DEC","WAL","439118","Graham and Brown Wallpaper Vinyl Flamenco Taupe/Champagne","Graham & Brown","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439125","Graham and Brown Wallpaper Vinyl Moonstone Chocolate/Copper","Graham & Brown","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439128","Graham and Brown Wallpaper Vinyl Opal Damask White/Silver","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439135","Graham and Brown Wallpaper Vinyl Tango White/Silver","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439138","Graham and Brown Wallpaper Vinyl Twist Ivory/Gold","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","413897","Marvel Superheroes Wallpaper Comic Cover","Marvel","10m x 0.52m","Multi","1","Paper","No",NA,NA,"5.2m²","70-238",0.65
"DEC","WAL","1924740","Superfresco Wallpaper Baroque White 33605","Superfresco","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","207925","Superfresco Wallpaper Textured Vinyl White 284","Superfresco","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","221315","Superfresco Wallpaper Textured Vinyl White 70074","Superfresco","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","251726","Superfresco Wallpaper Hessian Textured Vinyl White16134","Superfresco","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","263635","Superfresco Wallpaper Ribbed Textured Paintable White 17775","Superfresco","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","277206","Superfresco Wallpaper Colours Java Textured VinylChocolate 18942","Superfresco","10m x 0.52m","Brown","1",NA,"No",NA,NA,"5.2m²","18942",0.65
"DEC","WAL","290011","Superfresco Wallpaper Cherry Blossom White","Superfresco","10m x 0.52m","White","1",NA,"No",NA,NA,"5.2m²","19887",0.65
