"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"SBK","DES","349356","Helix Super School Set","Helix",NA,NA,"1",0.9125
"SBK","DES","349435","Helix Oxford Math Set Instruments","Helix",NA,NA,NA,0.825
"SBK","DES","349442","Helix Ruler Oxford shatter Proof 30cm","Helix","30cm",NA,NA,0.86
"SBK","DES","349443","Helix Oxford Folding Ruler 30cm","Helix","30cm",NA,NA,0.86
"SBK","DES","434320","Ergo Soft 2 Hole Canister Pencil Sharpener","Helix","1.9 x 6 x 17.6cm",NA,"1",0.95
"SBK","DES","434321","Ergo Grip Sharpener & Eraser Pack","Helix","10.3 x 7.3 x 2cm",NA,"1",0.95
"SBK","DES","349437","Maped Eraser Zenoa","Maped",NA,NA,NA,0.825
"SBK","DES","349445","Maped 21cm Soft Touch Scissors","Maped","21cm",NA,NA,0.86
"SBK","DES","417409","Kidz Universal Holder Compass","Maped","15 x 70 x 190mm",NA,"1",0.95
"SBK","DES","417412","Moondo Pencil Sharpener and Eraser","Maped","40 x 20 x 70mm",NA,"1",0.95
"SBK","DES","417413","Boogy 1 Hole Pencil Sharpener","Maped","15 x 65 x 125mm",NA,"1",0.95
"SBK","DES","417416","Technic Wings Eraser","Maped","125 x 65 x 22mm",NA,"1",0.95
"SBK","DES","417417","Croc Croc 1 Hole Pencil Sharpener","Maped","125 x 95 x 46mm",NA,"1",0.95
"SBK","DES","417419","Maped Ice Fun Pen Sky Blue","Maped","17.6 x 6 x 1.9cm","Blue","1",1
"SBK","DES","417420","Maped Ice Fun Pen Pink","Maped","17.6 x 6 x 1.9cm","Pink","1",1
"SBK","DES","417421","Maped Ice Fun Pen Purple","Maped","17.6 x 6 x 1.9cm","Purple","1",1
"SBK","DES","417422","Maped Ice Fun Pen Apple Green","Maped","17.6 x 6 x 1.9cm","Green","1",1
"SBK","DES","417423","Study Compass And Universal Holder","Maped",NA,NA,NA,0.775
"SBK","DES","434300","Maped Ice Fun Pen Black","Maped","17.6 x 6 x 1.9cm","Black","1",1
"SBK","DES","417404","Oxford Small Geometry Set","Oxford","4 x 100 x 230mm",NA,"1",1
"SBK","DES","432160","Oxford Large Sleeved Eraser","Oxford","1.1 x 2.1 x 6.3cm",NA,"1",1
"SBK","DES","432161","Oxford 1 Hole Barrel Sharpener","Oxford","5 x 4 x 4 cm",NA,"1",1
"SBK","DES","432162","Oxford HB Pencils 12pk","Oxford","1.5 x 4.8 x 21cm",NA,"12",0.93
"SBK","DES","432165","Oxford 180° Protractor","Oxford","0.2 x 8 x 18.5cm",NA,"1",1
