"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","DQ Score"
"PET","100","314272","Arden Grange Adult Complete Dry Dog Food with Fresh Chicken and Rice 2kg","Arden Grange","2kg",NA,"1",NA,NA,NA,1
"PET","100","314273","Arden Grange Adult Complete Dry Dog Food Rich in Lamb and Rice 2kg","Arden Grange","2kg",NA,NA,NA,NA,NA,0.9125
"PET","100","314809","Arden Grange Complete Dry Dog Food Adult Chicken and Rice 12kg","Arden Grange","12kg",NA,"1",NA,NA,NA,1
"PET","100","314810","Arden Grange Complete Dry Dog Food Adult Lamb andRice 12kg","Arden Grange","12kg",NA,"1",NA,NA,NA,1
"PET","100","303733","Rooster Booster 125g","Battle","125g",NA,NA,NA,NA,NA,0.8625
"PET","100","303735","Battle Poultry Stockholm Tar 400g","Battle","400g",NA,NA,NA,NA,NA,0.9125
"PET","100","303736","Battle Poultry Drink 250ml","Battle","250ml",NA,NA,NA,NA,NA,0.9125
"PET","100","303739","Battle Poultry Red Mite Powder 500g","Battle","500g",NA,NA,NA,NA,NA,0.9125
"PET","100","303803","Battle Poultry Disinfectant Cleaner 1L","Battle","1L",NA,NA,NA,NA,NA,0.9125
"PET","100","314423","Beaphar Shampoo Odour Neutraliser 250ml","Beaphar","250ml",NA,NA,NA,NA,NA,0.86
"PET","100","314441","Beaphar Multi Vitamin Paste Duo-Active 100g","Beaphar","100g",NA,NA,NA,NA,NA,0.86
"PET","100","314442","Beaphar Hairball Paste 2in1 Remedy 100g","Beaphar","100g",NA,NA,NA,NA,NA,0.9125
"PET","100","314712","Beaphar Tooth Gel for Dogs and Cats 100g","Beaphar","100g",NA,NA,NA,NA,NA,0.86
"PET","100","314893","Beaphar Gentle Leader Large","Beaphar","Large","Multi",NA,NA,NA,NA,0.93
"PET","100","453829","Bob Martin Skin Soother Spray 75ml","Bob Martin","3.8cm x 3.8cm x 14.5cm",NA,"1",NA,NA,NA,0.93
"PET","100","453830","Bob Martin Joint Formula High Strength Oil 150ml","Bob Martin","150ml",NA,"1",NA,NA,NA,0.93
"PET","100","453831","Bob Martin High Strength Flexible Joint Tablets30 Tablets","Bob Martin","30s",NA,"30",NA,NA,NA,0.93
"PET","100","453832","Bob Martin Stay Calm Nutritional Oil 150ml","Bob Martin","150ml",NA,"1",NA,NA,NA,0.93
"PET","100","453833","Bob Martin Omega 3 Fish Oil 150ml","Bob Martin","3.6cm x 5.8cm x 14.2cm",NA,"1",NA,NA,NA,0.93
