"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"HOM","CUR","428085","Wilko Foot Stool Cube 40 x 40 x 30cm","Wilko","40cm x 40cm x 30cm",NA,NA,NA,"No",NA,0.883333333333333
"HOM","CUS","446585","Wilko Faux Mongolian Cushion Charcoal 43x43cm","Wilko","43 x 43cm","Grey",NA,NA,"No",NA,0.941666666666667
"HOM","CUS","446586","Wilko Faux Mongolian Cushion Plum 43x43cm","Wilko","43 x 43cm","Purple",NA,NA,"No",NA,0.941666666666667
"HOM","CUT","325498","Wilko Faux Mongolian Red 43 x 43cm","Wilko","43x43cm","Red",NA,"100% Polyester","No",NA,1
"HOM","CUT","325499","Wilko Faux Mongolian Cushion Natural 43 x 43cm","Wilko","43x43cm","Cream",NA,"100% Polyester","No",NA,1
"HOM","CUT","325500","Wilko Faux Mongolian Green 43 x 43cm","Wilko","43x43cm","Green",NA,"100% Polyester","No",NA,1
"HOM","CUT","341194","Wilko Faux Mongolian Cushion Grey 43 x 43cm","Wilko","43x43cm","Grey",NA,NA,"No",NA,0.941666666666667
"HOM","CUT","418555","Wilko Faux Mongolian Mink Cushion 43 x 43cm","Wilko","43x43cm","Brown",NA,NA,"No",NA,0.941666666666667
"HOM","CUT","418556","Wilko Faux Mongolian Duck Egg 43 x 43cm","Wilko","43x43cm",NA,NA,NA,"No",NA,0.883333333333333
"HOM","CUT","455651","Wilko Sparkly Cushion Grey 43x43cm","Wilko","43 x 43cm","Grey","1",NA,NA,NA,0.9
"HOM","CUT","455657","Wilko Sparkly Cushion Red 43x43cm","Wilko","43 x 43cm","Red","1",NA,NA,NA,0.9
"HOM","CUT","455658","Wilko Sparkly Cushion Natural 43x43cm","Wilko","43 x 43cm","Cream","1",NA,NA,NA,0.9
"HOM","CUT","455725","Wilko Home Words Cushion 43 x 43cm","Wilko","43 x 43cm","Cream","1","Cotton","No","Do Not Wash",0.65
