"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"HOM","QUI","243583","Wilko Water Resistant Single Mattress Protector90 x 190cm","Wilko","Single","White",NA,"100% Polypropylene","No",NA,1
"HOM","QUI","243584","Wilko Water Resistant Double Mattress Protector140 x 190cm","Wilko","Double","White",NA,"100% Polypropylene","No",NA,1
"HOM","QUI","243585","Wilko King Size Mattress Protector  150 x 200cm","Wilko","Kingsize","White",NA,"Polypropylene, Polyethylene","No",NA,1
"HOM","QUI","243586","Wilko Luxury Mattress Single Protector Quilted","Wilko","Single","White",NA,"100% Polyester","No",NA,1
"HOM","QUI","243587","Wilko Luxury Mattress Double Protector Quilted","Wilko","Double","White",NA,"100% Polyester","No",NA,1
"HOM","QUI","243588","Wilko Luxury Mattress King Size Protector Quilted","Wilko","Kingsize","White",NA,"100% Polyester","No",NA,1
"HOM","QUI","274682","Wilko Super Soft Single Duvet 13.5 Tog","Wilko","Single","White","1","Polyester",NA,"Washable",1
"HOM","QUI","274683","Wilko Polycotton Double Duvet 13.5 Tog","Wilko","Double","White","1","100% Polyester",NA,"Washable",1
"HOM","QUI","274684","Wilko Super Soft King Size Duvet 13.5 Tog","Wilko","Kingsize","White","1","100% Polyester",NA,"Washable",1
"HOM","QUI","314950","Wilko Pillow Protector Quilted White 50 x 75cm","Wilko","75x50cm","White","1","100% Polyester",NA,"Washable",1
"HOM","QUI","324820","Wilko Supersoft Pillow 2pk 48 x 74cm","Wilko","63x42cm","White","2","100% Polyester",NA,"Washable",1
"HOM","QUI","324821","Wilko Ultra Bounce Single Duvet 10.5 Tog","Wilko","Single","White","1","100% Polyester Cover, 100% Polyester Filling",NA,"Washable",1
"HOM","QUI","324822","Wilko Ultra Bounce Double Duvet 10.5 Tog","Wilko","Double","White","1","100% Polyester Cover, 100% Polyester Filling",NA,"Washable",1
"HOM","QUI","324823","Wilko Ultra Bounce King Size Duvet 10.5 Tog","Wilko","Kingsize","White","1","100% Polyester Cover, 100% Polyester Filling",NA,"Washable",1
"HOM","QUI","324824","Wilko Anti-Allergy Single Duvet 10.5Tog","Wilko","Single","White","1","100% Polyester Cover, 100% Polyester Filling",NA,"Washable",1
"HOM","QUI","324825","Wilko Anti-Allergy Double Duvet 10.5 Tog","Wilko","Double","White","1","100% Polyester Cover, 100% Polyester Filling",NA,"Washable",1
"HOM","QUI","324826","Wilko Anti-Allergy King Size Duvet 10.5Tog","Wilko","Kingsize","White","1","100% Polyester Cover, 100% Polyester Filling",NA,"Washable",1
