"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"TOI","BAB","174099","Johnsons Baby Bedtime Bath Lavender and Camomile300ml","Johnsons","300ml",NA,"1",NA,NA,NA,0.93
"TOI","BAB","227002","Johnsons Baby Soap 4 Bar Value Pack","Johnsons","100g",NA,"4pk",NA,NA,NA,0.93
"TOI","BAB","285264","Johnsons Baby Oil 300ml","Johnsons","300ml",NA,"1",NA,NA,NA,0.93
"TOI","BAB","285265","Johnsons Baby Shampoo 300ml","Johnsons","300ml",NA,NA,NA,NA,NA,0.86
"TOI","BAB","285530","Johnsons Baby Bath 300ml","Johnsons","300ml",NA,"1",NA,NA,NA,0.93
"TOI","BAB","285531","Johnsons Baby Lotion 300ml","Johnsons","300ml",NA,"1",NA,NA,NA,0.93
"TOI","BAB","312118","Johnsons 2in1 Bath And Wash 300ml","Johnsons","300ml",NA,"1",NA,NA,NA,0.93
"TOI","BAB","347211","Johnsons Baby Light Oil Spray 200ml","Johnsons","200ml",NA,"1",NA,NA,NA,0.93
"TOI","BAB","50340","Johnsons Baby Powder 500g","Johnsons","500g",NA,"1",NA,NA,NA,0.93
"TOI","BAB","58245","Johnsons Cotton Buds 200pk","Johnsons","200",NA,"200pk",NA,NA,NA,0.93
"TOI","BAN","439354","Johnson's Extra Sensitive Fragrance Free BabyWipes 56pk","Johnsons",NA,NA,"56",NA,NA,NA,0.81
"TOI","BAN","439355","Johnson's Gentle All Over Baby Wipes 56pk","Johnsons",NA,NA,"56",NA,NA,NA,0.81
"TOI","BAN","439361","Johnson's Extra Sensitive Fragrance Free BabyWipes 4pk","Johnsons",NA,NA,"56",NA,NA,NA,0.81
"TOI","DEN","34246","Euthymol Toothpaste Original 75ml","Euthymol","75ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","151657","Listerine Mouthwash Coolmint 500ml","Listerine","500ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","191107","Listerine Antibacterial Mouthwash  Freshburst 500m","Listerine","500ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","210299","Listerine Teeth and Gum Mouthwash  Fresh Mint500ml","Listerine","500ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","260338","Listerine Mouthwash Total Care Clean Mint 500ml","Listerine","500ml","Multi",NA,"No",NA,"12 Years",0.65
"TOI","DEN","281641","Listerine Total Care Sensitive Antibacterial Mouthwash 500ml","Listerine",NA,"Multi",NA,"No","500ml",NA,0.65
"TOI","DEN","293267","Listerine Mouthwash Cool Citrus 250ml","Listerine",NA,NA,"1","No",NA,NA,0.65
"TOI","DEN","315819","Listerine Zero Mouthwash Mild Mint 500ml","Listerine","500ml","Multi","1","No","500ml",NA,0.65
"TOI","DEN","315893","Listerine Mouthwash Total Care Zero Smooth Mint500ml","Listerine","500ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","34269","Listerine Mouthwash Original 500ml","Listerine","500ml",NA,"1",NA,NA,NA,0.93
"TOI","DEN","433130","Listerine Mouthwash Spearmint 250ml","Listerine",NA,NA,NA,"No",NA,NA,0.65
"TOI","FAC","351452","Aveeno Skin Relief Lotion 75ml","Aveeno","75ml",NA,"1",NA,NA,NA,1
"TOI","FAC","452888","Aveeno Daily Moist Hand Cream 75ml","Aveeno","75ml",NA,"1",NA,NA,NA,1
"TOI","FAC","452923","Aveeno Daily Moisturising Lotion 200ml","Aveeno","200ml",NA,"1",NA,NA,NA,1
"TOI","FAC","136386","Clean & Clear Deep Cleansing Lotion 200ml","Clean & Clear","200ml",NA,NA,NA,NA,NA,0.9125
"TOI","FAC","136771","Clean & Clear Daily Scrub Blackhead Clearing 150ml","Clean & Clear","150ml",NA,"1",NA,NA,NA,1
"TOI","FAC","150074","Clean & Clear Cream Wash 150ml","Clean & Clear","150ml",NA,NA,NA,NA,NA,0.9125
"TOI","FAC","201874","Clean & Clear Blackhead Cleanser 200ml","Clean & Clear","200ml",NA,NA,NA,NA,NA,0.9125
"TOI","FAC","351484","Clean & Clear Advanced Gel 15ml","Clean & Clear","15ml",NA,"1",NA,NA,NA,1
"TOI","FAC","163845","Johnsons Face Care Wipes 25pk","Johnsons",NA,NA,"25pk",NA,NA,NA,0.9125
"TOI","FAC","281696","Johnsons 3in1 Normal Refresh Wipes 25pk","Johnsons",NA,NA,"25",NA,NA,NA,0.9125
"TOI","FAC","303351","Johnsons Daily Essential Moisturisng  Wipes 25pk","Johnsons",NA,NA,"25pk",NA,NA,NA,0.9125
"TOI","FAC","331759","Clean & Clear Exfoliating Wash 150ml","Johnsons",NA,NA,"1",NA,NA,NA,0.8625
"TOI","FAC","163986","Norwegian Formula Hand Cream 50ml","Neutrogena","50ml",NA,NA,NA,NA,NA,0.8625
"TOI","FAC","269798","Norweigan Formula Hand Cream Unscented  50ml","Neutrogena","50ml",NA,"1",NA,NA,NA,0.95
"TOI","FAC","319836","Neutrogena Fast Absorbing Hand Cream LightTexture 75ml","Neutrogena","75ml",NA,NA,NA,NA,NA,0.9125
"TOI","FAC","351488","Norweigen Formula Hand Cream 75ml","Neutrogena","75ml",NA,"1",NA,NA,NA,0.95
"TOI","FAC","351489","Norwegian Formula Body Lotion 400ml","Neutrogena","400ml",NA,"1",NA,NA,NA,0.95
"TOI","MED","453063","Benadryl Childrens Allergy Relief 6+Oral Soultion 70ml","Benadryl","75ml",NA,"1",NA,NA,NA,0.95
"TOI","MED","248648","Benylin Cold and Flu Max Strength Capsules 16pk","Benylin",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","284487","Benylin Mucas Cough 150ml","Benylin",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","330072","Benylin Chesty Cough 150ml","Benylin","150ml",NA,NA,NA,NA,NA,0.9125
"TOI","MED","352137","Benylin Adult Tickly Cough Non Drowsy 150ml","Benylin","150ml",NA,"12",NA,NA,NA,1
"TOI","MED","236042","Calpol Infant Suspension Strawberry Flavour 2+ Months 100ml","Calpol","100ml",NA,NA,NA,NA,NA,0.9125
"TOI","MED","236043","Calpol Sugar Free Infant Strawberry Flavour2+ Months 100ml","Calpol","100ml",NA,"1",NA,NA,NA,1
"TOI","MED","248643","Calpol Fastmelts Strawberry Flavour 6+ 12pk","Calpol",NA,NA,"12pk",NA,NA,NA,0.9125
"TOI","MED","284476","Calpol Sugarfree 6+ 80ml","Calpol",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","351056","Calpol Saline Nasal Drops 10ml","Calpol","10ml",NA,"1",NA,NA,NA,1
"TOI","MED","453070","Colpermin IBS Relief Capsules 20s","Colpermin",NA,NA,"20","No",NA,"16 Year Plus",0.65
"TOI","MED","284478","Compeed Blister Medium 5pk","Compeed",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","304074","Compeed Corn Plasters Medium 10pk","Compeed",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","453064","Compeed Anti-Blister Stick 8ml","Compeed","8ml",NA,"1",NA,NA,NA,1
"TOI","MED","453060","Daktarin Active Spray Powder 100g","Daktarin","100g",NA,"1",NA,NA,NA,1
"TOI","MED","172920","Imodium Original 2mg 6pk","Imodium",NA,NA,"6pk","No",NA,"12",0.65
"TOI","MED","196323","Imodium Instants 6pk","Imodium",NA,NA,"6pk","No",NA,"12 Years",0.65
"TOI","MED","332801","Imodium Plus Comfort 6pk","Imodium",NA,NA,"6pk","No",NA,NA,0.65
"TOI","MED","296681","Sudafed Blocked Nose Spray 15ml","Sudafed",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","296684","Sudafed Blocked Nose 12pk","Sudafed",NA,NA,"12pk",NA,NA,NA,0.9125
"TOI","MED","296686","Sudafed Blocked Nose and Sinus Tabs 16pk","Sudafed",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","304193","Sudafed Mucus Relief Tablets 16pk","Sudafed",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","SAN","76715","Carefree Liner Fresh 20pk","Carefree",NA,NA,"20",NA,NA,NA,0.8
"TOI","SAN","82316","Carefree Breathable Single Wrapped Pantyliners20pk","Carefree",NA,NA,"20pk",NA,NA,NA,0.8
"TOI","SHC","278421","Neutrogena T-Gel Shampoo 250ml","Neutrogena","250ml",NA,"1",NA,NA,NA,1
"TOI","SHC","324866","Nizoral Anti Dandruff Shampoo 60ml","Nizoral","60ml",NA,"1",NA,NA,NA,1
"TOI","SHC","186286","Neutrogena T/Gel Therapeutic Shampoo 125ml","T Gel","125ml",NA,"1",NA,NA,NA,0.95
