"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"TOI","SUN","253573","Calypso Once A Day Sun Protection Medium SPF20200ml","Calypso","200ml",NA,0.9125
"TOI","SUN","286951","Calypso Once A Day Sun Protection Kids High SPF40150ml","Calypso","150ml","1",1
"TOI","SUN","433689","Calypso Once a Day SPF30 200ml","Calypso",NA,"1",0.9125
"TOI","SUN","433690","Calypso Deep Tan MonoTahiti SPF2 200ml","Calypso",NA,"1",0.9125
"TOI","SUN","433691","Calypso Deep Tan Oil Mono Tahiti SPF6 200ml","Calypso",NA,"1",0.9125
"TOI","SUN","433692","Calypso Deep Tan Oil Mono Tahiti SPF15 200ml","Calypso",NA,"1",0.9125
"TOI","SUN","433694","Calypso Original Carrot Oil SPF6 200ml","Calypso",NA,"1",0.9125
"TOI","SUN","433695","Calypso Original Carrot Oil SPF15 200ml","Calypso",NA,"1",0.9125
"TOI","SUN","450646","Calypso After Sun Lotion 500ml","Calypso",NA,"1",0.9125
"TOI","SUN","452630","Calypso Wet Skin Dry Oil SPF10 200ml","Calypso",NA,"1",0.9125
"TOI","SUN","452631","Calypso Wet Skin Dry Oil SPF15 200ml","Calypso",NA,"1",0.9125
"TOI","SUN","452632","Calypso Wet Skin Dry Oil SPF30 200ml","Calypso",NA,"1",0.9125
