"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Washable","DQ Score"
"HOM","RUG","421713","Stripe Runner and Doormat Set Grey57 x 100cm and 57 x 40cm","Wilko Functional","Runner 57x100cm, Doormat 57x40cm","Grey","100% Polypropylene Pile, with Latex backing","Wash at 30",0.95
"HOM","RUG","421715","Stripe Runner and Doormat Set Grey57 x 150cm and 57 x 40cm","Wilko Functional","Runner 57x150cm, Doormat 57x40cm","Grey","100% Polypropylene Pile, with Latex backing","Wash at 30",0.95
"HOM","RUG","421716","Stripe Runner and Doormat Set Grey57 x 180cm and 57 x 40cm","Wilko Functional","Runner 57x180cm, Doormat 57x40cm","Grey","100% Polypropylene Pile, with Latex backing","Wash at 30",0.95
"HOM","RUG","421717","Stripe Runner and Doormat Set Grey57 x 230cm and 57 x 40cm","Wilko Functional","Runner 57x230cm, Doormat 57x40cm","Grey","100% Polypropylene Pile, with Latex backing","Wash at 30",0.95
"HOM","RUG","421718","Stripe Runner and Doormat Set Brown57 x 100cm and 57 x 40cm","Wilko Functional","Runner 57x100cm, Doormat 57x40cm","Brown","100% Polypropylene Pile, with Latex backing",NA,0.891666666666667
"HOM","RUG","421719","Stripe Runner and Doormat Set Brown80 x 133cm and 57 x 40cm","Wilko Functional","Runner 80x133cm, Doormat 57x40cm","Brown","100% Polypropylene Pile, with Latex backing","Wash at 30",0.95
"HOM","RUG","421720","Stripe Runner and Doormat Set Brown57 x 150cm and 57 x 40cm","Wilko Functional","Runner 57x150cm, Doormat 57x40cm","Brown","100% Polypropylene Pile, with Latex backing",NA,0.891666666666667
"HOM","RUG","421721","Stripe Runner and Doormat Set Brown57 x 180cm and 57 x 40cm","Wilko Functional","Runner 57x180cm, Doormat 57x40cm","Brown","100% Polypropylene Pile, with Latex backing","Wash at 30",0.95
"HOM","RUG","421722","Stripe Runner and Doormat 57 x 230cm and 57 x 40cm","Wilko Functional","Runner 57x230cm, Doormat 57x40cm","Brown","100% Polypropylene Pile, with Latex backing","Wash at 30",0.95
"HOM","RUG","421728","Stripe Runner and Doormat Set Red","Wilko Functional","Runner 57x100cm, Doormat 57x40cm","Red","100% Polypropylene Pile, with Latex backing","Wash at 30",0.95
"HOM","RUG","421729","Stripe Runner and Doormat Set Red","Wilko Functional","Runner 80x133cm, Doormat 57x40cm","Red","100% Polypropylene Pile, with Latex backing",NA,0.891666666666667
"HOM","RUG","421730","Stripe Runner and Doormat Set Red","Wilko Functional","Runner 57x150cm, Doormat 57x40cm","Red","100% Polypropylene Pile, with Latex backing",NA,0.891666666666667
"HOM","RUG","421731","Stripe Runner and Doormat Set Red","Wilko Functional","Runner 57x180cm, Doormat 57x40cm","Red","100% Polypropylene Pile, with Latex backing",NA,0.891666666666667
"HOM","RUG","421732","Stripe Runner and Doormat Set Red","Wilko Functional","Runner 57x230cm, Doormat 57x40cm","Red","100% Polypropylene Pile, with Latex backing",NA,0.891666666666667
"HOM","RUG","421780","Marvel Stripe Rug Plum 80 x 150cm","Wilko Functional","80 x 150cm","Purple","100% Polypropylene Pile","Spot Clean Only",0.95
"HOM","RUG","421781","Marvel Stripe Rug Plum 120 x 170cm","Wilko Functional","120 x 170cm","Purple","100% Polypropylene Pile","Spot Clean Only",0.95
"HOM","RUG","421881","Traditional Runner Bokhara Design Red 67x200cm","Wilko Functional","67x200cm","Red","100% Polypropylene Pile",NA,0.891666666666667
"HOM","RUG","421882","Traditional Bokhara Runner Red 67x300cm","Wilko Functional","67x300cm","Red","100% Polypropylene Pile",NA,0.891666666666667
"HOM","RUG","421884","Traditional Rug Bokhara Design Red 120x120cm","Wilko Functional","120x120cm","Red","100% Polypropylene Pile",NA,0.891666666666667
"HOM","RUG","421885","Traditional Rug Bokhara Design 120x170cm","Wilko Functional","120x170cm",NA,"100% Polypropylene Pile",NA,0.833333333333333
"HOM","RUG","421887","Traditional Rug Bokhara Design Red 200x290cm","Wilko Functional","200x290cm","Red","100% Polypropylene Pile",NA,0.891666666666667
"HOM","RUG","421888","Traditional Rug Bokhara Design Red 240x340cm","Wilko Functional","240x340cm","Red","100% Polypropylene Pile",NA,0.891666666666667
"HOM","RUG","445394","Faux Fur Silver Sheep Rug 75 x 90cm","Wilko Functional","75x90cm",NA,"Acrylic",NA,0.833333333333333
"HOM","RUG","445482","Funky Fox Rug 60 x 110cm","Wilko Functional","60x110cm",NA,"Polypropyline",NA,0.833333333333333
"HOM","RUG","445484","Funky Fox Rug 80 x 150cm","Wilko Functional","80x150cm",NA,"Polypropyline",NA,0.833333333333333
"HOM","RUG","445485","Funky Fox Rug 120x170cm","Wilko Functional","120x170cm",NA,"Polypropyline",NA,0.833333333333333
"HOM","RUG","445486","Funky Fox Rug 160 x 230cm","Wilko Functional","160x230cm",NA,"Polypropyline",NA,0.833333333333333
