"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","DQ Score"
"HOM","DIN","240687","Breakfast Dining Set 3 Piece","Wilko","81x53x85cm","Wood",NA,NA,"Yes",NA,NA,NA,0.891666666666667
"HOM","FUR","298650","Wilko Oslo 4 Cube Unit Oak Effect","Wilko","Single","Wood","1pcs","MDF","Yes","N/A","N/A","N/A",0.65
"HOM","FUR","325046","Wilko Oslo 2 Tier Shelving Unit Oak Effect","Wilko","Single","Wood","1pcs","MDF","Yes",NA,"N/A",NA,1
"HOM","FUR","325047","Wilko Shelving Unit Oslo Style 3 Tier Oak Effect","Wilko","Single","Wood","1pcs","MDF","Yes",NA,"N/A",NA,1
"HOM","FUR","325048","Wilko Bookcase Oslo Style 3 Tier Oak Effect","Wilko","Single","Wood","1pcs","MDF","Yes",NA,"N/A",NA,1
"HOM","FUR","430526","Wilko Oslo 2 Tier Unit White","Wilko","H70 x D30 X W38.5cm",NA,"1","MDF","Yes","N/A","N/A","N/A",0.65
"HOM","FUR","430527","Wilko Oslo White 3 Tier Unit","Wilko",NA,NA,"1","MDF","Yes","N/A","N/A","N/A",0.65
"HOM","FUR","430528","Wilko Oslo 4 Cube Unit White","Wilko",NA,NA,"1","MDF","Yes","N/A","N/A","N/A",0.65
"HOM","FUR","432905","Wilko Butlers Tray Table","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOM","FUR","304042","Wilko Functional 2 Tier Shelving Unit Oak Effect","Wilko Functional","Single","Cream","1",NA,"Yes",NA,NA,NA,0.9125
"HOM","FUR","304108","Wilko Functional 3 Tier Shelving Unit Oak Effect","Wilko Functional","Single","Brown","1pcs",NA,"Yes",NA,NA,NA,0.9125
"HOM","SHE","273949","Pratica Tendenza Floating Shelf Kit White25cm x 60cm","Tendenza","25cmx60cm","White","1","MDF",NA,NA,NA,NA,1
"HOM","SHE","273950","Practica Tendenza Floating  Shelf Kit White25cm x 100cm","Tendenza","25cmx100cm","White","1","MDF",NA,NA,NA,NA,1
"HOM","SHE","273951","Pratica Tendenza Floating Shelf Kit Oak Effect25cm x 60cm","Tendenza","25cmx60cm","Cream","1","MDF",NA,NA,NA,NA,1
"HOM","SHE","273952","Pratica Tendenza Floating Shelf Oak Effect25cm x 100cm","Tendenza","25cmx100cm","Cream","1","MDF",NA,NA,NA,NA,1
