"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"DEC","CAR","151437","RolaBond Carpet and Vinyl Metal Edgings Z SectionSilver 800mm","RolaBond","800mm",NA,"1",NA,0.93
"DEC","CAR","169786","RolaBond Universal Carpet Gripper 12.2m/40ft/Approx.","RolaBond","12.2m Approx",NA,"8pk",NA,0.93
"DEC","CAR","2848740","RolaBond Carpet and Vinyl Metal Edgings Dual GripStandard Silver 800mm","RolaBond","800mm",NA,NA,NA,0.86
"DEC","CAR","2848940","RolaBond Metal Edging Coverstrip Aluminium M104","RolaBond","800mm",NA,"1",NA,0.93
"DEC","CAR","2849140","RolaBond Carpet and Vinyl Metal Edgings Vinyl EdgeSmall Silver 90cmx2.8cm","RolaBond","90cmx2.8cm",NA,NA,NA,0.86
"DEC","CAR","2849240","RolaBond Hardwood and Vinyl Metal Edgings Vinyl Cover Strip Silver M107 90cmx2.5cm","RolaBond","90cmx2.5cm",NA,NA,NA,0.86
"DEC","CAR","59489","RolaBond Hardwood and Vinyl Metal Edgings Coverstrip Extra Wide Silver 90cm x 6cm","RolaBond","90cmx6cm",NA,"1",NA,0.93
"DEC","CAR","151446","Wilko Natural Wood Flooring Trim H100-N 80cm x 9cm","Wilko","80x9cm",NA,"1",NA,0.93
"DEC","CAR","2848950","Wilko Carpet Cover Joining Strip Gold 900mm","Wilko","900mm","Gold","1",NA,1
"DEC","CAR","340855","Wilko Laminate Curved Edge Silver M131","Wilko","1 Pack",NA,"1",NA,0.93
"DEC","INS","147738","Wilko Pipe Insulation 15mmx1m 5pk","Wilko","1m",NA,"1",NA,0.93
"DEC","INS","236112","Wilko Door and Window Seal Brown 5m","Wilko","5m","Brown","1",NA,1
"DEC","INS","236113","Wilko Door and Window Seal White 5m","Wilko","5m",NA,"1",NA,0.93
"DEC","INS","286006","Wilko Reflective Radiator Foil 50cmx5m","Wilko","5m x 50cm",NA,"1",NA,0.93
"DEC","INS","344882","Wilko Pipe Insulation 1m x 22mm 5pk","Wilko","5x1mx22mm",NA,"1",NA,0.93
"DEC","INS","344883","Wilko Self Adhesive Door Strip Brown","Wilko",NA,NA,"1",NA,0.86
"DEC","INS","344884","Wilko Self Adhesive Door Strip White","Wilko",NA,NA,"1",NA,0.86
"DEC","INS","5641040","Wilko Condensation Drip Strip 6m","Wilko","6m",NA,"1",NA,0.93
"DEC","INS","97157","Draught Seal E White SFDP210 6m","Wilko","6m",NA,"1",NA,0.88
"DEC","INS","97160","Wilko Door and Window E Seal Brown 6m","Wilko","6m",NA,"1",NA,0.93
"DEC","INS","97190","Draught Seal White SFDP12 15m","Wilko","15m",NA,NA,NA,0.81
"DEC","INS","97192","Draught Seal P White SFDP220 6m","Wilko","6m",NA,"1",NA,0.88
"DEC","INS","97194","PVC Brush Strip White SFDP02","Wilko","840mm",NA,"1",NA,0.88
"DEC","PRP","150173","Wilko Masking Tape 25mm x 50m","Wilko","25mmx50m",NA,NA,NA,0.8
"DEC","PRP","2722440","Wilko Masking Tape General Purpose 48mm x 50m","Wilko","48mmx50m",NA,NA,NA,0.8
"DEC","PRP","342744","Wilko Carpet Protection Tape 600mmx25m","Wilko","600mm x 25M",NA,"1",NA,0.85
"DEC","PRP","342779","Wilko Masking Tape 24mm x 25m","Wilko","24mm x 25M",NA,NA,NA,0.8
"DEC","PRP","342780","Wilko Masking Tape Low Tack 24mm x 25m","Wilko","24mm x 25M",NA,"1",NA,0.85
"DEC","PRP","454511","Wilko Washi Masking Tape Smooth 24mm x 20m","Wilko","24mm x 20m","Orange","1","No",0.65
"DEC","PRP","454512","Wilko Washi Masking Tape Smooth 48mm x 20m","Wilko","48mm x 20m","Orange","1","No",0.65
"DEC","TIL","288922","Wilko Sealing Strip Bathroom and Kitchen 38mmx3.35m","Wilko","38mmx3.35m",NA,"1",NA,1
"DEC","TIL","66910","Wilko Bath and Wall Sealing Strip 22mm x 3.35m","Wilko","3.35mx22mm",NA,NA,NA,0.9125
"DIY","ELE","216340","Wilko PVC Insulating Tape 4.5m 5pk Assorted Colour","Wilko","19mm x 4.5m",NA,NA,NA,0.825
"DIY","ELE","216341","Wilko PVC Insulating Tape 33m 3pk Black","Wilko","19mm x 33m",NA,NA,NA,0.825
"DIY","ELE","5376240","Wilko PVC Insulation Tape Assorted 19mm x 4.5m","Wilko","4.5mx19mm",NA,NA,NA,0.825
"DIY","ELE","5376340","Wilko PVC Insulation Tape Assorted 19mm x 20m","Wilko","20mx19mm",NA,NA,NA,0.825
