"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Washable","DQ Score"
"KIT","BAP","242802","Wilko Stackable Mixing Bowl 26cm","Wilko","26cm","Clear","1",NA,NA,1
"KIT","CUT","427870","Wilko Spice Jar","Wilko",NA,NA,NA,NA,NA,0.75
"KIT","DIN","329022","Wilko Cake Stand Glass 32cm","Wilko","32cm","Clear","1","Glass",NA,0.95
"KIT","GLA","316130","Wilko Wine Glass","Wilko",NA,"Clear","1",NA,"Washable",0.941666666666667
"KIT","GLA","316131","Wilko Mixer Glass","Wilko",NA,"Clear","1",NA,NA,0.883333333333333
"KIT","GLA","316134","Wilko Pint Glass","Wilko","1pt","Clear","1",NA,NA,0.941666666666667
"KIT","GLA","316135","Wilko Hiball Glass","Wilko",NA,"Clear","1",NA,NA,0.883333333333333
"KIT","GLA","316142","Wilko Shot Glasses 6pk","Wilko","Small","Clear","6pk",NA,"Washable",1
"KIT","GLA","318956","Wilko Champagne Flute","Wilko","210ml","Clear",NA,NA,NA,0.883333333333333
"KIT","GLA","427865","Wilko Teardrop Tumbler 4pk","Wilko",NA,NA,NA,NA,NA,0.766666666666667
"KIT","GLA","427866","Wilko Teardrop Hi-Ball Tumbler 4pk","Wilko",NA,NA,NA,NA,NA,0.766666666666667
"KIT","GLA","427867","Wilko Wine Glass 45cl 4pk","Wilko",NA,NA,NA,NA,NA,0.766666666666667
"KIT","GLA","427868","Wilko Wine Glass 34cl 4pk","Wilko","34cl",NA,"4 Pack",NA,NA,0.883333333333333
"KIT","GLA","427869","Wilko Champagne Flute 4pk","Wilko",NA,NA,NA,NA,NA,0.766666666666667
"KIT","GLA","230341","Wilko Functional Wine Glasses 4pk","Wilko Functional","4 Pack","Clear","1",NA,"Washable",1
"KIT","GLA","239390","Wilko Functional Mixer Glass 4pk","Wilko Functional","4 Pack","Clear","1",NA,NA,0.941666666666667
"KIT","GLA","239391","Wilko Functional Hi-ball Glasses 4pk","Wilko Functional","4 Pack","Clear","1",NA,"Washable",1
"KIT","GLA","316128","Wilko Functional Glass Jug 1L","Wilko Functional","1L","Clear",NA,NA,NA,0.883333333333333
"KIT","MUG","316153","Wilko Glass Latte Mug","Wilko",NA,"Clear","1",NA,NA,0.93
"KIT","OTT","165854","Wilko Rectangular Glass Roaster 33cm","Wilko","33cm","Clear","1",NA,NA,1
"KIT","OTT","165855","Wilko Rectangular Glass Roaster 33cm","Wilko","33cm","Clear","1",NA,NA,1
"KIT","OTT","242803","Wilko Square Roaster With Handles 22cm","Wilko","22x22cm","Clear",NA,NA,NA,0.93
"KIT","OTT","242804","Wilko Oval Roaster 26cm","Wilko","26cm","Clear",NA,NA,NA,0.93
"KIT","OTT","242808","Wilko Glass Casserole Set 3pcs","Wilko","Assorted","Clear","3pcs",NA,NA,1
"KIT","OTT","316157","Wilko Flan Dish 26cm","Wilko","26cm","Clear","1",NA,NA,1
"KIT","OTT","316158","Wilko Glass Pie Dish","Wilko","25cm","Clear","1",NA,NA,1
