"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","FEM","347805","Wilko Twin Blade Disposable Razors 10pk","Wilko","10 Pack","Multi","10",0.941666666666667
"TOI","FEM","347806","Wilko Triple Blade Disposable Razors 5pk","Wilko",NA,"Multi","5",0.883333333333333
"TOI","FEM","347809","Wilko Triple Blade Cartridges 5pk","Wilko","5 Pack","Multi","1",0.941666666666667
"TOI","FEM","347810","Wilko Triple Blade Trend Pink Handle Razor","Wilko",NA,"Multi","1",0.883333333333333
"TOI","FEM","347811","Wilko Triple Blade System Razor1 Handle and 2 Cartridges","Wilko",NA,"Multi","1",0.883333333333333
"TOI","MEN","347780","Wilko Disposible Razor Single Blade 10pk","Wilko","10 Pack","Multi","1",0.9
"TOI","MEN","347781","Wilko Disposible Razor Twin Blade 10pk","Wilko","10 Pack","Multi","1",0.9
"TOI","MEN","347782","Wilko Disposible Razor Triple Blade 5pk","Wilko","5 Pack","Multi","1",0.9
"TOI","MEN","347783","Wilko Disposable Razor 5 Blade 3pk","Wilko",NA,"Multi","1",0.85
"TOI","MEN","347784","Wilko Triple Blade System Razor 2 Blades","Wilko",NA,"Multi","1",0.85
"TOI","MEN","347787","Wilko Triple Blade Cartridge 5pk","Wilko","5 Pack","Multi","1",0.9
"TOI","MEN","455086","Wilko Three Blade Cartridges 4pk","Wilko",NA,NA,"4",0.8
"TOI","MEN","455087","Wilko Three Blade Cartridges 8pk","Wilko",NA,NA,"8",0.8
