"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Washable","DQ Score"
"HOM","RUG","426975","Wilko Chevron Runner Duck Egg 55 x 150cm","Wilko","55cm x 150cm",NA,NA,"100% Cotton",NA,0.883333333333333
"HOM","RUG","426976","Wilko Chevron Runner Natural 55 x 150cm","Wilko","55cm x 150cm",NA,NA,"100% Cotton",NA,0.883333333333333
"HOM","RUG","446427","Wilko Ombre Super Soft Rug Grey 120x170cm","Wilko","120 x 170cm","Grey",NA,NA,NA,0.883333333333333
"HOM","RUG","446428","Wilko Ombre Super Soft Rug Natural 120x170cm","Wilko","120 x 170cm","Cream",NA,NA,NA,0.883333333333333
"HOU","MAT","439175","Mighty Mat Stripe Mat","Mighty Mat","40cm x 60cm",NA,NA,"Polypropylene",NA,0.883333333333333
"HOU","MAT","439177","Mighty Mat Eco Printed Mat Large","Mighty Mat","50cm x 75cm",NA,NA,"Nylon",NA,0.883333333333333
"HOU","MAT","157773","Wilko Rubber Coir Doormat 70 x 40cm","Wilko","40x70cm","Multi",NA,"Rubber, Coir","Do Not Wash",1
"HOU","MAT","191827","Wilko Half Moon Door Mat Assorted 60 x 40cm","Wilko","60x40cm",NA,NA,"Polypropylene, Rubber","Do Not Wash",0.941666666666667
"HOU","MAT","204644","Wilko Mat Rubber Backed 60 x 90cm","Wilko","90x60cm",NA,NA,"Polypropylene, Rubber","Do Not Wash",0.941666666666667
"HOU","MAT","204651","Wilko Rubber Scraper Mat 40 x 60cm","Wilko","40x60cm","Black",NA,"Rubber","Do Not Wash",1
"HOU","MAT","22351","Wilko Entrance Runner Mat Assorted","Wilko","61x180cm",NA,NA,"Polyester, Latex","Do Not Wash",0.941666666666667
"HOU","MAT","267049","Wilko Coir Mat Stripe Design 40 x 60cm","Wilko","40x60cm","Multi",NA,"Coir, Rubber","Do Not Wash",1
"HOU","MAT","297603","Wilko Washable Mat  Assorted 40 x 60cm","Wilko","40x60cm","Multi",NA,"Polypropylene, Latex","Washable",1
"HOU","MAT","304577","Wilko Washable Mat Assorted 50 x 80cm","Wilko","50x80cm","Multi",NA,"Polypropylene, Latex","Washable",1
"HOU","MAT","334029","Wilko Washable Door Mat Assorted Designs57 x 90cm","Wilko","57cmx90cm","Multi",NA,"Nylon, Latex","Washable",1
"HOU","MAT","334031","Wilko Washable Mat Beige Large 57 x 90cm","Wilko","57cmx90cm","Brown",NA,"Polypropylene, Latex","Washable",1
"HOU","MAT","334032","Wilko Washable Mat Grey 40 x 60cm","Wilko","40x60cm","Grey",NA,"Polypropylene, Latex Rubber","Washable",1
"HOU","MAT","334033","Wilko Washable Runner Grey 57 x 150cm","Wilko","57x150cm","Grey","1",NA,NA,1
"HOU","MAT","334036","Wilko Mat Chequered Design 40 x 60cm","Wilko","40cmx60cm","Multi",NA,"Nylon, Rubber","Washable",1
"HOU","MAT","428350","Wilko Rubber Scraper Mat","Wilko","45x75cm",NA,NA,NA,NA,0.825
"HOU","MAT","428351","Wilko Stripe Loop Runner","Wilko","57x150cm",NA,NA,NA,NA,0.825
"HOU","MAT","428352","Wilko Ribbed Scraper Mat","Wilko","40x70cm",NA,NA,NA,NA,0.825
"HOU","MAT","428353","Wilko Loop  Mat Heart Design","Wilko","44x75cm",NA,NA,NA,NA,0.825
"HOU","MAT","428354","Wilko Stripe Loop Mat","Wilko",NA,NA,NA,NA,NA,0.766666666666667
"HOU","MAT","428355","Mighty Mat Striped Mat","Wilko","60x90cm",NA,NA,NA,NA,0.775
"HOU","MAT","439180","Wilko All Seasons Rubber Coir Mat","Wilko","60cm x 90cm",NA,NA,"Coir",NA,0.883333333333333
"HOU","MAT","439181","Wilko Designer Coir Mat","Wilko","40cm x 60cm",NA,NA,"Coir",NA,0.883333333333333
"HOU","MAT","439185","Wilko Wire Scraper Doormat","Wilko","40cm x 60cm",NA,NA,"Coir",NA,0.883333333333333
"HOU","MAT","439186","Wilko Printed Designer Doormat","Wilko","40cm x 70cm",NA,NA,"Nylon",NA,0.883333333333333
"HOU","MAT","1484240","Wilko Functional Indoor Mat Ribbed Assorted40 x 60cm","Wilko Functional","60x40cm","Brown",NA,"Polypropylene, Latex Rubber","Do Not Wash",1
