"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Capacity","DQ Score"
"CLE","AIR","333074","Ambi Pur Plug In Adjustable Diffuser","Ambi Pur",NA,NA,"1",NA,"Mains",NA,0.93
"CLE","AIR","333184","Ambi Pur with Febreze GP2 Refill Vanilla","Ambi Pur","20ml",NA,NA,NA,NA,NA,0.86
"CLE","AIR","333197","Ambi Pur 3Volution Plug In Unit","Ambi Pur",NA,NA,"1",NA,"Mains",NA,0.93
"CLE","AIR","333198","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Vanilla Bouquet 20ml","Ambi Pur","20ml",NA,NA,NA,NA,NA,0.86
"CLE","AIR","333200","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Cotton Essence 20ml","Ambi Pur","20ml",NA,"1",NA,NA,NA,0.93
"CLE","AIR","333208","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Vanilla Bouquet 20ml x 2","Ambi Pur","2x20ml",NA,NA,NA,NA,NA,0.86
"CLE","AIR","346492","AmbiPur Plug In Diffuser Refill Vanilla Harmony 2x 20ml","Ambi Pur","40ml",NA,"2pk",NA,NA,NA,0.88
"CLE","AIR","347399","Ambi Pur 3Volution Refill Vanilla 20ml","Ambi Pur","20ml",NA,NA,NA,NA,NA,0.86
"CLE","AIR","347404","Ambi Pur GP2 Refill Vanilla 20ml","Ambi Pur","20ml",NA,NA,NA,NA,NA,0.86
"CLE","AIR","420458","Ambi Pur with Febreze Plug In Cotton Fresh","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","420459","Ambi Pur with Febreze Plug In Blossom andBreeze","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","420460","Ambi Pur with Febreze Plug In Lavender","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","420463","Ambi Pur with Febreze 3 Volution Unit","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421425","Ambi Pur with Febreze Refill Blossom and Breeze","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421426","Ambi Pur with Febreze Refill Cotton Fresh 20ml","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421427","Ambi Pur with Febreze Refill Thai Orchid","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421428","Ambi Pur with Febreze 3 Volution Blossom andBreeze","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421429","Ambi Pur with Febreze 3 Volution Cotton Fresh","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421431","Ambi Pur with Fabreze Refill Lavender","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421432","Ambi Pur with Febreze 3 Volution Lavender","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421435","Ambi Pur with Febreze Refill Lavender 2pk","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421436","Ambi Pur with Febreze 3 Volution Thai Orchid","Ambi Pur",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","421556","Ambi Pur GP2 Twin Refill Cotton 2 x 20ml","Ambi Pur","2x20ml",NA,"2pk",NA,NA,NA,0.93
