"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"DIY","CYC","345100","Schwalbe Bicycle Tube Black 700C 18/28C Presta SV15","Schwalbe","1 Pack","1",0.883333333333333
"DIY","CYC","345101","Schwalbe Bicycle Tube Black 700C 28 Presta SV17","Schwalbe","1 Pack","1",0.883333333333333
"DIY","CYC","345102","Schwalbe Bicycle Tube 700 28/45  Schrader AV17","Schwalbe","1 Pack","1",0.883333333333333
"DIY","CYC","289616","Slime Tube Sealant 237ml","Slime","237ml",NA,0.825
"DIY","CYC","342580","Skabs Slime Self Adhesive Patches 6pk","Slime","6 Pack",NA,0.825
"DIY","CYC","342581","Slime Smart Tube 26 x 1.75-2.125in Presta Valve","Slime","1 Pack",NA,0.825
"DIY","CYC","342582","Slime Smart Tube Self Healing Inner Tube 26 x1.75-2.125in Schrader Valve","Slime","1 Pack","1",0.883333333333333
"DIY","CYC","342583","Slime Smart Inner Tube 29in Schrader Valve","Slime","1 Pack",NA,0.825
"DIY","CYC","342584","Slime Tube 700X19 25C Pres","Slime","1 Pack",NA,0.825
"DIY","CYC","342585","Slime Tube 700X28 32C Presta","Slime","1 Pack",NA,0.825
"DIY","CYC","345103","Schwalbe Inner Tube 26 1.50/2.50 Schrader AV13","Swalbe","1 Pack","1",0.833333333333333
