"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"DEC","WOO","228335","Wilko Lint Free Cloths 40cm x 45cm/15.5in x 18in 2pk","Wilko","40cmx45cm",NA,NA,NA,0.825
"DIY","MOT","77250","Wilko Stockinette Cloth 250g","Wilko","250g",NA,NA,NA,0.86
"DIY","MOT","157344","Wilko Car Cleaning Cloth Pack","Wilko Functional",NA,NA,"1",NA,0.81
"HOU","MOP","300115","Wilko Socket Mop Head Large","Wilko","Large","White","1","Mixed Fibre",1
"HOU","SCO","132470","Wilko Dish Cloth Roll 8pk","Wilko","30cmx25cm","White","8pk",NA,1
"HOU","SCO","157418","Wilko Chamois Cloth Synthetic 40 x 36cm","Wilko","40x36cm","Yellow","1",NA,1
"HOU","SCO","157429","Wilko Dish Cloths Roll Large 4pk","Wilko","Extra Large","Multi","4pk",NA,1
"HOU","SCO","157430","Wilko Yellow Dusters Large 4pk","Wilko","50x40cm","Yellow","4pk","Mixed Fibre",1
"HOU","SCO","204899","Wilko Microfibre Cloths 3pk","Wilko","16x20cm","Multi","3pk",NA,1
"HOU","SCO","269779","Wilko SuperKnit Dish Cloths 6pk","Wilko","35x30cm",NA,"6pk",NA,0.93
"HOU","SCO","269796","Wilko Absorbent Multi Purpose Cloths MultiColoured 10pk","Wilko","38x30cm","Multi","10pk",NA,1
"HOU","SCO","300096","Wilko Pearl Scourers Assorted 2pk","Wilko","12cmx9cm","Yellow","2pk",NA,1
"HOU","SCO","300127","Wilko Microfibre Cloths Glass Clean System 2pk","Wilko","35x35cm",NA,"2pk",NA,1
"HOU","SCO","328272","Wilko Glass Cleaning Microfibre Cloth Blue 60 x80cm","Wilko","60cmx80cm","Blue","1",NA,1
"HOU","SCO","328279","Wilko Ribbed Dish Cloths 35 x 26cm 4pk","Wilko","35cmx26cm","Multi","4pk",NA,1
"HOU","SCO","328280","Wilko Microfibre Dish Cloths 30 x 30cm 3pk","Wilko","30cmx30cm","Multi","3pk",NA,1
"HOU","SCO","417127","Wilko Striped Microfibre Cloths 2pk","Wilko",NA,NA,NA,NA,0.79
