"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","DQ Score"
"CLE","LAU","130212","Ace Bleach Gentle Stain Remover 1L","Ace","1L",NA,NA,0.9125
"DIY","BRA","437733","Masterlock Integrated Crossover Carry Straps Upto 40kg","Master Lock","2x crossed straps 2.5m x 25mm with carry handle","1","Metal Foam Polyester",0.85
"DIY","SEC","343302","Master Lock Laminated Steel Padlock 45mm","Master Lock","45mm","1",NA,0.93
"DIY","SEC","343306","Master Lock Stainless Steel Round Padlock 70mm","Master Lock","70mm","1",NA,0.93
"DIY","SEC","343315","Master Lock Aluminium Combination Padlock 40mm","Master Lock","40mm","1",NA,0.93
"DIY","SEC","343379","Master Lock Solid Aluminium PadlockExtra Long 50mm","Master Lock","50mm","1",NA,0.93
"DIY","SEC","343381","Master Lock Solid Aluminium Padlock 40mm","Master Lock","40mm","1",NA,0.93
"DIY","SEC","343383","Master Lock Solid Aluminium Padlock 30mm","Master Lock","30mm","1",NA,0.93
"DIY","SEC","343385","Master Lock Nylon Covered  Combination Steel Chain0.9m x 8mm","Master Lock","0.9x8mm",NA,NA,0.86
"DIY","SEC","343393","Master Lock Solid Aluminium Padlocks 20mm 2pk","Master Lock","2x20mm","2",NA,0.93
