"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"HOM","COO","406729","Wilko Rustic Letter Rack","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","406738","Wilko Home Sweet Home Wooden Heart","Wilko",NA,NA,"1",NA,"No",NA,0.65
"HOM","COO","427116","Wilko Wooden Rose Heart Plum","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","437917","Wilko Artificial Succulent in Fabric Pot","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","437927","Wilko Christmas Ornament Sparkly StagWhite Reflections","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","446525","Wilko Love Word Block","Wilko",NA,"White","1",NA,"No","Wipe Clean Only",0.65
"HOM","COO","446917","Wilko Ceramic Cylinder Vase Cream","Wilko","25 x 10 x 10cm","Cream",NA,NA,"No",NA,0.941666666666667
"HOM","COO","446918","Wilko Ceramic Cylinder Vase White","Wilko","25 x 10 x 10cm","White","1",NA,NA,NA,1
"HOM","COO","446924","Wilko Ceramic Posy Vase White","Wilko","26 x 12.5 x 12.5cm","White","1",NA,NA,NA,1
"HOM","COO","446925","Wilko Ceramic Posy Vase Cream","Wilko","26 x 12.5 x 12.5cm","Cream","1",NA,NA,NA,1
"HOM","COO","447175","Wilko Words Ceramic Jug","Wilko","19.5 x 17 x 12cm","Green",NA,NA,"No",NA,0.941666666666667
"HOM","COO","447190","Wilko Hexagonal Storage Box Set of 3","Wilko","12 x 24 x 24cm","Red","1",NA,"No","Wipe Clean Only",0.65
"HOM","COO","455452","Wilko Pink Peonies in Glass Jar","Wilko",NA,NA,NA,"glass / plastic / synthetic textile","No",NA,0.883333333333333
"HOM","COO","455865","Wilko Ceramic Tealight Holders 3pk","Wilko",NA,NA,"3","Ceramic","No",NA,0.65
"HOM","COO","455866","Wilko Cork Base Glass Hurricane","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","455870","Wilko Ceramic Words Jug","Wilko","16 x 19.5 x 12cm",NA,NA,"Ceramic","No",NA,0.941666666666667
"HOM","COO","455887","Wilko Letter Rack With Drawer","Wilko",NA,NA,NA,"Wood / MDF","No",NA,0.883333333333333
"HOM","COO","455891","Wilko Heart Storage Drawers","Wilko","20 x 22 x 9cm",NA,NA,"Wood/MDF","No",NA,0.941666666666667
"HOM","COO","455892","Wilko Wooden Heart Frame Plum","Wilko",NA,NA,"1","MDF / Glass","No",NA,0.65
"HOM","COO","455898","Wilko Wire Letter Rack","Wilko",NA,NA,"1","Steel","No",NA,0.65
"HOM","COO","455928","Wilko LED Mercury Bottle Silver","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","455929","Wilko LED Mercury Bottle Red","Wilko","10 x 20 x 10cm",NA,"1",NA,NA,NA,0.93
"HOM","COO","456078","Wilko Sparkle Friends Plaque","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","456080","Wilko Home Words Plaque","Wilko",NA,NA,"1",NA,NA,NA,0.86
