"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Washable","Power","Age","DQ Score"
"TOY","ACT","448182","Hot Wheel Star Wars Diecast Starship 2pk","Star Wars","Multi","2",NA,NA,NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","449899","Hot Wheels Star Wars Die Cast 2pk","Star Wars","Multi","2",NA,NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","439417","Crayola Creations Thread Wrapper","Crayola","Multi","1",NA,NA,NA,NA,"8 Years +",0.891666666666667
"TOY","FAN","280281","Barbie Fashion Doll Assorted","Barbie","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","401809","Barbie Beach Ken","Barbie","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","448539","Barbie Fashion Dresses Assortment","Barbie","Multi","1",NA,NA,"Wipe Clean Only",NA,"3 Years +",0.95
"TOY","FAN","452666","Cupcake Surprise Doll","Cupcake Surprise","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","345055","Disney Princess Bath Doll Assorted","Disney","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","408611","Palace Pets Furry Tail Friends Assortment","Disney","Multi","1",NA,NA,NA,NA,"3 Years +",0.85
"TOY","FAN","439450","Disney Cinderella Twirling Skirt Doll","Disney","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","440187","Lalaloopsy Babies Doll Asst","Lalaloopsy","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","417884","Monster High Zombie Shake 2pk","Monster High","Multi","2",NA,NA,NA,NA,"6 Years +",0.9
"TOY","FAN","417886","Monster High Frights Camera Action Assortment","Monster High","Multi","1",NA,NA,NA,NA,"6 Years +",0.9
"TOY","FAN","439423","Monster High Art Class Doll Asst","Monster High","Multi","1",NA,NA,NA,NA,"6 Years +",0.9
"TOY","FAN","350919","My Little Pony Scribble Bag","My Little Pony","Multi","1","Plastic","No",NA,NA,"6 Years +",0.65
"TOY","FAN","417888","My Little Pony Scribble Me Assortment","My Little Pony","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","448193","My Little Pony Movie Character Figure","My Little Pony","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","GIR","419692","Monster High Vinyl Collectable Assorted","Monster High","Multi","1",NA,NA,NA,NA,"6 Years +",0.9
"TOY","PRE","439429","Nickelodeon Train and Play Dora and Perrito","Fisher Price","Multi","1","Plastic","No",NA,"3x AAA Batteries Included","3 Years +",0.6
"TOY","PRE","439436","Thomas and Friends Daring Dragon Drop","Fisher Price","Multi","1",NA,NA,NA,"2x AAA Batteries Included","3 Years +",0.95
"TOY","PRE","448200","Play Doh Marvel Can Heads","Play Doh","Multi","1",NA,NA,NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","439432","Sofia The First Doll Assorted 5in","Sofia","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","PRE","454666","Thomas and Friends Mini Collector Case","Thomas & Friends","Multi","1",NA,NA,NA,NA,"3 Years +",0.841666666666667
