"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","CAT","302164","Iams Dry Adult Cat Food Fish and Chicken 800g","Iams","800g","1",1
"PET","CAT","336112","Iams Cat Adult Salmon and Chicken 800g","Iams","800g",NA,0.9125
"PET","CAT","428286","Iams Delights Pouch Cat Food Land and Sea inJelly 12 x 85g","Iams","85g","12",1
"PET","CAT","428288","Iams Delights Pouch Cat Food Land and Sea in Gravy12 x 85g","Iams","85g","12",1
"PET","CAT","428289","Iams Delights Wet Cat Food in Gravy Kitten 12x85g","Iams","12x85kg","12",0.88
"PET","CAT","428290","Iams Delights Wet Cat Food in Gravy Senior 12x85g","Iams","12x85kg","12",0.95
"PET","CAT","430346","Iams Pouch Cat Food Chicken for Senior Cats 700g","Iams","700g","1",1
"PET","DOG","302158","Iams Dry Dog Food Chicken for Large Adult Dogs 3kg","Iams","3kg","1",1
"PET","DOG","302159","Iams Dry Dog Food Chicken for Small and MediumDogs 3kg","Iams","3kg","1",1
"PET","DOG","302161","Iams Dry Dog Food Chicken for Puppys and SmallDogs 1kg","Iams","1kg",NA,0.9125
"PET","DOG","314259","Iams Dry Dog Food Proactive Nutrition SucculentRoast Chicken for Mature and Senior Dogs 3kg","Iams","3kg","1",1
