"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Model Number","DQ Score"
"DIY","CYC","122537","Wilko Heavy Duty Coil Lockand Bracket","Wilko","180cm",NA,NA,NA,NA,0.825
"DIY","CYC","226345","Wilko Armoured Cable Lock 1m x 22mm","Wilko","1m x 22mm",NA,NA,NA,NA,0.825
"DIY","CYC","286532","Wilko Cable Lock 1.2m x 10mm","Wilko","1.2m x 10mm","Black","1",NA,NA,0.941666666666667
"DIY","CYC","431579","Wilko 5 Digit Combination Cable Lock 180cm x 10mm","Wilko","180cm x 10mm","Black","1",NA,NA,0.941666666666667
"DIY","DOO","276780","Wilko Window Handle UVPC White","Sterling",NA,NA,"1",NA,NA,0.775
"DIY","DOO","4477046","Wilko Security Door Chain Chrome Effect","Sterling","1 Pack",NA,"1",NA,NA,0.783333333333333
"DIY","DOO","154206","Wilko Mortice Latch 75mm","Wilko","6x7.5cm",NA,NA,NA,NA,0.825
"DIY","DOO","154209","Wilko Security Door Chain Brass Effect","Wilko","1 Pack",NA,"1","Steel",NA,0.941666666666667
"DIY","DOO","154214","Wilko Dead Lock Mortice 3 Lever 65mm","Wilko","65mm",NA,NA,NA,NA,0.825
"DIY","DOO","1862","Wilko Night Latch Standard Width Door","Wilko","1 Pack",NA,"1",NA,NA,0.883333333333333
"DIY","DOO","1863","Wilko Night Latch Narrow Width Door","Wilko","1 Pack",NA,"1",NA,NA,0.883333333333333
"DIY","DOO","1864","Wilko Replacement Cylinder","Wilko","1 Pack",NA,"1",NA,NA,0.883333333333333
"DIY","DOO","188002","Wilko Deadlocking Night Latch Standard Style","Wilko","Standard",NA,NA,NA,NA,0.825
"DIY","DOO","188003","Wilko Deadlocking Night Latch Narrow Style","Wilko","Narrow",NA,NA,NA,NA,0.825
"DIY","DOO","26442","Wilko Door Security Bolts 2pk","Wilko","2 Pack",NA,"2pk",NA,NA,0.883333333333333
"DIY","DOO","26443","Wilko Security Bolt Keys 2pk","Wilko","3x8cm",NA,"2pk",NA,NA,0.883333333333333
"DIY","DOO","276776","Sterling Rim Sashlock And Knobs Set Black","Wilko","152x101mm, 6x4in",NA,NA,NA,NA,0.775
"DIY","DOO","307153","Wilko Mortice Latch Nickel Plated 63mm","Wilko","63mm",NA,NA,NA,NA,0.825
"DIY","DOO","307154","Wilko Mortice Latch Nickel Plated 75mm","Wilko","75mm",NA,NA,NA,NA,0.825
"DIY","DOO","343341","Wilko Cylinder Lock Nickel 45 x 55mm","Wilko","45x55mm","Metal",NA,NA,NA,0.883333333333333
"DIY","DOO","343342","Wilko Cylinder  Lock Nickel 40 x 50mm","Wilko","40x50mm","Metal","1",NA,NA,0.941666666666667
"DIY","DOO","343343","Wilko Cylinder Lock  Nickel 45 x 45mm","Wilko","45x55mm","Metal","1",NA,NA,0.941666666666667
"DIY","DOO","343344","Wilko Cylinder Lock  Nickel 35 x 45mm","Wilko","35x45mm","Metal","1",NA,NA,0.941666666666667
"DIY","DOO","345458","Wilko Chrome Night Latch","Wilko","1 Pack",NA,"1",NA,NA,0.883333333333333
"DIY","DOO","4495440","Wilko Rim Lock 101 x 76mm","Wilko","4in",NA,NA,NA,NA,0.825
"DIY","DOO","4495840","Wilko Door Lock 3 Lever Mortice 65mm","Wilko","2.5in",NA,NA,NA,NA,0.825
"DIY","DOO","59348","Wilko 5 Lever Mortice lock 65mm","Wilko","65mm",NA,NA,NA,NA,0.825
"DIY","DOO","59349","Wilko 5 Lever Mortice Sashlock 65mm","Wilko","65mm",NA,NA,NA,NA,0.825
"DIY","DOO","59351","Wilko Door Security Bolts 2pk","Wilko","2 Pack",NA,"2pk",NA,NA,0.883333333333333
"DIY","SEC","448862","Burg-Wächter  Key Locking Safe P1S","Sterling","Small","Black",NA,NA,"P1 S",0.891666666666667
"DIY","SEC","448863","Burg-Wächter Key Locking Safe P2S","Sterling","Medium","Black",NA,NA,"P2S",0.891666666666667
"DIY","SEC","448864","Burg-Wächter Key Locking Safe P3S","Sterling","Large","Black",NA,NA,"P3S",0.891666666666667
"DIY","SEC","448865","Burg-Wächter Electronic Keypad Safe P1 E","Sterling","Small","Black",NA,NA,"P1E",0.891666666666667
"DIY","SEC","448866","Burg-Wächter Electronic Keypad Safe P2 E","Sterling","Medium","Black",NA,NA,"P2E",0.891666666666667
"DIY","SEC","448867","Burg-Wächter Electronic Keypad Safe P3 E","Sterling","P3E","Black",NA,NA,NA,0.833333333333333
"DIY","SEC","448868","Burg-Wächter Electric Keypad Safe P4 E","Sterling","Extra Large","Black",NA,NA,"P4E",0.891666666666667
"DIY","SEC","448869","Burg-Wächter  Finger Scan Lock Safe P2","Sterling","Medium","Black",NA,NA,"P2",0.891666666666667
"DIY","SEC","448870","Burg-Wächter Finger Scan Lock Safe P3","Sterling","Large","Black",NA,NA,"P3E FS",0.891666666666667
"DIY","SEC","448871","Burg-Wächter Finger Scan Lock Safe P4","Sterling","Extra Large","Black",NA,NA,"P4EFS",0.891666666666667
"DIY","SEC","448872","Burg-Wächter Electronic Keypad Laptop Sf","Sterling",NA,"Black",NA,NA,"P3E LAP",0.833333333333333
"DIY","SEC","448873","Burg-Wächter Finger Scan Laptop Safe","Sterling",NA,"Black",NA,NA,"P3E FS LAP",0.833333333333333
"DIY","SEC","154207","Wilko Brass Double Locking Padlock 60mm","Wilko","60mm",NA,NA,NA,NA,0.86
"DIY","SEC","154208","Wilko Brass Double Locking Padlock 40mm2pk","Wilko","40mm",NA,"2pk",NA,NA,0.93
"DIY","SEC","154213","Wilko Laminated Double Locking Padlock 50mm","Wilko","50mm",NA,"1",NA,NA,0.93
"DIY","SEC","188000","Wilko Hasp and Staple 100mm","Wilko","100mm",NA,"1",NA,NA,0.93
"DIY","SEC","188001","Wilko Hasp and Staple 115mm","Wilko","115mm",NA,"1",NA,NA,0.93
"DIY","SEC","258320","Wilko Key Minder","Wilko",NA,NA,"1",NA,NA,0.86
"DIY","SEC","276222","Wilko Key Cabinet with Combination Lock Black","Wilko",NA,NA,"1",NA,NA,0.86
"DIY","SEC","307597","Wilko Aluminium Combination Padlock 30mm","Wilko","30mm",NA,NA,NA,NA,0.86
"DIY","SEC","343328","Wilko 4 Dial Combination Padlock 40mm","Wilko","40mm",NA,"1",NA,NA,0.93
"DIY","SEC","343330","Wilko Padlock Aluminium 20mm Assorted Colours4pk","Wilko","20mm",NA,"4pk",NA,NA,0.93
"DIY","SEC","343332","Wilko Padlock Aluminium 40mm","Wilko","40mm",NA,"1",NA,NA,0.93
"DIY","SEC","343335","Wilko Weatherproof Aluiminium Padlock 48mm","Wilko","48mm",NA,NA,NA,NA,0.86
"DIY","SEC","343336","Wilko Weatherproof Aluminium Padlock 57mm","Wilko","57mm",NA,"1",NA,NA,0.93
"DIY","SEC","343339","Wilko Security Chain 4  x 60mm PVC Sleeve","Wilko","4x60mm",NA,NA,NA,NA,0.86
"DIY","SEC","425927","Sterling Keyminder Large","Wilko",NA,NA,"1",NA,NA,0.81
"DIY","SEC","59358","Wilko Double Locking Padlock Brass 50mm","Wilko","50mm",NA,NA,NA,NA,0.86
"DIY","SEC","59360","Wilko Locking Hasp 76mm","Wilko","76mm",NA,NA,NA,NA,0.86
"DIY","SEC","69112","Wilko Laminated Padlock Double Locking 40mm","Wilko","40mm",NA,"1",NA,NA,0.93
"DIY","SEC","72082","Wilko Brass Padlock Double Locking 30mm","Wilko","30mm",NA,NA,NA,NA,0.86
"DIY","SEC","72083","Wilko Padlock Double Locking 40mm","Wilko","40mm",NA,NA,NA,NA,0.86
"DIY","SEC","83944","Wilko Brass Padlock Double Locking 40mm","Wilko","40mm",NA,NA,NA,NA,0.86
"DIY","SEC","187997","Wilko Combination Padlock 20mm","Wilko Functional","20mm",NA,"1",NA,NA,0.88
"DIY","SEC","26372","Wilko Laminated Padlock 30mm","Wilko Functional","30mm",NA,NA,NA,NA,0.81
"DIY","SEC","26373","Wilko Laminated Padlock 40mm","Wilko Functional","40mm",NA,NA,NA,NA,0.81
"DIY","SEC","26374","Wilko Laminated Padlock 50mm","Wilko Functional","50mm",NA,NA,NA,NA,0.81
"DIY","SEC","4582140","Wilko Padlock Brass 20mm","Wilko Functional","20mm",NA,"1",NA,NA,0.88
"DIY","SEC","4582440","Wilko Padlock Brass 30mm","Wilko Functional","30mm",NA,NA,NA,NA,0.81
"DIY","SEC","4582640","Wilko Padlock Brass 40mm","Wilko Functional","40mm",NA,NA,NA,NA,0.81
