"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Capacity","DQ Score"
"HOU","DUS","300603","Heavy Duty Dustbin Black Plastic 80L","Strata","80L","Black","1","80L",0.95
"HOU","DUS","145240","Wilko Dustbin and Lid Black Plastic 80L","Wilko","80L","Black","1","80L",1
"HOU","IRN","409313","Laundry Basket Grey","Strata",NA,"Grey",NA,NA,0.775
"HOU","IRN","267567","Wilko Laundry Trug Salmon 40L","Wilko","40L",NA,NA,"40L",0.883333333333333
"HOU","IRN","328241","Wilko Laundry Basket Hipster Hip","Wilko",NA,"Grey",NA,NA,0.825
"HOU","IRN","352074","Wilko Laundry Basket","Wilko",NA,"Purple",NA,NA,0.825
"HOU","IRN","352078","Wilko Laundry Basket Round","Wilko",NA,"Cream",NA,NA,0.825
"HOU","IRN","352089","Wilko Trug Blue 40L","Wilko","40L","Blue",NA,"40L",0.941666666666667
"HOU","IRN","414869","Wilko Hipster Laundry Basket","Wilko",NA,NA,NA,NA,0.766666666666667
"HOU","IRN","414871","Wilko Trug Duck Egg 40L","Wilko","40L","Green",NA,"40L",0.941666666666667
"HOU","MOP","137542","Wilko Bucket General Purpose Black Large 14.5L","Wilko","14.5L","Black","1",NA,0.941666666666667
