"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Washable","DQ Score"
"HOM","BLI","306139","Sun Lover Cord and Ball Chain Retainer","Sunflex","Single","Clear",NA,NA,NA,0.8
"HOM","BLI","sf00007","Wilko Hardwood Venetian Blind Chalk 90cm 27mm","Sunlover","90x152cm","Cream",NA,"Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00009","Wilko Hardwood Venetian Blind Chalk 120cm 27mm","Sunlover","120x152cm","Cream",NA,"Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00010","Wilko Hardwood Venetian Blind Chalk 150cm 27mm","Sunlover","150x152cm","Cream",NA,"Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00168","Wilko Hardwood Venetian Blind Natural 60cm x 27mm","Sunlover","60x152cm","Cream",NA,"Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00170","Wilko Hardwood Venetian Blind Natural 90cm x 27mm","Sunlover","90x152cm","Cream",NA,"Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00172","Wilko Hardwood Venetian Blind Natural 120cm x 27mm","Sunlover","120x152cm","Cream",NA,"Fabric","Wipe Clean Only",0.9
"HOM","BLI","sf00175","Wilko Hardwood Venetian Blind Natural 60cm 27mm","Sunlover","60x152cm","Wood",NA,"Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00182","Wilko Hardwood Venetian Blind Oak 60cm x 27mm","Sunlover","60x152cm","Wood",NA,"Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00184","Wilko Hardwood Venetian Blind Oak 90cm x 27mm","Sunlover","90x152cm","Wood",NA,"Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00186","Wilko Hardwood Venetian Blind Oak 120cm x 27mm","Sunlover","120x152cm","Wood",NA,"Wood","Wipe Clean Only",0.9
"HOM","CPT","146305","Swish Curtain Hooks 100pk","Swish","100 Pack","White","100pk",NA,NA,0.941666666666667
"HOM","CPT","236681","Swish Gliders 10pk","Swish","10 Pack","White","10pk",NA,NA,0.941666666666667
"HOM","CPT","3781340","Swish Sologlide Multipurpose Curtain Track  White125cm","Swish","125cm","White","1",NA,NA,0.941666666666667
"HOM","CPT","3781540","Swish Sologlide Multipurpose Curtain Track White150cm","Swish","150cm","White","1",NA,NA,0.941666666666667
"HOM","CPT","3781740","Swish Sologlide Multipurpose Curtain Track White175cm","Swish","175cm","White","1",NA,NA,0.941666666666667
"HOM","CPT","3781940","Swish Sologlide Multipurpose Curtain Track White200cm","Swish","200cm","White","1",NA,NA,0.941666666666667
"HOM","CPT","3782140","Swish Sologlide Multipurpose Curtain Track White225cm","Swish","225cm","White","1",NA,NA,0.941666666666667
"HOM","CPT","3821540","Swish Sologlyde End Stops 2pk","Swish","Single","White","2pk",NA,NA,0.941666666666667
"HOM","CPT","3822240","Swish Sologlyde Gliders 10pk","Swish","100 Pack","White","10pk",NA,NA,0.941666666666667
"HOM","CPT","59285","Swish Sologlyde Brackets 5pk","Swish","5 Pack","White","1",NA,NA,0.941666666666667
"HOM","CPT","59302","Swish Sologlyde Curtain Hooks 25pk","Swish","25 Pack","White","1",NA,NA,0.941666666666667
