"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","FEM","345657","Wilko Shaving Gel Sensitive Skin 200ml","Wilko","200ml",NA,NA,0.825
"TOI","FEM","345659","Wilko Shaving Gel Moisturising 200ml","Wilko",NA,NA,"1",0.825
"TOI","FEM","346678","Wilko Roll On Plum and Rose 50ml","Wilko",NA,NA,"1",0.9125
"TOI","FEM","346680","Wilko Roll On Lilly and Peony 50ml","Wilko",NA,NA,"1",0.9125
"TOI","HAI","451104","Root Perfect Blonde 75ml","Root Perfect","75ml",NA,"1",0.93
"TOI","HAI","451105","Root Perfect Light Brown 75ml","Root Perfect","75ml",NA,"1",0.93
"TOI","HAI","451106","Root Perfect Medium Brown 75ml","Root Perfect","75ml",NA,"1",0.93
"TOI","HAI","451107","Root Perfect Dark Brown 75ml","Root Perfect","75ml",NA,"1",0.93
"TOI","HAI","451108","Root Perfect Black 75ml","Root Perfect",NA,NA,NA,0.79
"TOI","MEN","345655","Wilko Mens Sensitive Shave Gel 200ml","Wilko","200ml",NA,"1",0.85
"TOI","MEN","345658","Wilko Mens Moisture Shave Gel 200ml","Wilko","200ml",NA,"1",0.85
"TOI","MEN","345660","Wilko Mens Shave Foam 200ml","Wilko","200ml","Multi","1",0.9
"TOI","MEN","346654","Wilko Mens Roll On Cool Defence 50ml","Wilko","50ml",NA,"1",1
"TOI","MEN","346655","Wilko Mens Roll On Intense Fusion 50ml","Wilko",NA,NA,"1",0.9125
