"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","DQ Score"
"KIT","BAK","434392","Wilko Chip Bucket","Wilko","11cm",NA,"1",NA,0.85
"KIT","BAK","434393","Wilko Chip Dustbin","Wilko","8.5cm",NA,"1",NA,0.85
"KIT","BAK","434394","Wilko Mini Frypan with Board","Wilko","Frypan 11.5cm, board 13.7cm",NA,"1",NA,0.85
"KIT","BAP","451708","Kitchen Craft Icing Bottles 2pk","Kitchen Kraft",NA,NA,"2",NA,0.81
"KIT","BAP","451709","Kitchen Kraft Ribbons Assorted 5pk","Kitchen Kraft",NA,NA,"5",NA,0.86
"KIT","BAP","451712","Kitchen Craft Gift Tags Home Made Slogan","Kitchen Kraft",NA,NA,"1pk",NA,0.81
"KIT","BAP","451713","Kitchen Craft Jam Jar Gift Tags Home Made Slogan24pk","Kitchen Kraft","24 Pack",NA,"1",NA,0.95
"KIT","BAP","451715","Kitchen Craft Home Made Self-Adhesive Chutney JarLabels Roll of 100","Kitchen Kraft","100 Pack",NA,"1",NA,0.88
"KIT","BAP","451716","Kitchen Craft Self Adhesive Jam Jar Labels Pack of100 Assorted","Kitchen Kraft","100 Pack",NA,"1",NA,0.95
"KIT","BAP","453040","Kitchen Craft Flavour and Marinade Injector","Kitchen Kraft",NA,NA,"1",NA,0.81
"KIT","DIN","447385","Kitchen Craft Slate and Wood Serving Stand 2 Tier","Kitchen Kraft","Size of platters: 36cm x 14cm 36cm x 24cm","Multi","1","N/A",0.9
"KIT","GLA","447441","Luxe Lounge Mojito Cocktail Set 4 Pack","Luxe Lounge","Glass 15.2cm x 8.2cm, Shaker 21.5cm x 8.4cm, Spoon","Silver","1",NA,0.9
"KIT","GLA","435504","Wilko Barcraft Glass Cocktail Kit 5pcs","Wilko","Cocktail Shaker 22cm x 8.7cm, glass jars 8.5cm x 4",NA,"1",NA,0.883333333333333
"KIT","HOM","453041","Kitchen Craft Chalk Board Lables with Chalk 12pk","Wilko",NA,NA,"12pk",NA,0.8625
"KIT","MUG","447391","Le'Xpress Infuser Teapot Stainless Steel and Glass","Kitchen Kraft","9.5 x 15 x 20cm",NA,"1",NA,0.88
"KIT","MUG","447394","Le'Xpress Espresso Maker Italian Style 6 Cup","Kitchen Kraft","6 Cup",NA,"1",NA,0.88
