"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Model Number","DQ Score"
"DIY","BRA","438784","Kenovo DuraTrax Mounting Block","DuraTrax","Mini Rail Mounting Block 3 x 1.5cm","White","1",NA,NA,NA,NA,1
"DIY","BRA","438785","Kenovo DuraTrax J Hook Mini","DuraTrax","J Hook Mini 1pk 5.2 x 5.3cm","Silver","1","Aluminium alloy",NA,NA,NA,1
"DIY","BRA","438786","Kenovo DuraTrax Short J Hook","DuraTrax","Short J Hook 1pk 5.7 x 3.1cm","Silver","1","Aluminium alloy",NA,NA,NA,0.95
"DIY","BRA","438787","Kenovo DuraTrax S Hook","DuraTrax","S Hook 12 x 7cm","White","1","Aluminium alloy",NA,NA,NA,0.95
"DIY","BRA","438788","Kenovo DuraTrax Clothes Hook","DuraTrax","Clothes Hook 1pk 14.3 x 6cm","Silver","1","Aluminium alloy",NA,NA,NA,0.95
"DIY","BRA","438789","Kenovo DuraTrax L Hook","DuraTrax","L hook 1pk 9 x 6.2cm","Silver","1","Aluminium alloy",NA,NA,NA,1
"DIY","BRA","438791","Kenovo DuraTrax Open Wire Basket 380mm","DuraTrax","Open Wire Basket 380mm","White","1",NA,NA,NA,NA,1
"DIY","BRA","438795","Kenovo DuraTrax Ladder Hook","DuraTrax","Ladder Hook 32 x 7cm","Black","1","Aluminium alloy,steel powder coated finish, rubber",NA,NA,NA,1
"DIY","BRA","438796","Kenovo DuraTrax Horizontal Bike Hook","DuraTrax","Horizontal Bike Hook 1pk 30 x 3.5cm","Black","1pk","Aluminium alloy,steel powder coated finish, rubber",NA,NA,NA,1
"DIY","BRA","438797","Kenovo DuraTrax Hose Hook","DuraTrax","Hose Hook 22 x 14cm","Black","1","Aluminium alloy,steel powder coated finish, rubber",NA,NA,NA,1
"DIY","BRA","438798","Kenovo DuraTrax Triple S Hook","DuraTrax","Triple S Hook 11 x 44.5cm","Black","1","Aluminium alloy,steel powder coated finish, rubber",NA,NA,NA,1
"DIY","BRA","438799","Kenovo DuraTrax Single S Hook","DuraTrax","Single S Hook 11 x 7cm","Black","1","Aluminium alloy,steel powder coated finish, rubber",NA,NA,NA,1
"DIY","BRA","438800","Kenovo DuraTrax Satin Hook","DuraTrax","Satin Hook 7.5 x 1.6cm","Silver","1","Aluminium alloy anodizing finishing",NA,NA,NA,1
"DIY","BRA","438801","Kenovo DuraTrax Single Straight Hook","DuraTrax","Single Straight Hook 15 x 3.5cm","Black","1","Aluminium alloy,steel powder coated finish, rubber",NA,NA,NA,1
"DIY","BRA","438802","Kenovo DuraTrax Single J Hook","DuraTrax","Single J Hook 9 x 3.5cm","Black","1","Aluminium alloy,steel powder coated finish, rubber",NA,NA,NA,1
"DIY","DOO","343223","Wilko Snail Shaped Door Wedge","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"DIY","DOO","343224","Wilko Stop Shaped Door Wedge","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"DIY","DOO","343225","Cheese Shaped Door Wedge","Wilko",NA,NA,"1",NA,NA,NA,NA,0.81
"DIY","ELE","255381","Core Electrics Cable Ties Clear 100mm 20pk","Core Electrics","100m",NA,NA,NA,NA,NA,NA,0.825
