"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Capacity","DQ Score"
"HOM","BAT","423320","Wilko 3 Drawer Medium Tower Unit","Wilko","27cm x 19cm x 47.5cm",NA,"1","POLYPROPYLENE",NA,NA,NA,0.9
"HOM","BAT","423321","Wilko Swing Bin 12L","Wilko","17.5cm x 24cm x 36cm",NA,"1",NA,NA,NA,NA,0.883333333333333
"HOM","CHI","422992","Wilko Storage Tower Pink 3 Drawer","Wilko","40x40x63cm","Multi","1","Polypropelyne",NA,NA,NA,0.95
"HOM","CHI","422993","Wilko Underbed Box Blue 32L","Wilko","40x60x19cm","Multi","1","Polypropelyne",NA,NA,"32L",1
"HOM","CHI","422994","Wilko Underbed Box Pink 32L","Wilko","40x60x19cm","Multi","1","Polypropelyne",NA,NA,"32L",1
"HOM","CHI","422995","Wilko Underbed Box Blue 45L","Wilko","40x60x27cm",NA,"1","Polypropelyne",NA,NA,"45L",0.95
"HOM","CHI","422996","Wilko Underbed Box Pink 45L","Wilko","40x60x27cm","Multi","1","Polypropelyne",NA,NA,"45L",1
"HOM","CHI","423198","Wilko Storage Box with Pink Lid 3pk","Wilko Functional","37.5x25x15cm","Multi","3","Polypropelyne",NA,NA,NA,0.95
"HOM","CHI","423199","Wilko Storage Box with Blue Lid 3pk","Wilko Functional","38x25x15cm","Multi","3 Pack","Polypropelyne",NA,NA,NA,0.95
"HOM","CHI","423200","Wilko Fold Flat Crate Pink","Wilko Functional","23x34x47cm","Pink","1","Polypropylene",NA,NA,"32L",0.95
"HOM","CHI","423201","Wilko Fold Flat Crate Blue","Wilko Functional","23 x 34 x 47cm","Blue","1","Polypropylene",NA,NA,"32L",0.95
"HOM","CHI","423202","Wilko Waste Bin Pink","Wilko Functional","19 x 19 x 22.5cm","Pink","1",NA,NA,NA,NA,0.95
"HOM","CHI","423203","Wilko Waste Bin Blue","Wilko Functional","19 x 19 x 22.5cm","Blue","1",NA,NA,NA,NA,0.95
"HOM","CHI","432870","Wilko 3 Drawer Tower Small Pink","Wilko Functional","27 x 19 x 29.5cm","Pink","1","Polypropylene",NA,NA,NA,0.95
"HOM","CHI","432871","Wilko 3 Drawer Tower Small Blue","Wilko Functional","27 x 19 x 29.5cm","Multi","1","Polypropylene",NA,NA,NA,0.95
"KIT","BAP","435797","Wilko Big Mixing Bowl","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"KIT","BAP","435798","Wilko Big Measuring Jug","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"KIT","MSP","450248","Wilko Vegetable Rack 3 Tier","Wilko","53 x 20 x 22cm","White","1","POLYPROPYLENE","Yes","Wipe Clean Only",NA,0.65
