"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"CLE","LAU","177822","Comfort Vaporesse Ironing Water 1L","Comfort","1L",NA,"1",1
"CLE","LAU","255077","Comfort Sunshiny Days Fabric Conditioner 42Washes 1.5L","Comfort","1.5L",NA,"1",1
"CLE","LAU","255078","Comfort Fabric Conditioner Blue Skies42 Washes 1.5L","Comfort","1.5L",NA,NA,0.9125
"CLE","LAU","255079","Comfort Pure Fabric Conditioner 42 Washes 1.5L","Comfort","1.5L",NA,"1",1
"CLE","LAU","332317","Comfort Blue Skies Fabric Conditioner 85 Washes 3L","Comfort","3L",NA,"1",1
"CLE","LAU","334443","Comfort Pure Fabric Conditioner 3L","Comfort","3L",NA,"1",1
"CLE","LAU","352861","Comfort Creations Fabric Conditioner Strawberryand Lily 1.16L","Comfort","1.16L",NA,NA,0.9125
"CLE","LAU","352863","Comfort Creations Honeysuckle and Sandalwood1.16L","Comfort","1.16L",NA,"1",1
"CLE","LAU","409225","Comfort Creations Fabric Conditioner CherryBlossom and Sweet Pea 1.16L","Comfort","1.16L",NA,"1",1
"CLE","LAU","414155","Comfort Intense Fuchsia Passion 570ml","Comfort",NA,NA,"1",0.9125
"CLE","LAU","414156","Comfort Intense Fresh Sky 570ml","Comfort",NA,NA,"1",0.9125
"CLE","LAU","414157","Comfort Intense Fabric Conditioner Fresh Sky64 Washes","Comfort",NA,NA,"1",0.9125
"CLE","LAU","414158","Comfort Intense Fuchsia Passion 960ml","Comfort",NA,NA,"1",0.9125
"CLE","LAU","430856","Comfort Pure Fabric Conditioner 570ml","Comfort","570ml",NA,"1",1
"CLE","LAU","430857","Comfort Creations Fabric Conditioner Tuberose andVanilla Flower 33 Washes","Comfort","1.16L",NA,NA,0.9125
"CLE","LAU","439876","Comfort Intense Luxurious 960ml","Comfort","960ml",NA,"1",1
"CLE","LAU","451717","Comfort Intense Perfume Pearls Fuchsia Passion275g","Comfort",NA,NA,NA,0.775
"CLE","LAU","451718","Comfort Intense Perfume Pearls Fresh Sky 275g","Comfort",NA,NA,"1",0.8625
"CLE","LAU","453863","Comfort Intense Flora 38 Washes","Comfort",NA,NA,NA,0.775
"CLE","LAU","453865","Comfort Intense Fabric Conditioner Tropical Punch64 Washes","Comfort",NA,NA,"64",0.8625
"CLE","LAU","454162","Comfort Fragrance Burst Luxurious 275g","Comfort","275g",NA,"1",0.95
"CLE","LAU","321121","Persil Silk and Wool Liquid 15 Washes 750ml","Persil","750ml",NA,NA,0.9125
"CLE","LAU","338143","Persil Small and Mighty Non Bio Washing Liquid22 Washes 770ml","Persil","770ml",NA,NA,0.9125
"CLE","LAU","338144","Persil Small and Mighty Washing LiquidColour Protect 770ml","Persil","770ml",NA,"1",1
"CLE","LAU","338145","Persil Small and Mighty Bio Washing Liquid25 Washes 770ml","Persil","770ml",NA,NA,0.9125
"CLE","LAU","339702","Persil Small and Mighty Washing LiquidColour Protect 38 Washes","Persil",NA,NA,"38s",0.9125
"CLE","LAU","339704","Persil Small and Mighty Bio Washing Liquid1.33L","Persil",NA,NA,"38s",0.9125
"CLE","LAU","339705","Persil Small & Mighty Non-Bio Washing Liquid38 Washes 1.33L","Persil",NA,NA,"38s",0.9125
"CLE","LAU","351784","Persil Colour Protect Washing Powder1.61kg","Persil","23 Washes",NA,"1",1
"CLE","LAU","351785","Persil Non-Bio Washing Powder1.61kg","Persil","23 Washes",NA,"1",1
"CLE","LAU","434075","Persil Bio Capsules 22 Washes","Persil","22 tabs",NA,"1",1
"CLE","LAU","434079","Persil Non Bio Capsules 22 Washes","Persil","22 tabs",NA,"1",1
"CLE","LAU","434092","Persil Colour Protect Capsules 22 Washes","Persil","22 tabs",NA,"1",1
"CLE","LAU","434094","Persil Powder Non Bio 45 Washes","Persil","3.185kg",NA,"1",1
"CLE","LAU","435753","Persil Ultimate Non Bio Dual Capsules30 Washes","Persil",NA,NA,"1",0.9125
"CLE","LAU","435754","Persil Ultimate Bio Dual Capsule28 Washes","Persil",NA,NA,"1",0.9125
"CLE","LAU","454164","Persil Bio Capsules 38 Washes","Persil",NA,NA,"38 Caps",0.8625
"CLE","LAU","454165","Persil Caps Colour 38 Washes","Persil",NA,NA,"38 Caps",0.8625
"CLE","LAU","454168","Persil Non Bio Capsules 38 Washes","Persil",NA,NA,"38 Caps",0.8625
"CLE","LAU","286484","Surf Liquid Detergent Tropical Lily and YlangYlang 23 Washes","Surf","805ml",NA,NA,0.9125
"CLE","LAU","321025","Surf Liquid Detergent Herbal Extracts 805ml","Surf","805ml",NA,NA,0.9125
"CLE","LAU","351762","Surf Tropical Lily Washing Powder 23 Washes","Surf",NA,NA,"23s",0.9125
"CLE","LAU","351769","Surf Lavender & Jasmine Washing Powder23 Washes","Surf",NA,NA,"23s",0.9125
"CLE","LAU","414171","Surf Bio Capsules Herbal Extract 18 Washes","Surf",NA,NA,"1",0.9125
"CLE","LAU","414173","Surf Bio Tropical Lilly 18 Washes","Surf",NA,NA,"1",0.9125
"CLE","LAU","434071","Surf Bio Capsules Tropical Lily and Ylang Ylang33 Washes","Surf","33 tabs",NA,"1",1
"CLE","LAU","434096","Surf Bio Herbal Extract 33 Washes","Surf","33 tabs",NA,"1",1
"CLE","LAU","453718","Surf Liquid Tropical Oasis 37 Washes","Surf",NA,NA,"37",0.9125
"CLE","SUR","200236","Cif Citrus Burst Bathroom Mousse 500ml","Cif","500ml",NA,"1",1
"CLE","SUR","246134","Cif Oven Cleaner 500ml","Cif","500ml",NA,NA,0.9125
"CLE","SUR","251953","Cif Floor Cleaner Orchid 1L","Cif","1L",NA,"1",1
"CLE","SUR","251954","Cif Floor Cleaner Ocean 1L","Cif","1L",NA,NA,0.9125
"CLE","SUR","406546","CIF Power and Shine Kitchen 700ml","Cif",NA,NA,"1",0.9125
"CLE","SUR","406553","CIF Power and Shine Bathroom 700ml","Cif",NA,NA,"1",0.9125
"CLE","SUR","453870","Cif Actifizz Spray Ocean 450ml","Cif","450ml",NA,"1",1
"CLE","SUR","59553","Cif Cream Cleaner White 500ml","Cif","500ml",NA,"1",1
"CLE","SUR","59554","Cif Cream Lemon with Micro-Particles 500ml","Cif","500ml",NA,NA,0.9125
"CLE","SUR","233269","Domestos Sink and Pipe Unblocker 500ml","Domestos","500ml",NA,NA,0.9125
"CLE","TOI","1156840","Domestos Original Bleach 750ml","Domestos","750ml",NA,"1",1
"CLE","TOI","135697","Domestos Pink Power Bleach 750ml","Domestos","750ml",NA,NA,0.9125
"CLE","TOI","186746","Domestos Bleach Aqua Blast 750ml","Domestos","750ml",NA,"1",1
"CLE","TOI","264216","Domestos Zero Limescale Toilet Limescale Remover750ml","Domestos","750ml",NA,NA,0.9125
"CLE","TOI","277123","Domestos Bleach   Original Blue 2L","Domestos","2L",NA,"1",1
"CLE","TOI","293164","Domestos Bleach Citrus 750ml","Domestos","750ml",NA,"1",1
"CLE","TOI","333337","Domestos Toilet Wipes Fresh Fragrance 40pk","Domestos","40 Pack",NA,"40s",1
"CLE","TOI","339548","Domestos Ultra White N Shine 750ml","Domestos","750ml",NA,NA,0.9125
"CLE","TOI","400123","Domestos Power Fresh Lime Toilet Gel 700ml","Domestos","700ml",NA,NA,0.9125
"CLE","TOI","400124","Domestos Power Fresh Ocean Toilet Gel 700ml","Domestos","700ml",NA,NA,0.9125
"CLE","TOI","400125","Domestos Power Fresh Citrus Toilet Gel 700ml","Domestos","700ml",NA,NA,0.9125
"CLE","TOI","417765","Domestos 3in1 Rim Block Ocean","Domestos",NA,NA,"1",0.9125
"CLE","TOI","421554","Domestos Rimblock Power 5 Lime 55g","Domestos","55g",NA,NA,0.9125
"CLE","TOI","437751","Domestos Rimblock Power 5 Ocean","Domestos","55g",NA,"1",1
"TOI","BAB","456896","Dove Baby Lotion Rich Moisture 200ml","Dove",NA,NA,"1",0.81
"TOI","BAB","456898","Dove Baby Rich Moisture Shampoo 200ml","Dove",NA,NA,"1",0.81
"TOI","BAB","456901","Dove Baby Rich Moisture Head to Toe Wash 200ml","Dove",NA,NA,"1",0.81
"TOI","BAB","427222","Simple Baby All in One Wash 300ml","Simple",NA,NA,"1",0.86
"TOI","BAB","427223","Simple Baby Moisturising Bath 300ml","Simple",NA,NA,"1",0.86
"TOI","BAB","427224","Simple Baby Moisturising Shampoo 300ml","Simple",NA,NA,"1",0.86
"TOI","BAB","33067","Vaseline Pure Petroleum Jelly Original 100ml","Vaseline",NA,NA,"1",0.9125
"TOI","BAN","456899","Dove Baby Wipes Sensitive 50pk","Dove",NA,NA,"50",0.81
"TOI","BAN","351006","Simple Moisturising Baby Wipes 64pk","Simple","64 Pack",NA,"64s",0.93
"TOI","BAT","140151","Dove Beauty Cream Handwash 250ml","Dove","250ml",NA,NA,0.9125
"TOI","BAT","166291","Dove Indulging Cream Bath 500ml","Dove","500ml",NA,NA,0.9125
"TOI","BAT","228528","Dove Beauty Cream 2 x 100g","Dove","100g",NA,NA,0.9125
"TOI","BAT","276789","Dove Liquid Hand Wash 250mlShea Butter and Warm Vanilla","Dove","250ml",NA,NA,0.9125
"TOI","BAT","276891","Dove Cream Bath 500mlShea Butter and Warm Vanilla","Dove","500ml",NA,NA,0.9125
"TOI","BAT","302935","Dove Soap Bars 6pk x 100g","Dove","6 x 100g",NA,"1",1
"TOI","BAT","319907","Dove Beauty Cream 2 x 100gShea Butter and Warm Vanilla","Dove","100g",NA,"2pk",1
"TOI","BAT","414576","Dove Go fresh Revive Body Wash 250ml","Dove",NA,NA,"1",0.9125
"TOI","BAT","414592","Dove Pro Age Body Wash 500ml","Dove",NA,NA,"1",0.9125
"TOI","BAT","414596","Dove Bodywash Softening Silk 500ml","Dove",NA,NA,"1",0.9125
"TOI","BAT","416202","Dove Deeply Nourishing Body Wash 250ml","Dove",NA,NA,"1",0.9125
"TOI","BAT","438053","Dove Beauty Creme Bar 2 x 100gCucumber and Green Tea Scent","Dove",NA,NA,NA,0.825
"TOI","BAT","69408","Dove Cream Bar 100g","Dove","100g",NA,NA,0.9125
"TOI","BAT","456926","Lynx Shower Gel You Refreshed 250ml","Lynx",NA,NA,"1",0.8625
"TOI","BAT","456927","Lynx Shower Gel Energised You 250ml","Lynx",NA,NA,"1",0.8625
"TOI","BAT","456928","Lynx Shower Gel Clean Fresh You 250ml","Lynx",NA,NA,"1",0.8625
"TOI","BAT","228459","Radox Feel Good Fragrance Muscle Soak Bath Soak500ml","Radox","500ml",NA,"1",1
"TOI","BAT","228463","Radox Feel Good Fragrance Relax Bath Soak 500ml","Radox","500ml",NA,"1",1
"TOI","BAT","228464","Radox Feel Good Fragrance Stress Relief Bath Soak500ml","Radox","500ml",NA,NA,0.9125
"TOI","BAT","232256","Radox Feel Active 2in1 Shower Gel 250ml","Radox","250ml",NA,NA,0.9125
"TOI","BAT","232263","Radox Feel Awake for Men 2in1 Shower Gel 250ml","Radox","250ml",NA,"1",1
"TOI","BAT","232265","Radox Feel Refreshed 2in1 Shower Gel 250ml","Radox","250ml",NA,NA,0.9125
"TOI","BAT","232267","Radox Feel Pampered Shower Cream 250ml","Radox","250ml",NA,"1",1
"TOI","BAT","321208","Radox Bath Therapy Nourish Shea Butter and Ginger500ml","Radox","500ml",NA,"1",1
"TOI","BAT","325579","Radox Feel Revived Shower Gel 250ml","Radox",NA,NA,"1",0.9125
"TOI","BAT","325581","Radox Feel Uplifted Shower Gel 250ml","Radox",NA,NA,"1",0.9125
"TOI","BAT","33144","Radox Muscle Soak Herbal Bath Salts with Thyme 400g","Radox","400g",NA,NA,0.9125
"TOI","BAT","332701","Radox Feel Good Fragrance Muscle Therapy Bath Soak500ml","Radox","500ml",NA,"1",1
"TOI","BAT","332706","Radox Feel Energised Shower Gel 250ml","Radox","250ml",NA,"1",1
"TOI","BAT","414561","Radox Hand Wash Antibacterial 250ml","Radox",NA,NA,"1",0.9125
"TOI","BAT","414563","Radox  Antibacterial and Nourish Handwash 250ml","Radox",NA,NA,"1",0.9125
"TOI","BAT","455121","Radox 12H Scent Touch Body Wash Feel Free 200ml","Radox",NA,NA,"1",0.9125
"TOI","BAT","455122","Radox 12H Scent Touch Body Wash Feel Lively200ml","Radox",NA,NA,"1",0.9125
"TOI","BAT","455123","Radox 12H Scent Touch Body Wash Feel Fresh 200ml","Radox",NA,NA,"1",0.9125
"TOI","FAC","171523","Dove Essential Nourishing Body Lotion 250ml","Dove","250ml",NA,NA,0.9125
"TOI","FAC","204689","Dove Essential Nourishing Lotion 400ml","Dove","400ml",NA,NA,0.9125
"TOI","FAC","228640","Dove Rich Moisturising Creme 150ml","Dove","150ml",NA,NA,0.9125
"TOI","FAC","278452","Dove Intensive Nourishment Body Butter 250ml","Dove","250ml",NA,NA,0.9125
"TOI","FAC","428329","Dove Derma Spa Summer Revived Medium to Dark SkinBody Lotion 200ml","Dove","200ml",NA,NA,0.9125
"TOI","FAC","454551","Dove Coconut Oil and Almond Cream 250ml","Dove","250ml",NA,"1",1
"TOI","FAC","454552","Dove Marula Oil and Mango Cream 250ml","Dove",NA,NA,"1",0.9125
"TOI","FAC","454556","Dove Coconut and Almond Milk Lotion 400ml","Dove",NA,NA,"1",0.8625
"TOI","FAC","454559","Dove Marula Oil and Mango Lotion 400ml","Dove",NA,NA,"1",0.8625
"TOI","FAC","159831","Simple Cleansing Wipes 25pk","Simple",NA,NA,"25",0.9125
"TOI","FAC","163799","Simple Kind To Skin Soothing Facial Toner 200ml","Simple","200ml",NA,"1",1
"TOI","FAC","170376","Simple Kind To Skin Moisturising Facial Wash 150ml","Simple","150ml",NA,"1",1
"TOI","FAC","192787","Simple Eye Makeup Remover 125ml","Simple","125ml",NA,"1",1
"TOI","FAC","238385","Simple Replenishing Rich Moisturiser 125ml","Simple","125ml",NA,"1",1
"TOI","FAC","33454","Simple Purifying Cleansing Lotion 200ml","Simple","200ml",NA,"1",1
"TOI","FAC","33455","Simple Hydrating  Lotion 125ml","Simple","125ml",NA,NA,0.9125
"TOI","FAC","338352","Simple Kind to Eyes Soothing Eye Balm 15ml","Simple","15ml",NA,NA,0.9125
"TOI","FAC","338353","Simple Kind to Skin Refreshing Facial Wash Gel 150ml","Simple","150ml",NA,NA,0.9125
"TOI","FAC","351175","Simple Spotless Triple Action Facewash 150ml","Simple","15ml",NA,NA,0.9125
"TOI","FAC","351177","Simple Spotless Skin Quick Fix Cleansing Wipes25pk","Simple",NA,NA,"1",0.9125
"TOI","FAC","351181","Simple Spotless Rapid Action Spot Zapper 15ml","Simple",NA,NA,"1",0.9125
"TOI","FAC","433797","Simple Kind To Skin Micellar Cleansing Wipes 25pk","Simple",NA,NA,NA,0.825
"TOI","FAC","433798","Simple Kind To Skin Micellar Cleansing Water 200ml","Simple",NA,NA,NA,0.825
"TOI","FAC","437549","Simple Regeneration Age Resisting Day CreamSPF15 50ml","Simple","50ml",NA,"1",1
"TOI","FAC","437550","Simple Regeneration Age Resisting Facial Wash150ml","Simple","150ml",NA,"1",1
"TOI","FAC","437554","Simple Anti Blemish Moisturiser 75ml","Simple","75ml",NA,NA,0.9125
"TOI","FAC","279560","St Ives Fresh Skin Apricot Facial Scrub 150ml","St Ives","150ml",NA,NA,0.9125
"TOI","FAC","154756","Vaseline Lip Therapy Original 20g","Vaseline","20g",NA,NA,0.86
"TOI","FAC","214587","Vaseline Lip Therapy Aloe Vera 20g","Vaseline",NA,NA,"1",0.86
"TOI","FAC","222075","Vaseline Advanced Repair Lotion 400ml","Vaseline","400ml",NA,NA,0.9125
"TOI","FAC","253629","Vaseline Intensive Care Essential Lotion 400ml","Vaseline","400ml",NA,"1",1
"TOI","FAC","33372","Vaseline Essential Healing Body Lotion 200ml","Vaseline","200ml",NA,"1",1
"TOI","FAC","338351","Vaseline Lip Therapy Rosy Lip Balm 20g","Vaseline","20g",NA,"1",0.93
"TOI","FAC","338369","Vaseline Intensive Care Cocoa Lotion 400ml","Vaseline","400ml",NA,NA,0.9125
"TOI","FAC","351187","Vaseline Lip Therapy Cocoa Butter 20g","Vaseline","20g",NA,"1",0.93
"TOI","FAC","419517","Vaseline Moisturiser Aerosol Essential 190ml","Vaseline","190ml",NA,"1",0.95
"TOI","FAC","419518","Vaseline Intensive Care Cocoa Spray Moisturiser190ml","Vaseline","190ml",NA,NA,0.9125
"TOI","FAC","419519","Vaseline Intensive Care Aloe Soothe SprayMoisturiser 190ml","Vaseline","190ml",NA,NA,0.9125
"TOI","FAC","452955","Vaseline Cocoa Radiant Lotion 200ml","Vaseline","200ml",NA,"1",1
"TOI","FAC","49970","Vaseline Intensive Care Advanced RepairLotion 200ml","Vaseline","200ml",NA,"1",1
"TOI","FAC","66518","Vaseline Intensive Care Healthy Hands andStronger Nails Hand Cream 75ml","Vaseline","75ml",NA,NA,0.9125
"TOI","FAC","84534","Vaseline Healthy Hands and Stronger Nails HandCream 200ml","Vaseline","200ml",NA,"1",1
"TOI","FEM","150415","Dove Roll On Original 50ml","Dove","50ml",NA,"1",1
"TOI","FEM","150417","Dove Cream Roll On Original 50ml","Dove","50ml",NA,NA,0.9125
"TOI","FEM","243410","Dove Invisible Dry Roll On 48 Hour 40ml","Dove","40ml",NA,"1",1
"TOI","FEM","243411","Dove Invisible Roll On 50ml","Dove","50ml",NA,"1",1
"TOI","FEM","264313","Dove Anti-Perspirant Spray Original 250ml","Dove","250ml",NA,"1",1
"TOI","FEM","269945","Dove Anti-Perspirant Spray Invisible 250ml","Dove","250ml",NA,"1",1
"TOI","FEM","319899","Dove Go Fresh Anti-Perspirant 250ml","Dove","250ml",NA,"1",1
"TOI","FEM","332848","Dove Anti-Perspirant Anti White Marks 75ml","Dove","75ml",NA,NA,0.9125
"TOI","FEM","412065","Dove Roll On Soft Feel 50ml","Dove","50ml",NA,"1",1
"TOI","FEM","450023","Dove Deodorant Go Fresh 250ml","Dove","250ml",NA,"1",1
"TOI","FEM","451483","Dove Original Spray Deodorant 150ml","Dove","150ml",NA,"1",1
"TOI","FEM","451493","Dove Pomegranate Spray Deodorant 150ml","Dove",NA,NA,NA,0.825
"TOI","FEM","304186","Impulse Very Pink Body Spray 75ml","Impulse","75ml",NA,"1",1
"TOI","FEM","32543","Impulse Hint of Musk Bodyspray 75ml","Impulse","75ml",NA,NA,0.9125
"TOI","FEM","450024","Impulse Body Spray Instant Crush 75ml","Impulse","75ml",NA,"1",1
