"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","DQ Score"
"PET","CAT","192949","Wilko Cat Toy Fishing Rod Assorted Colours andDesigns","Wilko","One Size","1",NA,NA,0.93
"PET","DOM","121965","Wilko Aquarium Bubble Stone","Wilko",NA,"1",NA,NA,0.86
"PET","DOM","121966","Wilko Aquarium Airline 244cm","Wilko","244cm",NA,NA,NA,0.86
"PET","DOM","121996","Wilko Aquarium Fish Net Approx 10cm","Wilko","10cm",NA,NA,NA,0.86
"PET","DOM","189470","Wilko Aquarium Glass Thermometer","Wilko",NA,"1",NA,NA,0.86
"PET","DOM","189472","Wilko Aquarium Magnetic Algae Scraper","Wilko","Medium",NA,NA,NA,0.86
"PET","DOM","303730","Wilko Caged Bird Coop Cup Large","Wilko","Large","1",NA,NA,1
"PET","DOM","453205","Wilko Bird Toys 3pk","Wilko","24cm x 10cm x 2.5cm","1",NA,NA,1
"PET","GEN","453204","Wilko Rubber Dog Toy","Wilko","33.5cm x 10.2cm x 1.2cm","1",NA,NA,0.93
"PET","GEN","80522","Wilko Dog Toy Rubber Rope Ball","Wilko","Large","1",NA,NA,0.93
"PET","GEN","9520044","Wilko Train Solid Rubber Ball Assorted 6.5cm approx","Wilko","6.5cm/approx",NA,"Rubber","No",0.65
