"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"GAR","SPC","438589","Wilko Ultimate Thermal Garden Gloves Large","Wilko",NA,NA,"1",NA,NA,NA,0.86
"GAR","SPC","438593","Wilko Indoor Weather Station","Wilko",NA,NA,"1",NA,"No",NA,0.65
"GAR","SUN","424898","Wilko Standard Rigger Glove","Wilko",NA,NA,"1 Pair",NA,NA,NA,0.86
"GAR","SUN","457147","Wilko Garden Clock Wood Effect","Wilko","Length 4cm, Width 25cm, Height 25cm",NA,"1",NA,NA,NA,0.93
"GAR","SUN","457148","Wilko Garden Station Clock","Wilko","Length 4cm, Width 20cm, Height 25cm","Gold","1",NA,NA,NA,1
"GAR","SUN","457149","Wilko Garden Thermometer","Wilko","Length 10cm, Width 5cm, Height 25cm","Gold","1",NA,NA,NA,1
"GAR","SUN","457150","Wilko Garden Twine in a Tin","Wilko","Length 13cm, width 8cm, Height 8cm","Green","1","Galvanized Metal",NA,NA,1
"GAR","SUN","457152","Wilko Garden Kneeler","Wilko","Depth 4cm, Height 33.5cm, Width 24cm","Multi","1","Polyester and polyurethane","No","Wipe Clean Only",0.65
"GAR","SUN","339846","Wilko Garden Rigger Gloves Mens Size 10","Wilko Functional",NA,NA,"1",NA,NA,NA,0.81
"GAR","SUN","339849","Wilko Garden Gloves Jersey Size 8 x 3 Pairs","Wilko Functional",NA,NA,"3pk",NA,NA,NA,0.81
