"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Age","Model Number","DQ Score"
"XMD","CAR","438937","Wilko Christmas Cardholder Metal with Foilage","Wilko","20 x 63 cm","Multi","1","Metal","No",NA,"3+","M164812",0.65
"XMD","CRA","401525","Wilko Christmas Hamper Basket Bamboo Large","Wilko","23.5 x 28.5 x 15cm",NA,"1","Bamboo","No",NA,NA,NA,0.65
"XMD","CRA","401526","Wilko Christmas Hamper Basket Bamboo Small","Wilko","30 x 20 x 8cm",NA,"1","Bamboo","No",NA,NA,"PT65614",0.65
"XMD","FLO","281705","Wilko Christmas Over Door Wreath Hanger Silver","Wilko","28 x 7.5 x 1.9cm","Silver","1","Metal","No","Do Not Wash","3 Years",NA,0.65
"XMD","FLO","322376","Wilko Christmas Decoration Glitter Apples Red 4pk","Wilko","9 x 10 x 3.6cm","Red","4","Styrofoam","No",NA,NA,NA,0.65
"XMD","FLO","322379","Wilko Christmas Decoration Metal Jingle Bells Redand White 8pk","Wilko","8 x 10.5 x 1.2cm","White","8","Metal","No",NA,"3 Years",NA,0.65
"XMD","FLO","322383","Wilko Christmas Decoration Holly Sprigs 6pk","Wilko","15 x 11 x 1.2","Red","6","Plastic","No",NA,NA,NA,0.65
"XMD","FLO","401770","Wilko Christmas Decoration Snowy Cones with Wires4pk","Wilko","6 x 5cm","Brown","4","Natural","No",NA,NA,NA,0.65
"XMD","FLO","401772","Wilko Christmas Decoration Cones and Berries Pick","Wilko","4 x 8 x 20cm","Brown","1","Natural","No",NA,NA,NA,0.65
"XMD","FLO","401987","Wilko Christmas Decoration Cinnamon Bundles 6pk","Wilko","10 x 1.3cm","Brown","6","Natural","No",NA,NA,NA,0.65
"XMD","FLO","401988","Wilko Christmas Decoration Holly Pick Small","Wilko","10 x 18cm","Red","1","Plastic","No",NA,NA,NA,0.65
"XMD","FLO","401991","Wilko Christmas Poinsettia Bush","Wilko","18 x 30 x 40cm","Red","1","Plastic","No",NA,NA,NA,0.65
"XMD","FLO","401992","Wilko Christmas Decoration Holly Pick Large","Wilko","8 x 18 x 45cm","Green","1","Plastic","No",NA,NA,NA,0.65
"XMD","FLO","401994","Wilko Christmas Decoration Berry Pick Large","Wilko","3.5 x 10 x 43cm","Red","1","Plastic","No",NA,NA,NA,0.65
"XMD","FLO","419909","Wilko Christmas Garland Ivy 1.8m","Wilko","1.8m",NA,"1","Plastic","No",NA,"3+","N153005",0.65
"XMD","FLO","419949","Wilko Christmas Decoration Glittery Fern PickAssorted","Wilko","17 x 47cm","White","1","Plastic","No",NA,"3+ Years","N150401B",0.65
"XMD","FLO","419954","Wilko Christmas Bauble Decoration Fill Your Own 3pk","Wilko","7cm","Clear","3","Plastic","No",NA,"3+","P154605",0.65
"XMD","FLO","438941","Wilko Christmas Decoration Berries on Wires Gold and Silver 25pk","Wilko","8 x 11cm","Multi","1","Plastic","No",NA,"3+","P153801G",0.65
"XMD","FLO","438942","Wilko Christmas Decoration Mistletoe Bundle with Hanger","Wilko","6X12X29cm","Multi","1","Plastic","No",NA,"3+","N163011B",0.65
"XMD","FLO","438943","Wilko Christmas Eucalyptus with Glitter Spray Effect","Wilko","10X21X45cm","Multi","1","Plastic","No",NA,"3+","N163013A",0.65
"XMD","GEN","335400","Wilko Frosted Acrylic Gem Snowflake Decoration","Wilko","10 x 10cm",NA,"1","Acrylic, Metal","No",NA,NA,NA,0.65
"XMD","GEN","335701","Wilko Frosted Fairy Christmas Tree Topper White","Wilko","12 x 8.5 x 23cm",NA,"1","Fabric","No",NA,"3 Years",NA,0.65
"XMD","GEN","401966","Wilko Frosted Angel Tree Topper","Wilko","20 X 20 X 30",NA,"1","Fabric","No",NA,"3+",NA,0.65
"XMD","GEN","419842","Wilko Kids Knitted Christmas Jumper TreeDecoration","Wilko","15.5 X 8cm",NA,"1","Knitted","No",NA,"3+",NA,0.65
"XMD","GEN","419871","Wilko Frosted Angel Wings Decoration","Wilko","0.8 X 40 X 48",NA,"1","Feather","No",NA,"3+",NA,0.65
"XMD","GEN","419901","Wilko Kids Christmas Tree Decoration CountdownChalkboard","Wilko","17 x 28cm","Multi","1","Wood","No",NA,NA,NA,0.65
"XMD","GEN","438718","Wilko Kids 2017 Collectable Red Bell TreeDecoration","Wilko","65mm","Red","1","Metal","No",NA,"3+ Years","M164078",0.65
"XMD","GEN","438724","Wilko Kids Santas Magic Key Tree Decoration","Wilko","6 x11cm","Multi","1","Metal, Felt","No",NA,"3+ Years","F162043",0.65
"XMD","GEN","438727","Wilko Kids Gingerbread Man Tree Decoration","Wilko","9.5 x 11cm","Multi","1","Dough","No",NA,"3+ Years","R163100",0.65
"XMD","GEN","438944","Wilko Frosted Glitter Stag","Wilko","7 x 13cm","Multi","1","Plastic","No",NA,"3+","P122605 BL-4A",0.65
"XMD","GEN","438945","Wilko Frosted Pearly Star Tree Decoration","Wilko","10 x 10cm","Multi","1","Plastic","No",NA,"3+","ZW168003",0.65
"XMD","GEN","438950","Wilko Starry Night Glitter Star Tree DecorationGold","Wilko","11cm","Multi","1","Plastic","No",NA,"3+","P161812B1",0.65
"XMD","GEN","438951","Wilko Rustic Glow Metal Glitter Leaf TreeDecoration","Wilko","9.5 x 9.5cm","Gold","1","Metal","No",NA,"3+","M160822-14",0.65
"XMD","GEN","438979","Wilko Nordic Country Large Standing Santa","Wilko","30x 50 x 88cm","Multi","1","Plastic","No",NA,"3+","F162201",0.65
