"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Power","DQ Score"
"DIY","BAT","143635","Wilko Extra Life Alkaline Batteries D 1.5V 2pk","Wilko","D","2pk","1.5V",1
"DIY","BAT","143636","Wilko Extra Life Alkaline Batteries C 1.5V 2pk","Wilko","C","2pk","1.5V",1
"DIY","BAT","143639","Wilko Extra Life Alkaline Batteries AA 1.5V 4pk","Wilko","AA","4pk","1.5V Non-rechargeable",1
"DIY","BAT","143641","Wilko Extra Life Alkaline Batteries PP3 9V Single","Wilko","9V",NA,"9V",0.93
"DIY","BAT","178596","Wilko Extra Life Alkaline Batteries AA LR6 1.5V8pk","Wilko","AA","8pk","1.5V",1
"DIY","BAT","188343","Wilko Extra Life Alkaline Batteries AAA 1.5V 8pk","Wilko","AAA","8pk","1.5V",1
"DIY","BAT","143628","Wilko Functional Zinc Chloride Batteries D 1.5V2pk","Wilko Functional","D","2pk","1.5V",1
"DIY","BAT","143629","Wilko Functional Zinc Chloride Batteries C 1.5V2pk","Wilko Functional","C","2pk","1.5V",1
"DIY","BAT","143630","Wilko Functional Zinc Chloride Batteries AA 5V 4pk","Wilko Functional","AA","4pk","1.5V",1
"DIY","BAT","143631","Wilko Functional Zinc Chloride Batteries AAA 1.5V4pk","Wilko Functional","AAA","4pk","1.5V",1
"DIY","BAT","143632","Wilko Functional Zinc Chloride Batteries PP3 9VSingle","Wilko Functional","9V",NA,"9V",0.93
"DIY","BAT","143633","Wilko Functional Zinc  Batteries PJ996 6V Single","Wilko Functional","PJ996",NA,"6V",0.93
"DIY","BAT","143634","Wilko Functional Zinc Chloride Batteries AA 1.5V12pk","Wilko Functional","AA","12pk","1.5V",1
