"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"TOY","PRE","417316","Wilko Safari Pull Along Elephant","Wilko","Multi","1",NA,NA,"12 Months +",0.941666666666667
"TOY","PRE","417317","Wilko Safari Dominos","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","417319","Wilko Play Teatime Playset with Accessories","Wilko","Multi","1",NA,NA,NA,0.93
"TOY","PRE","417360","Wilko Safari Wooden Shape Sorter","Wilko","Multi","1",NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","417366","Wilko Safari Wooden Puzzle Assortment","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","417367","Wilko Safari Maracas Assorted","Wilko","Multi","1",NA,NA,"From Birth",0.941666666666667
"TOY","PRE","417368","Wilko Safari Tambourine Assorted","Wilko","Multi","1",NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","417371","Wilko Safari Recorder Assorted","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","417372","Wilko Safari Xylophone Assorted","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","438477","Wilko Wooden Swiss Roll","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","438480","Wilko Safari Large Beads Coaster","Wilko","Multi","1",NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","438481","Wilko Wooden Grocery Set","Wilko","Multi","1",NA,NA,NA,0.93
"TOY","PRE","456508","Wooden Baking Play Set","Wilko","Multi","1","Wood","No","18 Months +",0.6
"TOY","PRE","456509","Wilko Wooden Cake Stand Play Set","Wilko","Multi","1",NA,NA,NA,0.93
"TOY","PRE","456510","Wilko Wooden Car Transporter","Wilko","Multi","1",NA,NA,"18 Months +",0.941666666666667
