"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","WIL","298736","Wilko Wild Bird Metal Seed Feeder","Supa",NA,"1",0.8625
"PET","WIL","193722","Wilko Wild Bird Cake and Scrap Feeder","Wilko",NA,"1",0.9125
"PET","WIL","193725","Wilko Wild Bird Peanut Feeder Assorted Colours","Wilko",NA,"1",0.9125
"PET","WIL","193736","Wilko Wild Bird Fat Ball Feeder","Wilko",NA,"1",0.9125
"PET","WIL","298739","Wilko Wild Bird Peanut Cage Feeder","Wilko",NA,"1",0.9125
"PET","WIL","298740","Wilko Wild Bird Seed Cage Feeder","Wilko",NA,"1",0.9125
"PET","WIL","442210","Wilko Metal Niger Seed Feeder","Wilko","14cm x 14cm x 30.8cm","1",1
"PET","WIL","450340","Wilko 2in1 Wild Bird Flower Stake Feeder","Wilko","14cm x 14cm x 75cm","1",1
"PET","WIL","450501","Wilko Wild Bird Seed/Niger Easy Feeder","Wilko","30.2cm","1",1
"PET","WIL","450502","Wilko Wild Bird Peanut/Suet Pellet Easy Feeder","Wilko","30.2cm","1",1
"PET","WIL","121998","Wilko Functional Wild Bird Seed Feeder","Wilko Functional",NA,"1",0.9125
