"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"TOY","PRE","336250","Wilko Drop and Spin Slide","Wilko","Multi","1","12 Months +",0.941666666666667
"TOY","PRE","336251","Wilko Stacking Cups 10pcs","Wilko","Multi","1","12 Months +",0.941666666666667
"TOY","PRE","350459","Wilko Teether and Rattle Assorted","Wilko","Multi","1","From Birth",0.941666666666667
"TOY","PRE","350544","Wilko Tumbling Dino","Wilko","Multi","1","6 Years +",0.941666666666667
"TOY","PRE","417987","Wilko Bathtime Benny Shape Sorting Water Toy","Wilko","Multi","1","18 Months +",0.941666666666667
"TOY","PRE","417988","Wilko Charlie The Pull Along Caterpillar","Wilko","Multi","1","12 Months +",0.941666666666667
"TOY","PRE","417989","Wilko Ball Popping Steam Train","Wilko","Multi","1","12 Months +",0.941666666666667
"TOY","PRE","456535","Wilko Jumbo Stacking Cups","Wilko","Multi","1","12 Months +",0.941666666666667
"TOY","PRE","456536","Wilko Pop Up Friends Toy","Wilko","Multi","1","18 Months +",0.941666666666667
"TOY","PRE","456537","Wilko Spinning Popping Pals","Wilko","Multi","1","6 Months +",0.941666666666667
