"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Capacity","Model Number","DQ Score"
"HOM","COO","447210","Wilko Succulent in Ceramic Pot","Wilko","12cm",NA,"1",NA,NA,NA,NA,NA,0.93
"HOM","COO","447215","Wilko Mini Orchid in Cement Pot","Wilko","26cm",NA,"1",NA,NA,NA,NA,NA,0.93
"KIT","BAK","434387","Wilko Cake Carousel","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.8
"KIT","BAP","435790","Wilko Round Tins Set 3pk","Wilko",NA,NA,"3",NA,NA,NA,NA,NA,0.8
"KIT","CHA","435932","Wilko Collapsible Bowl","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","CHA","435934","Wilko Collapsible Bucket","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","CHA","435935","Wilko Collapsible Drainer","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","DIN","427981","Wilko Long Handled Bamboo Serving Board","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"KIT","DIN","427982","Wilko Serving Board Rectangular Bamboo","Wilko","38x26cm",NA,"1",NA,NA,NA,NA,NA,0.93
"KIT","HOL","221116","Wilko Functional Non Stick Frying Pan 24cm Black","Wilko","24cm","Grey","1",NA,NA,"Washable",NA,NA,1
"KIT","HOL","221117","Wilko Frying Pan Aluminium 28cm Black","Wilko","28cm","Grey","1",NA,NA,"Washable",NA,NA,1
"KIT","HOL","221120","Wilko Frying Pan With Lid Aluminium 28cm Black","Wilko","28cm","Grey","1",NA,NA,"Do Not Wash",NA,NA,1
"KIT","HOL","279279","Wilko Griddle Pan Aluminium 28cm","Wilko","28cm","Black","1",NA,NA,"Washable",NA,NA,1
"KIT","HOL","317495","Wilko Saucepan Aluminium 16cm","Wilko","16cm","Black",NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","HOL","317496","Wilko Saucepan Aluminium 18cm","Wilko","18cm","Black",NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","HOL","317497","Wilko Saucepan Aluminium 20cm","Wilko","20cm","Black",NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","MUG","427964","Wilko Non Slip Tray","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"KIT","PLA","451171","Wilko Carrier Bag Holder","Wilko","40cmx16cmx8cm",NA,"1","Polypropylene Stainless Steel","No",NA,NA,"NF501",0.65
"KIT","STO","449057","Wilko Sports Bottle 500ml","Wilko","12cmx4.5cmx22.5cm",NA,"1","Polypropylene",NA,NA,"500ml",NA,0.95
"KIT","STO","449082","Wilko Fridge And Freezer Bin 12in x 6in","Wilko","31.5cmx15cmx8.5cm",NA,"1","Polystyrene","No",NA,NA,"NF525",0.65
"KIT","STO","449083","Wilko Fridge And Freezer Bin 14in x 8in","Wilko","37.5cmx22cmx9.8cm","Clear","1","Polystyrene","No",NA,NA,"NF524",0.65
"KIT","STO","449084","Wilko Fridge And Freezer Bin 12in x 8in","Wilko","31.8cmx21cmx9cm",NA,"1","Polystyrene","No",NA,NA,"NF523",0.65
"KIT","STO","449085","Wilko Fridge And Freezer Bin 14in x 4in","Wilko","37cmx10.8cmx9.8cm",NA,"1","Polystyrene","No",NA,NA,"NF522",0.65
"KIT","STO","449086","Wilko Fridge Can Organiser","Wilko","34.3cmx13.5cmx10cm",NA,"1","Polystyrene","No",NA,NA,"NF602",0.65
"KIT","STO","449087","Wilko Fridge Egg Holder","Wilko","37.5cmx11.5cmx8cm","Clear","1","Polystyrene","No",NA,NA,"NF521",0.65
"KIT","STO","450000","Wilko Kitchen Organiser Round 2 Tier","Wilko","25cmx25cmx4.5cm",NA,"1","Polypropylene","No",NA,NA,"NF603",0.65
"KIT","STO","450001","Wilko Kitchen Organiser Rectangular 3 Tier","Wilko","36cmx24.5cmx9cm",NA,"1","Polypropylene","No",NA,NA,"NF604",0.65
"KIT","STO","450002","Wilko Kitchen Corner Organiser 3 Tier","Wilko","42cmx29cmx9cm",NA,"1","Polypropylene","No",NA,NA,"NF605",0.65
