"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"GAR","CAN","239014","Wilko Garden Extra Strong Tree Ties 2pk","Wilko","44cm",NA,"1",NA,0.883333333333333
"GAR","CAN","248985","Wilko Soft Twist Plant Tie","Wilko","4.8m",NA,"1",NA,0.883333333333333
"GAR","CAN","25348","Wilko Garden Wire and Cutter 30m","Wilko","30m",NA,"1",NA,0.883333333333333
"GAR","ORN","341786","Wilko Mesh Bag Snow White Pebbles 1kg","Wilko","1kg","White",NA,NA,0.93
"GAR","SUN","299033","Wilko Get Gardening Protection Fleece 1.5mx8m","Wilko","1.5x8m",NA,"1",NA,0.883333333333333
"GAR","SUN","310811","Wilko Garden Kneeler Pad Green","Wilko",NA,NA,"1","No",0.65
"GAR","SUN","340471","Wilko Get Gardening Tape All Weather Clear 5cmx15m","Wilko",NA,NA,NA,"No",0.86
"GAR","SUN","99363","Wilko Garden Nuts and Bolts","Wilko",NA,NA,NA,"No",0.86
"GAR","SUN","99364","Wilko Garden W Glazing Clips","Wilko",NA,NA,NA,"No",0.86
"GAR","SUN","99365","Wilko Garden Z Glazing Clips","Wilko",NA,NA,NA,"No",0.86
"GAR","SUN","137399","Wilko Get Gardening Plant Labels 12cm x 50","Wilko Functional","12x1.5cm",NA,"50pk",NA,0.833333333333333
