"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"SBK","COO","427425","Wilko I Like Cats Canvas Pencil Case","Wilko",NA,NA,"1",NA,NA,NA,0.86
"SBK","COO","427428","Wilko I Like Cats Sticky Notes","Wilko",NA,NA,"1",NA,NA,NA,0.86
"SBK","COO","427435","Wilko I Like Cats Attitude Sticker","Wilko",NA,NA,"1",NA,NA,NA,0.86
"SBK","COO","427438","Wilko I Like Cats Photo Rope Kit","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","COO","430714","Wilko I Like Cats Mini Gel Ink Pen 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.86
"SBK","COO","445267","Wilko Enterprising Britain Accessories Set Containing Push Pins, Binder Clips and Paper Clips","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445268","Wilko Enterprising Britain Binder Clip in Glass Jar 20pcs","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445276","Wilko Enterprising Britain Desk Planner Pad60 Sheets 80GSM","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445278","Wilko Enterprising Britain Document Case A4","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445521","Wilko Enterprising Britain Fold Away Shopper Bag","Wilko","13 x 13 x 4cm","Multi","1","Fabric","No","Adult",0.65
"SBK","COO","445527","Wilko Enterprising Britain Paper Clips in Glass Jar 150pcs","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445528","Wilko Enterprising Britain Wooden Pegs in Glass Jar 20pcs","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","450784","Wilko Unearthed Shaped Sticky Notes","Wilko","Assorted","Multi","1","Steel, Glass","No",NA,0.65
"SBK","COO","450796","Wilko Unearthed Mini Erasers in Shaped Container 6pk","Wilko","Assorted","Multi","6","Steel, PS, PVC","No",NA,0.65
"SBK","COO","450799","Wilko Unearthed Phone Case Suitable for iPhone 6","Wilko","13.5 x 6.8cm","Multi","1","PVC, Steel, Glass","No",NA,0.65
"SBK","COO","450800","Wilko Unearthed Phone Case Suitable for Samsung Galaxy S6","Wilko","14.2 x 7.1cm","Multi","1","Wood, Steel, Glass","No",NA,0.65
"SBK","COO","450801","Wilko Unearthed Pencil Case","Wilko","21.0 x 13.5cm","Multi","1","Fabric","No",NA,0.65
"SBK","COO","450803","Wilko Unearthed Photo Rope Kit","Wilko","1.2m","Multi","1","Paper","No",NA,0.65
"SBK","COO","450806","Wilko Unearthed Clutch Document Wallet A4","Wilko","A4","Multi","1","Fabric","No",NA,0.65
"SBK","COO","457003","Wilko Decelerate Pen In Box","Wilko",NA,"Multi","1","bronze","No",NA,0.65
"SBK","COO","457296","Wilko Decelerate Jar of Wooden Pegs 15pk","Wilko",NA,"Multi","15","wood+metal+glass","No",NA,0.65
"SBK","COO","457297","Wilko Decelerate Jar Of Push Pins 30Pk","Wilko",NA,"Multi","30","PS+steel+glass","No",NA,0.65
"SBK","COO","457298","Wilko Decelerate Jar of Paper Clips 150pk","Wilko",NA,"Multi","150","steel+glass","No",NA,0.65
"SBK","COO","457299","Wilko Decelerate Pencil Case","Wilko","21.0 x 9.0cm","Multi","1","PU+fabric","No",NA,0.65
"SBK","COO","457300","Wilko Decelerate Sticky Notes Book","Wilko",NA,"Multi","1","paper","No",NA,0.65
"SBK","COO","457301","Wilko Decelerate Giant Bulldog Clip 2pk","Wilko","Bulldog Clips 5.1cm","Multi","2","steel","No",NA,0.65
"SBK","DES","172255","Wilko Sticky Notes Neon 400 Sheets 50 x 50mm","Wilko","50x50cm","Multi",NA,NA,NA,NA,0.93
"SBK","DES","227365","Wilko Memo Pad Sticky Notes 400 Sheets","Wilko","75x75mm","Multi","400pk",NA,NA,NA,1
"SBK","DES","262738","Wilko Index Stickers","Wilko",NA,"Multi","500",NA,NA,NA,0.93
"SBK","DES","302328","Wilko Sticky Notes 7.5 x 10cm","Wilko","7.5x10cm","Yellow","1",NA,NA,NA,1
"SBK","DES","317092","Wilko Sticky Tabs Multi Coloured","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","349315","Wilko Sticky Label Strips","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","413983","Wilko Paper Clips","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","413984","Wilko Binder Clip","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","413985","Wilko Mini Pegs","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","413986","Wilko Push Pins","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","413987","Wilko Craft Tags","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","413988","Wilko Thumb Tacks","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","413990","Wilko Treasury Tags And Ring Pack","Wilko",NA,NA,NA,NA,NA,NA,0.766666666666667
"SBK","DES","413994","Wilko Paper Clip Pink Blue or Black","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","413995","Wilko Binder Clip Pink Blue or Black","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","414007","Wilko Novelty Paper Clip Set","Wilko",NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","414014","Wilko Pencil Case Slim","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","430054","Wilko Correction Fluid","Wilko",NA,NA,"1",NA,NA,NA,0.825
"SBK","DES","430055","Wilko Correction Pen","Wilko",NA,NA,"1",NA,NA,NA,0.825
"SBK","DES","434022","Wilko Butterfly Sticky Notes 3pk","Wilko",NA,"Multi","3",NA,NA,NA,0.93
"SBK","DES","434045","Wilko Petal Pencil Case","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434046","Wilko Gold Bling Pencil Case","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434047","Wilko Tin Pencil Case","Wilko",NA,"Multi",NA,NA,NA,NA,0.86
"SBK","DES","434048","Wilko Basic Magnets","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434049","Wilko Cube Metal Magnets","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434050","Wilko Metal Noticeboard","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434051","Wilko Large Binder Clips","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434052","Wilko Lanyard 2pk","Wilko",NA,"Multi","2",NA,NA,NA,0.93
"SBK","DES","434053","Wilko Plastic Badges","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434054","Wilko A4 Chalkboard","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434056","Wilko Natural Colour Rubberbands","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","DES","434057","Wilko Transparent Sticky Notes","Wilko",NA,"Multi","3",NA,NA,NA,0.93
"SBK","KFL","333490","Wilko Sticky Notes Heart Shaped Pink","Wilko",NA,NA,"1",NA,NA,NA,0.86
"SBK","KFL","421029","Wilko Ruler Puzzle","Wilko","16.0cm",NA,"1",NA,NA,NA,1
"SBK","KFL","421033","Wilko Animal Pen with Ears","Wilko","diameter 12mm, height 140mm",NA,"1",NA,NA,NA,0.93
"SBK","KFL","421034","Wilko Bendable Animal Pen","Wilko","17 x 2 x 2cm",NA,"1",NA,NA,NA,0.93
"SBK","KFL","439249","Wilko Unicorns Mini Glitter Pens 5pk","Wilko","10.5 x 7 x 1cm","Multi","1",NA,NA,NA,1
"SBK","KFL","439252","Wilko Unicorns Multi Colour Pen with Fob","Wilko","14 x 1.8 x 1.8cm","Multi","1",NA,NA,NA,1
"SBK","KFL","439253","Wilko Unicorns Stationery Set 5pcs","Wilko","2.8 x 11 x 25cm","Multi","5",NA,NA,NA,1
"SBK","KFL","439259","Wilko Space Monster Key Ring","Wilko","14 x 7.5 x 0.3cm","Multi","1",NA,NA,NA,1
"SBK","KFL","439261","Wilko Space Multi Colour Pen with Fob","Wilko","14 x 1.8 x 1.8cm","Multi","1",NA,NA,NA,1
"SBK","OFF","433511","Wilko Rose Golden In-Tray","Wilko",NA,NA,"1","Metal",NA,NA,0.883333333333333
"SBK","OFF","433512","Wilko Rose Golden Desk Tidy","Wilko",NA,NA,"1","Metal",NA,NA,0.883333333333333
"SBK","OFF","433513","Wilko Rose Golden Magazine Tidy","Wilko",NA,NA,"1","Metal",NA,NA,0.883333333333333
"SBK","OFF","433515","Wilko Rose Golden Pen Pot","Wilko",NA,NA,"1",NA,NA,NA,0.86
