"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","DQ Score"
"HOM","LIG","275008","Wilko Ritz Pendant Shade White 35 x 30cm","Wilko","35x30cm","White",NA,NA,NA,0.93
"HOM","LIG","275013","Wilko Simone 3 Tier Pendant Clear 16 x 18.5cm","Wilko","16x18.5cm",NA,"1",NA,NA,0.93
"HOM","LIG","275016","Wilko Tunis Pendant Brass Effect","Wilko","12cm","Metal",NA,NA,NA,0.93
"HOM","LIG","326024","Wilko 3 Tier Shade Black","Wilko","Single","Black",NA,NA,NA,0.93
"HOM","LIG","326025","Wilko 3 Tier Shade Teal","Wilko","Single","Green",NA,NA,NA,0.93
"HOM","LIG","326135","Wilko Retro Swirl Shade Burnt Orange","Wilko","30cm","Orange",NA,NA,NA,0.93
"HOM","LIG","326136","Wilko Retro Swirl Pendant Shade Chocolate","Wilko","30cm","Brown",NA,NA,NA,0.93
"HOM","LIG","326137","Wilko Retro Swirl Shade Olive","Wilko","30cm","Green","1",NA,NA,1
"HOM","LIG","326178","Wilko Tapered Shade Parchment","Wilko","28cm","Cream","1",NA,NA,1
"HOM","LIG","326179","Wilko 3 Tier Shade Parchment","Wilko","Single","Cream",NA,NA,NA,0.93
"HOM","LIG","326199","Wilko Satin Tapered Shade White","Wilko","29cm","White","1",NA,NA,1
"HOM","LIG","326200","Wilko Satin Tapered Shade Teal","Wilko","Height 19.5cm x Width 28cm x depth 28cm","Green",NA,NA,NA,0.93
"HOM","LIG","326205","Wilko Tapered Shade Black","Wilko","28cm","Black",NA,NA,NA,0.93
"HOM","LIG","326376","Wilko 3 Tier Shade Grey","Wilko","Single","Grey",NA,NA,NA,0.93
"HOM","LIG","341342","Wilko Atole Lamp Purple","Wilko",NA,"Purple","1","No",NA,0.9
"HOM","LIG","341402","Wilko Double Layer Shade Black and White","Wilko",NA,"Black","1",NA,NA,0.93
"HOM","LIG","341922","Wilko 6 Sided PIR Wall Lantern 60w","Wilko","Width 23.2cm Depth 17.3cm Height 37.1cm",NA,"1",NA,"60w",1
"HOM","LIG","341923","Wilko Dual Illumination Wall Light","Wilko","Width 11cm, Depth 5.5cm, Height 37cm",NA,"1",NA,"10w",1
"HOM","LIG","341925","Wilko Fishermans Wall Lantern 60w","Wilko","Width: 14cm, Depth: 10.5cm, Height: 19cm",NA,"1",NA,"120w",1
"HOM","LIG","342596","Wilko 3 Tier Shade Plum","Wilko","3 Tier","Purple","1",NA,NA,1
"HOM","LIG","344398","Wilko Tapered Shade Grey","Wilko",NA,"Grey","1",NA,NA,0.93
"HOM","LIG","407003","Wilko Ceramic House Lamp","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","407011","Wilko Birdcage Shade Cream And Blue","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","407014","Wilko Pendant Open Wire Shade Black","Wilko",NA,NA,NA,NA,NA,0.79
"HOM","LIG","407015","Wilko Wire Cage Shade Grey","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","407016","Wilko Wire Cage Shade Hessian","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","407060","Wilko Mosaic Table Lamp Black","Wilko",NA,"Black","1","No",NA,0.9
"HOM","LIG","409231","Wilko Metal Table Lamp Gun Metal","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","413906","Wilko Tunis Pendant Cylinder Chrome Effect","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","413926","Wilko Tapered Shade Taupe 30cm","Wilko","Shade - 19.5 (H) x 23 Dia 28 Dia cm",NA,"1",NA,NA,0.93
"HOM","LIG","413928","Wilko Tapered Shade Plum 30cm","Wilko","Shade - 19.5 (H) x 23 Dia/ 28 Dia cm",NA,"1",NA,NA,0.93
"HOM","LIG","413929","Wilko Tapered Shade White 22cm","Wilko","Shade - 17 (H) x 16 Dia/ 22 Dia cm",NA,"1",NA,NA,0.93
"HOM","LIG","413930","Wilko Tapered Shade Grey 22cm","Wilko","Shade - 17 (H) x 16 Dia 22 Dia cm",NA,"1",NA,NA,0.93
"HOM","LIG","413931","Wilko Tapered Shade Black 22cm","Wilko","Shade - 17 (H) x 16 Dia 22 Dia cm",NA,"1",NA,NA,0.93
"HOM","LIG","413932","Wilko Tapered Shade Parchment 22cm","Wilko","Shade - 17 (H) x 16 Dia/ 22 Dia cm",NA,"1",NA,NA,0.93
"HOM","LIG","413933","Wilko Tapered Shade Taupe 22cm","Wilko","Shade - 17 (H) x 16 Dia 22 Dia cm",NA,"1",NA,NA,0.93
