"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","TRT","162268","Wilko Functional Dog Treats Hide Roll Cigar2pk","Wilko Functional","Large","2",1
"PET","TRT","163471","Wilko Functional Dog Treats Flat Hide 50pk","Wilko Functional","50pk","50",1
"PET","TRT","163473","Wilko Functional Dog Treats Munchy Rolls 100pk","Wilko Functional","100pk","100pk",1
"PET","TRT","163474","Wilko Functional Dog Treat Hide Twist","Wilko Functional","Large","1",1
"PET","TRT","199246","Wilko Functional Dog Treat Golden Hide RollLarge","Wilko Functional","Large","1",1
"PET","TRT","46090","Wilko Functional Dog Treat Knuckle Bone Large","Wilko Functional","Large","1",1
"PET","TRT","7975","Wilko Functional Dog Treat Knotted Bone Medium","Wilko Functional","Medium","1",1
"PET","TRT","8043","Wilko Functional Dog Treat Knuckle Bone Medium","Wilko Functional","Medium",NA,0.9125
"PET","TRT","9522054","Wilko Functional Dog Treat Knuckle Bone Small","Wilko Functional","Small","1",1
"PET","TRT","9522056","Wilko Functional Dog Treat Hide Shoe","Wilko Functional",NA,"1",0.9125
