"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"HOM","CUT","446562","Wilko Oriental Blossom Cushion 43x43cm","Wilko","43 x 43cm",NA,NA,"100% Cotton","No",NA,0.941666666666667
"HOM","CUT","455653","Wilko Penguin Photo Cushion 43x43cm","Wilko","43 X 43cm","Multi","1","Cotton","No",NA,0.65
"HOM","CUT","455654","Wilko Stag Photo Cushion 43x43cm","Wilko","43 X 43cm","Multi","1","Cotton","No",NA,0.65
"HOM","CUT","455655","Wilko Cat Photo Cushion 43x43cm","Wilko","43 X 43cm","Multi","1","Cotton","No",NA,0.65
"HOM","CUT","455656","Wilko Robin Photo Cushion 43x43cm","Wilko","43 X 43cm","Multi","1","Cotton",NA,NA,0.95
"HOM","CUT","455662","Wilko Merry Christmas Mistletoe Cushion 43x43cm","Wilko","43 X 43cm","Multi","1","Cotton","No",NA,0.65
"HOM","CUT","455718","Wilko Robin Wreath Cushion 43x43cm","Wilko","43 X 43cm","Multi","1","Cotton",NA,NA,0.95
"XMD","PAR","440306","Wilko Christmas Fabric Placemat Silver","Wilko","30 x 40cm","Silver","1","Cotton","No","Wash at 40",0.65
"XMD","PAR","440307","Wilko Christmas Fabric Table Runner Silver","Wilko","30 x 180cm","Silver","1","Cotton","No","Wash at 40",0.65
"XMD","PAR","440309","Wilko Christmas Fabric Placemat Gold","Wilko","30 x 40cm","Gold","1","Cotton","No","Wash at 40",0.65
"XMD","PAR","440310","Wilko Christmas Fabric Table Runner Gold","Wilko","30 x 180cm","Gold","1","Cotton","No","Wash at 40",0.65
