"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","Capacity","Model Number","DQ Score"
"KIT","ELE","452989","Wilko Kettle Ribbed Deisgn Silver 1.7L","Wilko","1.7L","Silver",NA,"3000W",NA,"WK8331H-ribbed",1
"KIT","ELE","452990","Wilko 2 Slice Toaster Stainless Steel RibbedDesign","Wilko","2 Slice","Silver",NA,"860/1050W",NA,"T386-RIBBED",1
"KIT","ELE","452991","Wilko Hand Blender Set Stainless SteelRibbed Design","Wilko","600W","Silver",NA,"600W",NA,"HB952SSH-RIBBED",0.95
"KIT","ELE","452992","Wilko Hand Mixer Set Ribbed Silver Design","Wilko","350W","Silver",NA,"350W",NA,"HM733S-1-ribbed",0.95
"KIT","ELE","452993","Wilko Table Blender Set Stainless Steel RibbedDesign","Wilko","500W",NA,NA,"500W","1.5L","UM1036S-RIBBED",0.95
"KIT","ELE","452994","Wilko Kettle Dome Stainless Steel 1.7L","Wilko","1.7L","Silver",NA,"2550-3000W",NA,"WK8213NAH-Stamped",1
"KIT","ELE","452995","Wilko Copper Effect Hand Blender Se","Wilko","600W","Metal","1",NA,NA,NA,1
"KIT","ELE","452996","Wilko Copper Effect Hand Mixer","Wilko","350W","Metal","1",NA,NA,NA,1
"KIT","ELE","452997","Wilko Copper Effect Table Blender","Wilko","500W","Metal","1",NA,NA,NA,1
"KIT","ELE","453821","Wilko Copper Effect Cylinder Kettle 1.7L","Wilko","1.7L","Metal","1",NA,NA,NA,1
"KIT","ELE","453822","Wilko Copper Effect 2 Slice Toaster","Wilko","2 Slice","Metal","1",NA,NA,NA,1
"KIT","HOL","435880","Wilko Kettle Copper Effect 1.7L","Wilko",NA,"Metal","1",NA,NA,NA,0.93
"KIT","HOL","435881","Wilko 4 Slice Toaster Copper Effect","Wilko",NA,"Metal","1",NA,NA,NA,0.93
