"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"SBK","ADH","203741","Wilko Luggage Tags 10pk","Wilko","10 pack","Multi","10",1
"SBK","ADH","262801","Wilko Self Adhesive Address Labels White 30pk55 x110mm","Wilko","55x110mm","Multi","1",1
"SBK","ADH","94596","Wilko Postcards White 12pk","Wilko",NA,NA,"12",0.9125
"SBK","DES","262708","Wilko 560 Sticky Dots Assorted Colours","Wilko",NA,"Multi","560pk",0.93
"SBK","DES","262709","Wilko Foil Sticker Stars","Wilko",NA,"Multi","495pk",0.93
"SBK","DES","262731","Wilko Self Adhesive Labels White 24 x 53mm x 78","Wilko","24x53mm","White","78pk",1
"SBK","DES","262732","Wilko Sticky Labels 39m x 99m","Wilko","38x99mm","White","30pk",1
"SBK","NOT","254903","Wilko Project Book with Dividers A4 80gsm 100 Sheets","Wilko","A4",NA,NA,0.9125
"SBK","NOT","261628","Wilko Reporters Notebook 150 Sheets 80GSM","Wilko","150Sheets",NA,"150s",1
"SBK","NOT","261633","Wilko Squared Paper A4 50 Sheets 80GSM","Wilko","A4",NA,NA,0.9125
"SBK","NOT","262257","Wilko Wiro Notebook A4 lined 100 Sheets 80GSM","Wilko","A4",NA,"1",1
"SBK","NOT","262258","Wilko Wirobound Notebook A4 lined 100 Sheets 80GSM","Wilko","A4",NA,"1",1
"SBK","NOT","262259","Wilko Wiro Notebook Hardback A5 100 Sheets 80GSM","Wilko","A5",NA,NA,0.9125
"SBK","NOT","262260","Wilko Wiro Notebook Hardback A5 100 Sheets 80GSM","Wilko","A5",NA,NA,0.9125
"SBK","NOT","262463","Wilko Things To Do Today Pad 115 Sheets 70GSM","Wilko",NA,NA,"1",0.9125
"SBK","NOT","262803","Wilko Wiro Notebook A4 80 Sheets 80GSM","Wilko","A4",NA,"1",1
"SBK","NOT","262840","Wilko Wiro Notebook A5 Ruled 80 Sheets 80GSM","Wilko","A5",NA,NA,0.9125
"SBK","NOT","262842","Wilko Wiro Notebook A6 Ruled 80 Sheets 80GSM","Wilko","A6",NA,NA,0.9125
"SBK","NOT","317365","Wilko Wiro Notebook A5 Ruled 80 Sheets 80GSM","Wilko","A5",NA,NA,0.9125
"SBK","NOT","317374","Wilko Shopping List Lined 100 Sheets 70GSM","Wilko","70gsm",NA,"1",1
"SBK","NOT","317392","Wilko Wiro Notebook A4 lined 80 Sheets 80GSM","Wilko","A4",NA,NA,0.9125
"SBK","NOT","317393","Wilko Wiro Notebook A5 Ruled 80 Sheets 80GSM","Wilko","A5",NA,"1",1
"SBK","NOT","317395","Wilko Notebook A7 80 Sheets 80GSM","Wilko","A7",NA,"1",1
"SBK","NOT","318092","Wilko Wiro Notebook A4 Ruled 80 Sheets 80GSM","Wilko","A4",NA,NA,0.9125
"SBK","NOT","319417","Wilko Notebook A4 lined 100 Sheets 80GSM","Wilko","A4",NA,NA,0.9125
"SBK","NOT","319418","Wilko Notebook A5 Ruled 100 Sheets 80GSM","Wilko","A5",NA,"1",1
"SBK","NOT","348710","Wilko Refill Pad A4 Narrow Ruled 80 Sheets 70GSM","Wilko","A4",NA,NA,0.9125
"SBK","NOT","348711","Wilko Graph Pad A4 50 Sheets 80GSM","Wilko","A4",NA,NA,0.9125
"SBK","NOT","348725","Wilko Notebook PP Cover Pink A7","Wilko","A7",NA,"1",1
"SBK","NOT","348726","Wilko Notebook PP Cover Pink A6","Wilko","A6",NA,"1",1
"SBK","NOT","348727","Wilko Notebook PP Cover Blue A7","Wilko","A7",NA,"1",1
"SBK","NOT","348728","Wilko Notebook PP Cover Blue A6","Wilko","A6",NA,"1",1
"SBK","NOT","348729","Wilko Project Book Lined A5","Wilko","A5",NA,"1",1
"SBK","NOT","432501","Wilko A5 Metallic Notebook","Wilko","A5",NA,"1",1
"SBK","NOT","432502","Wilko A6 Metallic Notebook","Wilko","A6",NA,"1",1
"SBK","NOT","432503","Wilko A5 Pastel Casebound Notebook","Wilko","A5",NA,"1",1
"SBK","NOT","432504","Wilko A6 Pastel Casebound Notebook","Wilko","A6",NA,"1",1
"SBK","NOT","432505","Wilko A7 Pastel Casebound Notebook","Wilko","A7",NA,"1",1
"SBK","NOT","432507","Wilko Colourful Exercise Books","Wilko",NA,NA,"1",0.9125
"SBK","NOT","432508","Wilko A5 Chunky Map Wiro Notebook","Wilko","A5",NA,"1",1
"SBK","NOT","432509","Wilko Refill Pad A4 80GSM","Wilko","A4",NA,"1",1
"SBK","NOT","432510","Wilko Colour Refill Pad A4","Wilko","A4",NA,"1",1
"SBK","NOT","439920","Wilko Notebook A4 Hard Back Wiro Lime","Wilko","A4",NA,"1",1
"SBK","NOT","439922","Wilko Notebook A5 Hard Back Wiro Lime","Wilko","A5",NA,"1",1
"SBK","NOT","439923","Wilko Notebook A4 Wiro Pp Cover Lime","Wilko","A4",NA,"1",1
"SBK","NOT","439925","Wilko Notebook A5 Wiro Pp Cover Lime","Wilko","A5",NA,"1",1
"SBK","NOT","53227","Wilko Handy Tablet Pad","Wilko","50Sheets",NA,NA,0.9125
"SBK","NOT","94600","Wilko Refill Pad A4 Plain 80 Sheets 70GSM","Wilko","A4",NA,"1",1
"SBK","NOT","240102","Wilko Functional Reporters Notebook 60 Sheets","Wilko Functional","60Sheets",NA,"60s",1
"SBK","NOT","261624","Wilko Functional Spiral Notebook A4 80 Sheets","Wilko Functional","A4",NA,NA,0.9125
"SBK","NOT","261625","Wilko Functional Spiral Notebook A6 50 Sheets","Wilko Functional","A6",NA,NA,0.9125
"SBK","NOT","432511","Wilko Functional Refill Pad 60GSM","Wilko Functional","A4",NA,"1",1
"SBK","NOT","433205","Wilko Functional A5 Notebook","Wilko Functional","A5",NA,"1",1
