"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"TOI","XMS","456765","Botanica Mirror","Wilko",NA,0.716666666666667
"TOI","XMS","456766","Glow Cosmetic Brush Collection","Wilko",NA,0.716666666666667
"TOI","XMS","456767","Kiss Double Mascara","Wilko","9ml",0.775
"TOI","XMS","456768","Kiss Duo Eyebrow Pencil Brown","Wilko",NA,0.716666666666667
"TOI","XMS","456769","Kiss Compact Eye Pallet","Wilko",NA,0.716666666666667
"TOI","XMS","456770","Kiss False Eyelashes","Wilko",NA,0.716666666666667
"TOI","XMS","456771","Kiss Duo Lip Gloss","Wilko","9ml",0.775
"TOI","XMS","456773","Kiss Blush & Glow Cheek Palette","Wilko",NA,0.716666666666667
"TOI","XMS","456775","Kiss Party Eye Palette","Wilko",NA,0.716666666666667
"TOI","XMS","456777","Kiss Cosmetic Brush Set Tin","Wilko",NA,0.716666666666667
"TOI","XMS","456778","Kiss Strobe and Contour Set","Wilko",NA,0.716666666666667
"TOI","XMS","456779","Kiss Eyebrow Set","Wilko",NA,0.716666666666667
"TOI","XMS","456781","Kiss Large Accessories Kit","Wilko",NA,0.716666666666667
"TOI","XMS","456782","Kiss Cosmetic Kit","Wilko",NA,0.716666666666667
"TOI","XMS","456783","Kiss Foundation Blotter","Wilko",NA,0.716666666666667
"TOI","XMS","457484","Botanica Bath Confetti","Wilko",NA,0.716666666666667
