"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"DEC","ADH","437143","Wilko DIY Tape 50mm x 10m Silver","Wilko","Wilko DIY Tape Silver 50mmx10m","Silver","1",NA,NA,1
"DEC","ADH","437144","Wilko DIY Tape 50mm x 10m White","Wilko","Wilko DIY Tape White 50mmx10m","White","1",NA,NA,1
"DEC","ADH","437145","Wilko DIY Tape 50mm x 10m Black","Wilko","Wilko DIY Tape Black 50mmx10m","Black","1",NA,NA,1
"DEC","ADH","437146","Wilko DIY Tape 50mm x 10m Beige","Wilko","Wilko DIY Tape Beige 50mmx10m","Brown","1",NA,NA,1
"DEC","ADH","437147","Wilko DIY Tape 50mm x 10m Red","Wilko","Wilko DIY Tape Red 50mmx10m","Red","1",NA,NA,1
"DEC","ADH","437148","Wilko Rug Tape 50mm x 5m","Wilko","Rug tape 50mmx5m","Brown","1",NA,NA,1
"DEC","ADH","437149","Wilko Double Sided Tape 50mm x 10m","Wilko","Wilko Double Sided Tape 50mmx10m","White","1","Plastic",NA,1
"DEC","ADH","437151","Wilko All Weather Tape 50mm x 10m","Wilko","Wilko All Weather Tape 50mmx10m","Clear","1",NA,NA,1
"DEC","ADH","437153","Wilko DIY Tape 50mm x 50m Black","Wilko","Wilko DIY Tape Black 50mmx50m","Black","1",NA,NA,1
"DEC","PRP","454513","Wilko Outdoor Masking Tape 48mm x 50m","Wilko","48mm x 50m","Blue","1pk","Paper, Adhesive","No",0.65
"DEC","PRP","454514","Wilko Masking Film 50cm x 20m","Wilko","50cm x 20m","Clear","1pk","Paper, Adhesive, PE","No",0.65
"SBK","ADH","18855","Wilko Parcel Tape Brown","Wilko","50mmx60m","Brown","1",NA,NA,0.941666666666667
"SBK","ADH","261548","Wilko Clear Adhesive Tape 50mm x 60m","Wilko","50mmx60m",NA,NA,NA,NA,0.825
"SBK","ADH","261549","Wilko Warning Tape Fragile 50mm x 30m","Wilko","50mmx33m",NA,NA,NA,NA,0.825
"SBK","DES","109081","Wilko Adhesive Tape Clear 19mmx33m x 4","Wilko","19x33m",NA,"4pk",NA,NA,0.883333333333333
"SBK","DES","1794044","Wilko Adhesive Tape Clear 25mm x 60m","Wilko","25mmx60m",NA,"1",NA,NA,0.833333333333333
"SBK","DES","247078","Wilko RightPrice Tape with Dispenser Clear 19mm x20m x 8","Wilko","19x20m",NA,"9pk",NA,NA,0.883333333333333
"SBK","DES","261551","Wilko Invisible Tape 19mm x 20m","Wilko","19mmx20m",NA,NA,NA,NA,0.86
