"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","Model Number","DQ Score"
"DIY","MOT","250575","Wilko Car Sun Shades 45 x 40cm","Wilko","45x40cm per pc, one set with 2pcs","Black","2pk",NA,NA,NA,NA,NA,0.941666666666667
"DIY","MOT","257947","Wilko Rear Car Seat Protector","Wilko","125x150cm","Black","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","MOT","322764","Auto Care Pop-up Frost Protector and Sun Shade200cm x 70cm","Wilko","70 x 200cm","Silver","1","Polyester","No",NA,NA,NA,0.6
"HOM","BAT","273186","Wilko Natural Woven Rectangular Laundry BasketLarge","Wilko","Single","Cream","1",NA,NA,NA,NA,NA,1
"HOM","BAT","310527","Wilko Rush 4 Drawer Unit Natural","Wilko","Single","Brown","1",NA,NA,NA,NA,NA,0.9
"HOM","BAT","310528","Wilko Rush 2 Drawer Unit Natural","Wilko","Single","Brown","1",NA,NA,NA,NA,NA,0.9
"HOM","BAT","310697","Wilko Split Wood Laundry Hamper White","Wilko","36.5 x 47 x 56.7cm","White","1",NA,NA,NA,NA,NA,1
"HOM","BAT","310698","Wilko Set of 3 Baskets White","Wilko",NA,"White","3",NA,NA,NA,NA,NA,0.85
"HOM","BAT","310707","Wilko Split Wood Storage Unit 2 Drawer White","Wilko","Single","White","1",NA,NA,NA,NA,NA,0.9
"HOM","BAT","310708","Wilko 4 Tier Storage Unit White","Wilko","Single","White","1",NA,NA,NA,NA,NA,0.9
"HOM","BAT","327652","Wilko Pop Up Laundry Bin Striped","Wilko","Single","Blue","1",NA,NA,NA,NA,NA,1
"HOM","BAT","327701","Wilko Small Caddy Black","Wilko","Small","Black","1",NA,NA,NA,NA,NA,0.9
"HOM","BAT","327702","Wilko Large Caddy Black","Wilko","Large","Black","1",NA,NA,NA,NA,NA,0.9
"HOM","BAT","327710","Wilko Rush Laundry Hamper Rectangular","Wilko","Single","Cream","1",NA,NA,NA,NA,NA,1
"HOM","BAT","341702","Wilko Woven Design Caddy Aqua Small","Wilko","Small","Green",NA,NA,NA,NA,NA,NA,0.85
"HOM","BAT","342246","Wilko Stripe Laundry Bag Beige","Wilko",NA,"Brown",NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","342263","Wilko 4 Drawer Unit Beige Stripe","Wilko","4 Drawer","Brown","1",NA,NA,NA,NA,NA,0.9
"HOM","BAT","342264","Wilko 4 Drawer Unit Blue Stripe","Wilko","4 Drawer","Blue","1",NA,NA,NA,NA,NA,0.9
"HOM","BAT","342322","Wilko Laundry Bin Beige Stripe","Wilko",NA,"Brown",NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","407423","Wilko Lights and Darks Laundry Bin","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","BAT","426640","Wilko Nautical Stripe Laundry Bin","Wilko","33cm x4 3cm x 60cm",NA,"1","Polyester Cotton",NA,NA,NA,NA,0.9
"HOM","BAT","426641","Wilko Nautical Stripe 4 Drawer Unit","Wilko","27.5cm x 26cm x 90cm",NA,"1","Polyester Cotton",NA,NA,NA,NA,0.9
"HOM","BAT","426642","Wilko Come Out In the Wash Laundry Bag","Wilko","34cm x 36cm x 48cm",NA,"1","Polyester Cotton",NA,NA,NA,NA,0.9
"HOM","BAT","427760","Wilko Blue And White Striped Laundry Bag","Wilko","34cmx36cmx48cm",NA,"1","Polyester Cotton",NA,NA,NA,NA,0.9
"HOM","BAT","451427","Wilko Coastal Plaque","Wilko","1 x 23 x 30.5cm",NA,"1",NA,NA,NA,NA,NA,0.93
"HOM","BAT","451430","Wilko Coastal Beach Hut Storage","Wilko","12 x 10 x 12cm",NA,"1",NA,NA,NA,NA,NA,0.93
"HOM","BAT","451439","Wilko Laundry Bag Light Blue Stripes","Wilko","1.0 x 41 x 65cm",NA,NA,"Paperloom 60% Polyester 40%",NA,NA,NA,NA,0.883333333333333
"HOM","BAT","451442","Wilko Love Your Bath Plaque Aqua","Wilko","0.8 x 11 x 25.5cm",NA,"1",NA,NA,NA,NA,NA,0.93
"HOM","BAT","451449","Wilko Love Your Bath Plaque Grey","Wilko","0.8 x 11 x 25.5cm",NA,"1",NA,NA,NA,NA,NA,0.93
"HOM","BAT","451461","Wilko Baskets Set of 2","Wilko","17.5 x 30 x cm",NA,"2","Water Hyacinth 100%",NA,NA,NA,NA,0.9
"HOM","PHO","186289","Wilko Rustic  Effect Photo Frame 7 x 5in","Wilko","7x5in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","186290","Wilko Rustic Effect Photo Frame 8 x 6in","Wilko","8x6in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","186292","Wilko Rustic Effect Photo Frame 10 x 8in","Wilko","10x8in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","186293","Wilko Rustic Effect Photo Frame 12 x 10in","Wilko","12x10in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","186294","Wilko Rustic Effect Photo Frame 14 x 11in","Wilko","14x11in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","187652","Wilko Rustic Effect Photo Frame 20 x 16in","Wilko","20x16in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","213564","Wilko Dorchester Gold Photo Frame 7 x 5in","Wilko","7x5in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","213565","Wilko Dorchester Gold Photo Frame 8 x 6in","Wilko","8x6in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","213566","Wilko Dorchester Gold Photo Frame 10 x 8in","Wilko","10x8in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","213567","Wilko Dorchester Gold Photo Frame 12 x 10in","Wilko","12x10in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","213568","Wilko Dorchester Gold Photo Frame 14 x 11in","Wilko","14x11in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242196","Wilko Dorchester Gold Photo Frame 20 x 16in","Wilko","20x16in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242202","Wilko Pewter Effect Photo Frame 6 x 4in","Wilko","6x4in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242203","Wilko Pewter Effect Photo Frame 7 x 5in","Wilko","7x5in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242204","Wilko Pewter Effect Photo Frame 8 x 6in","Wilko","8x6in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242205","Wilko Pewter Effect Photo Frame 10 x 8in","Wilko","10x8in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242322","Wilko Rustic Effect Photo Frame A4","Wilko","A4","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","250486","Wilko Pewter Effect Photo Frame A4","Wilko","A4","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","250487","Wilko Pewter Effect Photo Frame 12 x 10in","Wilko","12x10in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","250488","Wilko Pewter Effect Photo Frame 20 x 16in","Wilko","20x16in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277030","Wilko Dorchester Silver Photo Frame 7 x 5in","Wilko","7x5in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277031","Wilko Dorchester Silver Photo Frame 8 x 6in","Wilko","8x6in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277033","Wilko Dorchester Silver Photo Frame 10 x 8in","Wilko","10x8in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277034","Wilko Dorchester Silver Photo Frame 12 x 10in","Wilko","12x10in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277035","Wilko Dorchester Silver Photo Frame 14 x 11in","Wilko","11x14in","Silver","1",NA,NA,NA,NA,NA,1
