"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Assembly","DQ Score"
"TOI","DEN","445282","Wilko Toothbrushes Family Medium 4pk","Wilko","4","No",0.65
"TOI","DEN","445284","Wilko Toothbrushes  Flexi Medium 2pk","Wilko","2","No",0.65
"TOI","DEN","445285","Wilko Toothbrush Sensitive 1pk","Wilko",NA,"No",0.65
"TOI","DEN","445286","Wilko  Kids Toothbrush Soft Bristles 0-2 Years 1pk","Wilko",NA,"No",0.65
"TOI","DEN","445287","Wilko Kids Toothbrush Soft Bristles 3 to 6 Years1pk","Wilko",NA,"No",0.65
"TOI","DEN","445288","Wilko Kids Toothbrush Soft Bristles 6 Plus Years1pk","Wilko",NA,"No",0.65
"TOI","DEN","445290","Wilko Dental Flossers 32pieces","Wilko",NA,"No",0.65
"TOI","DEN","445291","Wilko Dental Flossers Mint Flavour 32pieces","Wilko",NA,"No",0.65
"TOI","DEN","445292","Wilko Dental Floss Mint Flavour 50m","Wilko",NA,"No",0.65
"TOI","DEN","445293","Wilko Interdental Brush 0.6mm 6pk","Wilko",NA,"No",0.65
"TOI","DEN","445294","Wilko Interdental Brush 0.7mm 6pk","Wilko",NA,"No",0.65
"TOI","DEN","445295","Wilko Interdental Brush 0.8mm 6pk","Wilko",NA,"No",0.65
"TOI","DEN","445296","Wilko Interdental Brush 0.45mm","Wilko",NA,"No",0.65
