"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","FAA","348159","Wilko Brown Hair Net","Wilko",NA,NA,"1",0.86
"TOI","FAA","349110","Wilko Thin Ponytailers Black 24pk","Wilko",NA,NA,"24",0.86
"TOI","FAA","349111","Wilko Hair Bobbles Thin Blonde Mix 24pk","Wilko",NA,NA,"24",0.86
"TOI","FAA","349112","Wilko Hair Bobbles Thick Black 12pk","Wilko","12 Pack","Black","1",1
"TOI","FAA","349113","Wilko Hair Bobbles Thick Blonde Mix 12pk","Wilko",NA,NA,"12",0.86
"TOI","FAA","349114","Wilko Scrunchie 2pk","Wilko",NA,NA,"2",0.86
"TOI","FAA","349117","Wilko Hair Donut  Brunette Med","Wilko","Medium","Brown","1",1
"TOI","FAA","349119","Wilko Hair Donut  Brunette Small","Wilko","Small","Brown","1",1
"TOI","FAA","349120","Wilko Hair Donut  Brunette Large","Wilko","Large","Brown","1",1
"TOI","FAA","349124","Wilko Claw Clamps Mini 4pk","Wilko",NA,NA,"1",0.86
"TOI","FAA","349125","Wilko Claw Clamps Medium 2pk","Wilko",NA,NA,"2",0.86
"TOI","FAA","349140","Wilko Fashion Hair Slides Large 6pk","Wilko","Large","Gold","1",1
"TOI","FAA","349144","Wilko Mini Hair Grips 30pk","Wilko",NA,NA,"1",0.86
"TOI","FAA","349147","Wilko Donut Hair Pins 30pk","Wilko","30 Pack","Multi","1",1
"TOI","FAA","349148","Wilko Hair Grips Long 50pk","Wilko","50 Pack","Black","1",1
"TOI","FAA","349149","Wilko Hair Grips Medium Black 50pk","Wilko",NA,"Black","1",0.93
"TOI","FAA","349150","Wilko Hair Grips Blonde Long 50pk","Wilko",NA,NA,"50",0.86
"TOI","FAA","349151","Wilko Hair Grips Blonde Medium 50pk","Wilko","50 Pack","Gold","1",1
"TOI","FAA","349152","Wilko Hair Grips Brown Long 50pk","Wilko","50 Pack","Brown","1",1
"TOI","FAA","349153","Wilko Hair Grips Brown Medium 50pk","Wilko","50 Pack","Brown","1",1
"TOI","FAA","349156","Wilko Alice Band Thin","Wilko",NA,NA,"1",0.86
"TOI","FAA","349159","Wilko Hair Band Elastic 5pk","Wilko",NA,NA,"5",0.86
"TOI","FAA","349161","Wilko Sleepies Black 6pk","Wilko",NA,NA,"6",0.86
"TOI","FAA","349162","Wilko Hair Clamp Large","Wilko","Large","Brown","1",1
"TOI","FAA","349163","Wilko Decorated Hair Slide 2pk","Wilko",NA,"Multi","1",0.93
"TOI","FAA","349164","Wilko Section Clips Black 4pk","Wilko",NA,NA,"4",0.86
"TOI","FAA","349165","Wilko Side Combs 2pk","Wilko",NA,NA,NA,0.79
"TOI","FAA","349166","Wilko Sleepies Silver 6pk","Wilko",NA,NA,"6",0.86
"TOI","FAA","350159","Wilko Hair Grips Bulk Pack","Wilko",NA,NA,"1",0.86
"TOI","FAA","418180","Wilko Braided Hair Bobbles 8pk","Wilko",NA,NA,NA,0.79
"TOI","FAA","418182","Wilko Hair Band Braid Black and White 2pk","Wilko",NA,NA,NA,0.79
"TOI","FAA","437394","Wilko Traceless Hair Bobble 4pk","Wilko","3.5cm x 3.5cm",NA,"4",0.93
"TOI","FAA","437395","Wilko Super Soft Hair Bobble 6pk","Wilko","1 x 4 x 47cm",NA,"6",0.93
"TOI","FAA","437396","Wilko Hair Trend Mini Scrunchie 4pk","Wilko","1 x 6 x 6 cm",NA,"4",0.93
"TOI","FAA","437397","Wilko Trend Scrunchie 2pk","Wilko","3 x 8 x 15cm",NA,"2",0.93
"TOI","FAA","437399","Wilko Kids Hair Bobbles Thick 10pk","Wilko","0.4 x 5 x 5cm",NA,"10",0.93
"TOI","FAA","437400","Wilko Kids Hair Bobbles Thin 15pk","Wilko","0.2 x 5 x 5cm",NA,"15",0.93
"TOI","FAA","437401","Wilko Kids Hair Sleepies Mixed 6pk","Wilko","0.3 x 5 x 1.5cm",NA,"6",0.93
"TOI","FAA","437402","Wilko Kids Alice Band Plain 5pk","Wilko","1 x 11 x 13cm",NA,"5",0.93
"TOI","FAA","437403","Wilko Kids Hair Soft Bobbles 10pk","Wilko","0.8 x 3.5 x 3.5cm",NA,"10",0.93
"TOI","FAA","437404","Wilko Detangle Hair Brush","Wilko","4 x 6 x 24cm",NA,"1",0.93
"TOI","FAA","437405","Wilko Sleepies Navy Grey Black 6pk","Wilko","0.3 x 6 x 1.5cm",NA,"6",0.93
"TOI","HAI","347747","Wilko Hair Colour Mixing Bowl","Wilko",NA,NA,"1",0.86
"TOI","HAI","347748","Wilko Hair Foils","Wilko",NA,NA,"1",0.86
"TOI","HAI","347754","Wilko Tinting Brush","Wilko",NA,NA,"1",0.86
