"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Age","Model Number","DQ Score"
"PET","GEN","185962","Wilko Train Tennis Balls 6pk","Wilko",NA,NA,"6","Rubber","No",NA,NA,NA,0.65
"PET","GEN","454807","Wilko Plush Snake Dog Toy","Wilko","92 x 12 x 10cm",NA,"1",NA,NA,NA,NA,NA,0.93
"TOY","FAN","417379","Wilko Story Tales The Gingerbread Man Plush Toys","Wilko",NA,"Multi","1","Cardboard","No",NA,"18 Months +",NA,0.65
"TOY","FAN","417380","Wilko Story Tales Goldilocks and the 3 BearsPlush Toys","Wilko",NA,"Multi","1","Cardboard","No",NA,"18 Months +",NA,0.65
"TOY","FAN","417381","Wilko Story Tales Little Red Riding Hood Plush Toys","Wilko",NA,"Multi","1","Cardboard","No",NA,"18 Months +",NA,0.65
"XMD","CRA","438997","Wilko Christmas Hamper Basket Red Felt","Wilko","22 x 10 x 8cm","Red","1","Felt","No","Wipe Clean Only",NA,"PT69277",0.65
"XMD","GEN","335365","Wilko Rustic Glow Printed Hessian Stocking","Wilko","22 x 46cm",NA,"1","Hessian","No",NA,NA,NA,0.65
"XMD","GEN","335804","Wilko Christmas Plush Santa Hat Kids Collection","Wilko","42 x 34cm",NA,"1","Polyester","No",NA,NA,NA,0.65
"XMD","GEN","419825","Wilko Christmas Felt Santa Sack Jumbo","Wilko","63 x 89cm",NA,"1","Polyester","No","Wipe Clean Only",NA,"JK100296",0.65
"XMD","GEN","438716","Wilko Kids Christmas Tree Decoration Soldier","Wilko","2.2 x 6 x 18cm","Multi","1","Fabric","No",NA,"3+","F162404",0.65
"XMD","GEN","439002","Wilko Red Fabric Christmas Stocking","Wilko","19 x 46cm","Red","1","Cotton Polyester","No","Wipe Clean Only",NA,"JK4716E",0.65
"XMD","PAR","439593","Wilko Christmas Felt Placemat Asst","Wilko","40 x 30cm","Multi","1","Acrylic Polyester","No",NA,NA,"PT69159",0.65
"XMD","PAR","439594","Wilko Christmas Felt Table Runner Asst","Wilko","33 x 150cm","Multi","1","Acrylic Polyester","No",NA,NA,"PT69280",0.65
