"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"DEC","PRP","10056","Wilko Sand Block Fine / Medium","Wilko","Medium","Black",NA,"Aluminium Oxide, Glue, Foam",0.9
"DEC","PRP","10057","Wilko Sand Block Medium / Coarse","Wilko","Medium",NA,NA,"Aluminium Oxide, Glue, Foam",0.85
"DEC","PRP","287562","Wilko Wet and Dry Paper Fine 140mm x 230mm 10pk","Wilko","23x14cm",NA,"10 Pack","Silicon Carbide, Glue, Paper",0.9
"DEC","PRP","287563","Wilko Wet and Dry Paper Assorted 140mmx230mm x 10","Wilko","23 x 14cm",NA,"10pk","Silicon Carbide, Glue, Paper",0.9
"DEC","PRP","287564","Wilko Emery Cloth Assorted 140mm x 230mm 10pk","Wilko","23 x 14cm",NA,"10pk","Aluminium Oxide, Glue, Emery Cloth",0.9
"DEC","PRP","342405","Wilko Aluminium Oxide Fine 10pk","Wilko","10 Pack",NA,"1","Aluminium Oxide, Glue, Foam",0.9
"DEC","PRP","342406","Wilko Aluminium Oxide Medium 10pk","Wilko","23 x 14cm",NA,"10 Pack","Aluminium Oxide, Glue, Foam",0.9
"DEC","PRP","342408","Wilko Aluminium Oxide Assorted 10pk","Wilko","23 x 14cm",NA,"10pk","Aluminium Oxide, Glue, Paper",0.9
"DEC","PRP","287561","Wilko Sandpaper Assorted Grades Pack x 10 sheets","Wilko Functional","23 x 14cm",NA,"10pk","Quartz Sand, Glue, Paper",0.85
"DIY","TOO","208917","Wilko Sanding Discs 125mm","Wilko","5in, 125mm",NA,NA,NA,0.86
"DIY","TOO","208933","Wilko Sanding Discs Assorted  125mm 5pk","Wilko","125mm, 5in",NA,"5pk",NA,0.93
"DIY","TOO","208935","Wilko Sanding Discs Coarse 125mm 5pk","Wilko","125mm, 5in",NA,"5pk",NA,0.93
"DIY","TOO","208940","Wilko Sand Sheets Assorted","Wilko","280mmx115mm, 11inx4.5in",NA,"5pk",NA,0.93
"DIY","TOO","208942","Wilko Sand Sheets Coarse Grade 60","Wilko","280mmx115mm, 11inx4.5in",NA,"5pk",NA,0.93
"DIY","TOO","208943","Wilko Sand Sheets Medium Grade 100","Wilko","280mmx115mm, 11inx4.5in",NA,"5pk",NA,0.93
"DIY","TOO","343702","Wilko Sanding Sheets Medium 5pk","Wilko","5pk",NA,NA,NA,0.86
"DIY","TOO","343703","Wilko Sanding Sheets Coarse 5pk","Wilko","5pk",NA,NA,NA,0.86
"DIY","TOO","343704","Wilko Sanding Sheets X Coarse 5pk","Wilko","5pk",NA,NA,NA,0.86
"DIY","TOO","343705","Wilko Sanding Sheets Assorted 5pk","Wilko","5pk",NA,NA,NA,0.86
"DIY","TOO","343706","Wilko Sanding Pad Fine Palm 5pk","Wilko","5pk",NA,NA,NA,0.86
"DIY","TOO","343707","Wilko Sanding Pad Medium Palm 5pk","Wilko","5pk",NA,NA,NA,0.86
"DIY","TOO","343708","Wilko Palm Coarse Sanding Pads 5pk","Wilko","5pk",NA,"5",NA,0.93
"DIY","TOO","343709","Wilko Sanding Pad Extra Coarse 5pk","Wilko","5pk",NA,NA,NA,0.86
"DIY","TOO","343710","Wilko Sanding Pad Assorted 5pk","Wilko","5pk",NA,"5",NA,0.93
"DIY","TOO","343711","Wilko Sanding Pad Fine 5pk","Wilko","5pk",NA,NA,NA,0.86
"DIY","TOO","343712","Wilko Sanding Pad Medium 5pk","Wilko","5pk",NA,NA,NA,0.86
