"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"HOM","COO","168978","Wilko Flower Single Posy Yellow","Wilko","Single",NA,NA,NA,NA,0.86
"HOM","COO","169019","Wilko Flower Posy Multi","Wilko","Single",NA,"1",NA,NA,0.93
"HOM","COO","181735","Wilko Chrysanthemum Flower Bunch Orange","Wilko","Single","Orange","1",NA,NA,1
"HOM","COO","247007","Wilko Flower Bunch Cream and Yellow","Wilko","Single","Cream",NA,NA,NA,0.93
"HOM","COO","247143","Wilko Flower Bunch Lilac and Cream","Wilko","Single","Purple","1",NA,NA,1
"HOM","COO","258504","Wilko Pom Pom Flower Teal Single Stem","Wilko","Single","Green","1",NA,NA,1
"HOM","COO","258505","Wilko Pom Pom Single Stem Flower Green","Wilko","Single","Green","1",NA,NA,1
"HOM","COO","258507","Wilko Pom Pom Cream Single Stem","Wilko","Single","Cream","1",NA,NA,1
"HOM","COO","258510","Wilko Gerbera Single Stem Flower Red","Wilko","Single","Red",NA,NA,NA,0.93
"HOM","COO","258532","Wilko Flower Bunch Cream","Wilko","Single","Cream",NA,NA,NA,0.93
"HOM","COO","258533","Wilko Flower Bunch Red","Wilko","Single","Red","1",NA,NA,1
"HOM","COO","258535","Wilko Flower Bunch Cream","Wilko","Single","Cream",NA,NA,NA,0.93
"HOM","COO","258541","Wilko Floral Pick Bunch Cream","Wilko","Single","Cream","1",NA,NA,1
"HOM","COO","258582","Wilko Mixed Flower Bunch Orange","Wilko","Single","Multi","1",NA,NA,1
"HOM","COO","258585","Wilko Flower Bush Gyposilia Blossom","Wilko","Single","Multi","1",NA,NA,1
"HOM","COO","258618","Wilko Flower Bunch Pink and Yellow","Wilko","Single","Pink","1",NA,NA,1
"HOM","COO","267768","Wilko Pom Pom Black Single Stem","Wilko","Single","Black","1",NA,NA,1
"HOM","COO","267769","Wilko Pom Pom White Single Stem","Wilko","Single","White","1",NA,NA,1
"HOM","COO","274701","Wilko Gebera Single Stem Flower Cream","Wilko","Single","Cream","1",NA,NA,1
"HOM","COO","274703","Wilko Peony Single Stem Flower Cream","Wilko","Single","Cream","1",NA,NA,1
"HOM","COO","274735","Wilko Pom Pom Magenta Single Stem","Wilko","Single","Purple",NA,NA,NA,0.93
"HOM","COO","284919","Wilko Pom Pom Single Stem Flower Red","Wilko","Single","Red",NA,NA,NA,0.93
"HOM","COO","327585","Wilko Feather Dried Grass Grey Multi-Stem","Wilko","3 Pack","Grey","3pk",NA,NA,1
"HOM","COO","327586","Wilko Feather Dried Grass Orange Multi-Stem","Wilko","3 Pack","Orange","3pk",NA,NA,1
"HOM","COO","327587","Wilko Feather Dried Grass Green Multi-Stem","Wilko","3 Pack","Green","3pk",NA,NA,1
"HOM","COO","327588","Wilko Feather Dried Grass Natural Multi-Stem","Wilko",NA,"Cream","1",NA,NA,0.93
"HOM","COO","327592","Wilko Feather Dried Grass Black Multi-Stem","Wilko","1 Stem","Black","1",NA,NA,1
"HOM","COO","327596","Wilko Orchid White Single Stem","Wilko","Single","White","1",NA,NA,1
"HOM","COO","327602","Wilko Single Stem Gerbera Orange","Wilko","Single","Orange","1",NA,NA,1
"HOM","COO","327612","Wilko Single Stem Dahlia Cream","Wilko","Single","Cream",NA,NA,NA,0.93
"HOM","COO","327723","Wilko Gypsophilia and Pink Bunch","Wilko","Single","Pink",NA,NA,NA,0.93
"HOM","COO","327726","Wilko Mixed Flower Bunch","Wilko","Single","White",NA,NA,NA,0.93
"HOM","COO","327728","Wilko Dahlia Bunch Yellow","Wilko","Single","Yellow","1",NA,NA,1
"HOM","COO","327732","Wilko Tulip Bunch Cream","Wilko","Single","Cream","1",NA,NA,1
"HOM","COO","327794","Wilko Single Stem Pom Pom Flower Yellow","Wilko","Single","Yellow","1",NA,NA,1
"HOM","COO","327795","Wilko Pom Pom Flower Orange Single Stem","Wilko","Single","Orange",NA,NA,NA,0.93
"HOM","COO","341113","Wilko Flower Sunflower Yellow Single Stem","Wilko","Single","Yellow",NA,NA,NA,0.93
"HOM","COO","438500","Wilko Poinsettia Cream","Wilko","22 X 22 X 66CM",NA,"1",NA,NA,0.93
"HOM","COO","455468","Wilko Peony Mix Bush","Wilko","24 x 24 x 29cm","Multi","1",NA,NA,1
"HOM","COO","455469","Wilko Pom Pom Single Stem Grey","Wilko","15 x 68 x 15.3cm","Grey","1",NA,NA,1
"HOM","COO","455470","Wilko Gypsophila Bush Dark Pink","Wilko","11 x 11 x 38cm","Pink","1",NA,NA,1
"HOM","COO","455471","Wilko Japonica Flower Bunch Red","Wilko","20 x 20 x 40cm","Red","1",NA,NA,1
"HOM","COO","455472","Wilko Gerbera Mix Cream","Wilko","19 x 19 x 25cm","Cream","1",NA,NA,1
"HOM","COO","455473","Wilko White Rose Bush","Wilko","14 x 14 x 42cm","White","1","Wire, Plastic, Pongee Fabric","No",0.65
"HOM","COO","455474","Wilko Orchid and Lily Bright Mix","Wilko","22 x 22 x 45cm","Multi","1",NA,NA,1
"HOM","COO","455475","Wilko Carnation and Freesia Bright Mix","Wilko","20 x 20 x 47cm","Multi","1",NA,NA,1
"HOM","COO","455476","Wilko Carnation and Rose Mix Light Pink","Wilko","15 x 15 x 38cm","Pink","1",NA,NA,1
"HOM","COO","455477","Wilko Red Gerbera Bunch","Wilko","19 x 19 x 25cm","Red","1",NA,NA,1
"HOM","COO","455478","Wilko Dahlia Bush Red","Wilko","20 x 20 x 40cm","Red","1",NA,NA,1
"HOM","COO","455479","Wilko Rose Single Stem Cream","Wilko","12 x 12 x 59cm","Cream","1",NA,NA,1
"HOM","COO","455480","Wilko Dahlia Bush Cream","Wilko","20 x 20 x 40cm","Cream","1",NA,NA,1
"HOM","COO","455481","Wilko Gerbera Single Stem Grey","Wilko","18 x 18 x 64cm","Grey","1",NA,NA,1
"HOM","COO","455482","Wilko Sunflower Mix Bush","Wilko","23 x 23 x 35cm","Multi","1",NA,NA,1
"HOM","COO","455483","Wilko Gerbera Single Stem Taupe","Wilko","18 x 18 x 64cm","Brown","1",NA,NA,1
"HOM","COO","455484","Wilko Hydrangea Single Stem Cream","Wilko","15 x 15 x 70cm","Cream","1",NA,NA,1
"HOM","COO","455485","Wilko Gerbera Single Stem Magenta","Wilko","18 x 18 x 64cm","Pink","1",NA,NA,1
"HOM","COO","455486","Wilko Blossom Single Stem Cream","Wilko","18 x 18 x 86cm","Cream","1",NA,NA,1
"HOM","COO","455487","Wilko Blossom Single Stem Red","Wilko","18 x 18 x 86cm","Red","1",NA,NA,1
"HOM","COO","455488","Wilko Pom Pom Single Stem Taupe","Wilko","15 x 15 x 68cm","Brown","1",NA,NA,1
"HOM","COO","455489","Wilko Orchid Single Stem Dusky Pink","Wilko","15 x 15 x 67cm","Pink","1",NA,NA,1
"HOM","COO","455490","Wilko Gerbera Single Stem Dusky Pink","Wilko","18 x 18 x 64cm","Pink","1",NA,NA,1
"HOM","COO","455491","Wilko Pom Pom Single Stem Dusky Pink","Wilko","15 x 15 x 68cm","Pink","1",NA,NA,1
"HOM","COO","455492","Wilko Peony Bunch Cream","Wilko","24 x 24 x 29cm","Cream","1",NA,NA,1
"HOM","COO","455493","Wilko Rose Bunch Cream and Pink","Wilko","20 x 20 x 28cm","Pink","1",NA,NA,1
