"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"SBK","DES","155637","Wilko Heavy Duty Tape Dispenser","Wilko","21.5x8.2x10.5cm","Black",NA,NA,0.883333333333333
"SBK","DES","316956","Wilko Staple Remover","Wilko",NA,NA,"1",NA,0.9125
"SBK","DES","316966","Wilko Brass Fasteners Gold Effect 70pk","Wilko",NA,"Gold","70pk",NA,0.93
"SBK","DES","316983","Wilko Scissors General Purpose","Wilko",NA,NA,NA,NA,0.79
"SBK","DES","317156","Wilko Rubber Band Ball 170pcs","Wilko",NA,"Multi","170pk",NA,0.93
"SBK","DES","319390","Wilko Double Sided Tape Clear 19mm x 4m","Wilko","19mm x 11.4m",NA,NA,NA,0.825
"SBK","DES","414083","Wilko Small Stapler","Wilko",NA,NA,"1",NA,0.9125
"SBK","DES","414084","Wilko Medium Stapler","Wilko",NA,NA,"1",NA,0.9125
"SBK","DES","414086","Wilko Hole Punch","Wilko",NA,NA,"1",NA,0.9125
"SBK","DES","414091","Wilko Sticky Notes Pack","Wilko",NA,NA,"1",NA,0.86
"SBK","DES","434011","Wilko Ergo Grip Eraser 4pk","Wilko",NA,NA,"4",NA,0.9125
"SBK","DES","434024","Wilko 8 Sets Pet Sticky Notes","Wilko",NA,"Multi","8",NA,0.93
"SBK","DES","434032","Wilko Magnet Clips 2pk","Wilko",NA,"Multi","2",NA,0.93
"SBK","OFF","188682","Wilko Home Box File Expanding A4 Black","Wilko","A4",NA,"1",NA,0.883333333333333
"SBK","OFF","261208","Wilko Box File Home 19 Pocket A4 Pink","Wilko","A4","Pink","1",NA,0.941666666666667
"SBK","OFF","319058","Wilko Home Box File A4 Blue","Wilko","19Pocket","Blue",NA,NA,0.883333333333333
"SBK","OFF","439929","Wilko Home Box File A4 Purple","Wilko","35.5x12.5x25cm","Purple","1","paper",1
"SBK","OFF","439930","Wilko Home Box File A4 Lime","Wilko","35.5x12.5x25cm","Green","1","paper",1
