"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Washable","DQ Score"
"HOM","BLI","218817","Wilko Venetian Blind Aluminium Silver Effect60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Silver","Wipe Clean Only",0.9
"HOM","BLI","218819","Wilko Venetian Blind Aluminium Silver Effect90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Silver","Wipe Clean Only",0.9
"HOM","BLI","218821","Wilko Venetian Blind Aluminium Silver Effect120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","Silver","Wipe Clean Only",0.9
"HOM","BLI","218823","Wilko Venetian Blind Aluminium Silver Effect180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Silver","Wipe Clean Only",0.9
"HOM","BLI","282012","Wilko Blackout Roller Blind Black60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282013","Wilko Blackout Roller Blind Black90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282014","Wilko Blackout Roller Blind Black120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282015","Wilko Blackout Roller Blind Black180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282016","Wilko Venetian Blind Vinyl Wood Effect60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Wood","Wipe Clean Only",0.9
"HOM","BLI","282018","Wilko Venetian Blind Vinyl Wood Effect90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Wood","Wipe Clean Only",0.9
"HOM","BLI","282020","Wilko Venetian Blind Vinyl Wood Effect120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","Wood","Wipe Clean Only",0.9
"HOM","BLI","282021","Wilko Venetian Blind Vinyl Wood Effect150cm wide x 160cm drop","Wilko","Width 150cm x Drop 160cm","Wood","Wipe Clean Only",0.9
"HOM","BLI","282022","Wilko Venetian Blind Vinyl Wood Effect180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Wood","Wipe Clean Only",0.9
"HOM","BLI","282023","Wilko Venetian Blind Aluminium Black60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282025","Wilko Venetian Blind Aluminium Black90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282027","Wilko Venetian Blind Aluminium Black120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282028","Wilko Venetian Blind Aluminium Black150cm wide x 160cm drop","Wilko","Width 150cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282029","Wilko Venetian Blind Aluminium Black180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Black","Wipe Clean Only",0.9
"HOM","BLI","282030","Wilko Venetian Blind Slat Cutter 25mm","Wilko","25mm","Black",NA,0.85
"HOM","BLI","282031","Wilko Venetian Blind Cleaner 25mm","Wilko","25mm","Black",NA,0.85
"HOM","BLI","282605","Wilko Venetian Blind Aluminium White60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","282607","Wilko Venetian Blind Aluminium White90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","282609","Wilko Venetian Blind Aluminium White120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","282610","Wilko Venetian Blind Aluminium White150cm wide x 160cm drop","Wilko","Width 150cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","282611","Wilko Venetian Blind Aluminium White180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","326828","Wilko Roller Blind Soft Cream180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","326830","Wilko Roller Blind Soft Cream90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","326831","Wilko Roller Blind Soft Cream60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","327085","Wilko Roller Blind Linen Textured Effect60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","327094","Wilko Blackout Roller Blind Cream180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","327095","Wilko Blackout Roller Blind Cream120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","327096","Wilko Blackout Roller Blind Cream90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","327097","Wilko Blackout Roller Blind Cream60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","327098","Wilko Blackout Roller Blind White180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","327099","Wilko Blackout Roller Blind White120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","327100","Wilko Blackout Roller Blind White90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","327101","Wilko Blackout Roller Blind White60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","327106","Wilko Blackout Roller Blind Blue180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Blue","Wipe Clean Only",0.9
"HOM","BLI","327107","Wilko Blackout Roller Blind Blue120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","Blue","Wipe Clean Only",0.9
"HOM","BLI","327108","Wilko Blackout Roller Blind Blue90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Blue","Wipe Clean Only",0.9
"HOM","BLI","327109","Wilko Blackout Roller Blind Blue60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Blue","Wipe Clean Only",0.9
"HOM","BLI","327110","Wilko Blackout Roller Blind Pink180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Pink","Wipe Clean Only",0.9
"HOM","BLI","327111","Wilko Blackout Roller Blind Pink120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","Pink","Wipe Clean Only",0.9
"HOM","BLI","327112","Wilko Blackout Roller Blind Pink90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Pink","Wipe Clean Only",0.9
"HOM","BLI","327113","Wilko Blackout Roller Blind Pink60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Pink","Wipe Clean Only",0.9
"HOM","BLI","339153","Wilko Blackout Roller Blind Duck Egg120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm","Blue",NA,0.85
"HOM","BLI","339154","Wilko Blackout Roller Blind Duck Egg180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm","Blue",NA,0.85
"HOM","BLI","339155","Wilko Blackout Roller Blind Duck Egg90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm","Blue",NA,0.85
"HOM","BLI","339156","Wilko Blackout Roller Blind Duck Egg60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm","Blue",NA,0.85
"HOM","BLI","431116","Wilko Roller Blind Oatmeal 60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431120","Wilko Blackout Roller Blind Red60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431121","Wilko Blackout Roller Blind Red90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431122","Wilko Blackout Roller Blind Red120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431123","Wilko Blackout Roller Blind Red180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431124","Wilko Blackout Roller Blind Green60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431125","Wilko Blackout Roller Blind Green90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431126","Wilko Blackout Roller Blind Green120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431127","Wilko Blackout Roller Blind Green180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431128","Wilko Blackout Roller Blind Plum60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431129","Wilko Blackout Roller Blind Plum90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431130","Wilko Blackout Roller Blind Plum120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431131","Wilko Blackout Roller Blind Plum180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431132","Wilko Black Roller Blind Grey60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431133","Wilko Blackout Roller Blind Grey90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431134","Wilko Blackout Roller Blind Grey120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431135","Wilko Blackout Roller Blind Grey180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431136","Wilko Blackout Roller Blind Stone60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431137","Wilko Blackout Roller Blind Stone90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431138","Wilko Blackout Roller Blind Stone120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431139","Wilko Blackout Roller Blind Stone180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431142","Wilko Tribal Fall Leaf Roller Blind120cm wide x 160cm drop","Wilko","Width 120cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431143","Wilko Tribal Fall Leaf Roller Blind180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431144","Wilko Blue Stripe Roller Blind60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431145","Wilko Blue Stripe Roller Blind90cm wide x 160cm drop","Wilko","Width 90cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431147","Wilko Blue Stripe Roller Blind180cm wide x 160cm drop","Wilko","Width 180cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","431156","Wilko Textured Roller Blind Grey60cm wide x 160cm drop","Wilko","Width 60cm x Drop 160cm",NA,NA,0.8
"HOM","BLI","85957","Wilko Venetian Blind White 60cm","Wilko","Width 60cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","85959","Wilko Venetian Blind White 90cm","Wilko","Width 90cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","85961","Wilko Venetian Blind White 120cm","Wilko","Width 120cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","85962","Wilko Venetian Blind White 150cm","Wilko","Width 150cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","85963","Wilko Venetian Blind White 180cm","Wilko","Width 180cm x Drop 160cm","White","Wipe Clean Only",0.9
"HOM","BLI","85964","Wilko Venetian Blind Cream 60cm","Wilko","Width 60cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","85966","Wilko Venetian Blind Cream 90cm","Wilko","Width 90cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","85968","Wilko Venetian Blind Cream 120cm","Wilko","Width 120cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","85969","Wilko Venetian Blind Cream 150cm","Wilko","Width 150cm x Drop 160cm","Cream","Wipe Clean Only",0.9
"HOM","BLI","85970","Wilko Venetian Blind Cream 180cm","Wilko","Width 180cm x Drop 160cm","Cream","Wipe Clean Only",0.9
