"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"KIT","DIN","453136","Wilko Tongs 3pc","Wilko","3",0.825
"KIT","GAD","452456","Wilko Stainless Steel Masher","Wilko","1",0.825
"KIT","GAD","452458","Wilko Garlic Crusher","Wilko","1",0.825
"KIT","GAD","452460","Wilko Corkscrew","Wilko","1",0.825
"KIT","GAD","452462","Wilko 4 in 1 Multifunctional Grater","Wilko","1",0.825
"KIT","GAD","452463","Wilko Y Peeler Set 3pcs","Wilko","3 Pieces",0.825
"KIT","GAD","452464","Wilko Hand Whisk","Wilko","1",0.825
"KIT","GAD","452465","Wilko 6 in 1 Jar Opener","Wilko","1",0.825
"KIT","GAD","452467","Wilko Measuring Scoop","Wilko","1",0.825
"KIT","GAD","452468","Wilko Pizza Wheel","Wilko","1",0.825
"KIT","GAD","452470","Wilko Spaghetti Measure","Wilko","1",0.825
"KIT","GAD","452476","Wilko Chopping Board Set 2 Pack","Wilko","2",0.86
"KIT","GAD","452477","Wilko Nylon Ladle","Wilko","1",0.825
"KIT","GAD","452479","Wilko Nylon Turner","Wilko","1",0.825
"KIT","GAD","452480","Wilko Nylon Round Turner","Wilko","1",0.825
