"Article","Web Description","Brand","Type","Colour","Age","DQ Score"
"445348","Barracuda Draco 1 Mountain Bike Black/Blue, 20"" Wheel","Barracuda","Mountain Bike","Black","12 Years +",1
"445349","Barracuda Draco 1 Mountain Bike Black/Blue, 22"" Wheel","Barracuda","Mountain Bike ","Black","12 Years +",1
"445350","Barracuda Draco 1 Mountain Bike Black/Blue, 15"" Wheel","Barracuda","Mountain Bike ","Black","12 Years +",1
"445351","Barracuda Draco 1 Mountain Bike Black/Blue, 17"" Wheel","Barracuda","0445351Barracuda Draco 1 Mountain Bike Black/Blue, 18"" The Draco 1 Mountain Bike is the first model of the Barracuda Mountain bike range and offers a basic all-terrain bike style, equipped with a 18 inch frame and 26 inch wheels. Key features include a 6061 aluminium frame, Shimano Tourney 18-speed gears with Shimano Revo shift, powerful V-type brakes, comfort geometry and a padded saddle. ","Black","12 Years +",1
"445360","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","Trekking Bike ","Silver","12 Years +",1
"445361","Barracuda Liberty Trekking Bike Silver/Black, 21""Wheel","Barracuda","Trekking Bike ","Silver","12 Years +",1
"445362","Barracuda Liberty Trekking Bike Silver/Black, 17""Wheel","Barracuda","Trekking Bike ","Silver","12 Years +",1
"445363","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","Trekking Bike ","Silver","12 Years +",1
"445328","Flite Turbo Six Speed Full Suspension Junior BikeWhite/Green, 20"" Wheel","Flite","Kids Bike","Green","7 - 12 Years",1
"425806","Rolly Kiddy Classic Tractor And  Trailer","Rolly","Ride On","Blue","2.5 - 5 years",1
"409176","Sonic Bulk Bike Pink 20in Wheels","Sonic","Junior Bikes","Pink","7-15 Years",1
"ml00204","M/L Sonic Glamour 16in Girls Bike Purple","Sonic","Junior Bikes","Purple","5-7 years",1
"ml00261","Moore Large Sonic Daisy Girls Bike Pink","Sonic","Infant Bikes","Pink","3.5-5 years",1
